Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Banana,282.26
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Papaya,316.84
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Mango,395.71
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Pineapple,106.81
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Wood Apple,304.75
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Beli Fruit,284.84
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Guava,244.95
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Passion Fruit,71.41
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Rambutan,343.14
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Mangosteen,190.35
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Avocado,450.97
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Rose Apple,325.51
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Soursop,124.69
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Custard Apple,304.69
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Gooseberry,146.14
1/6/2020,Ampara,34.4,384.0,69.3,1.67,Pomegranate,262.56
1/6/2020,Ampara,34.4,384.0,69.3,1.67,Orange,238.05
1/6/2020,Ampara,23.3,146.8,56.5,0.82,Banana,463.61
1/7/2020,Ampara,23.3,146.8,56.5,0.82,Papaya,173.42
1/7/2020,Ampara,23.3,146.8,56.5,0.82,Mango,341.54
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Pineapple,224.93
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Wood Apple,164.78
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Beli Fruit,78.64
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Guava,456.13
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Passion Fruit,342.32
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Rambutan,244.49
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Mangosteen,471.74
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Avocado,376.37
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Rose Apple,355.7
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Soursop,59.47
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Custard Apple,192.66
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Gooseberry,460.31
1/12/2020,Ampara,23.3,146.8,56.5,0.82,Pomegranate,284.88
1/12/2020,Ampara,23.3,146.8,56.5,0.82,Orange,218.51
1/12/2020,Ampara,37.4,9.3,53.9,1.96,Banana,361.98
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Papaya,328.58
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Mango,405.77
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Pineapple,346.73
1/14/2020,Ampara,37.4,9.3,53.9,1.96,Wood Apple,184.13
1/14/2020,Ampara,37.4,9.3,53.9,1.96,Beli Fruit,340.81
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Guava,106.99
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Passion Fruit,74.08
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Rambutan,276.39
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Mangosteen,412.4
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Avocado,131.19
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Rose Apple,397.25
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Soursop,395.29
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Custard Apple,186.7
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Gooseberry,334.94
1/18/2020,Ampara,37.4,9.3,53.9,1.96,Pomegranate,406.0
1/18/2020,Ampara,37.4,9.3,53.9,1.96,Orange,497.66
1/18/2020,Ampara,26.3,246.0,76.5,1.66,Banana,463.96
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Papaya,129.21
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Mango,462.78
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Pineapple,256.59
1/20/2020,Ampara,26.3,246.0,76.5,1.66,Wood Apple,86.45
1/20/2020,Ampara,26.3,246.0,76.5,1.66,Beli Fruit,205.3
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Guava,320.25
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Passion Fruit,433.35
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Rambutan,163.6
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Mangosteen,429.88
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Avocado,57.64
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Rose Apple,61.1
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Soursop,427.3
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Custard Apple,404.14
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Gooseberry,109.19
1/24/2020,Ampara,26.3,246.0,76.5,1.66,Pomegranate,303.93
1/24/2020,Ampara,26.3,246.0,76.5,1.66,Orange,316.21
1/24/2020,Ampara,25.2,198.9,81.4,0.69,Banana,361.38
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Papaya,498.74
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Mango,335.13
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Pineapple,239.91
1/26/2020,Ampara,25.2,198.9,81.4,0.69,Wood Apple,373.07
