Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Banana,230.28
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Papaya,354.29
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Mango,117.3
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Pineapple,200.14
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Wood Apple,127.67
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Beli Fruit,211.8
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Guava,472.07
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Passion Fruit,157.7
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Rambutan,417.68
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Mangosteen,122.22
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Avocado,109.35
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Rose Apple,280.89
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Soursop,404.51
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Custard Apple,463.08
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Gooseberry,335.66
1/6/2020,Anuradhapura,33.0,21.7,63.5,1.64,Pomegranate,75.78
1/6/2020,Anuradhapura,33.0,21.7,63.5,1.64,Orange,248.72
1/6/2020,Anuradhapura,32.7,101.6,85.2,0.84,Banana,185.61
1/7/2020,Anuradhapura,32.7,101.6,85.2,0.84,Papaya,326.94
1/7/2020,Anuradhapura,32.7,101.6,85.2,0.84,Mango,464.51
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Pineapple,193.79
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Wood Apple,83.22
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Beli Fruit,220.21
1/9/2020,Anuradhapura,32.7,101.6,85.2,0.84,Guava,278.66
1/9/2020,Anuradhapura,32.7,101.6,85.2,0.84,Passion Fruit,173.44
