Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Banana,317.02
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Papaya,59.69
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Mango,175.89
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Pineapple,327.25
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Wood Apple,131.39
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Beli Fruit,377.17
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Guava,133.22
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Passion Fruit,111.98
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Rambutan,368.6
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Mangosteen,139.62
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Avocado,357.22
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Rose Apple,231.39
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Soursop,82.03
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Custard Apple,237.47
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Gooseberry,333.66
1/6/2020,Badulla,35.7,121.8,73.5,1.73,Pomegranate,396.93
1/6/2020,Badulla,35.7,121.8,73.5,1.73,Orange,269.04
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Banana,466.9
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Papaya,313.43
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Mango,361.1
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Pineapple,286.25
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Wood Apple,486.02
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Beli Fruit,66.91
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Guava,333.67
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Passion Fruit,126.34
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Rambutan,175.85
1/10/2020,Badulla,20.3,291.1,51.0,0.64,Mangosteen,225.36
1/10/2020,Badulla,20.3,291.1,51.0,0.64,Avocado,347.64
1/10/2020,Badulla,20.3,291.1,51.0,0.64,Rose Apple,101.86
1/11/2020,Badulla,20.3,291.1,51.0,0.64,Soursop,125.97
1/11/2020,Badulla,20.3,291.1,51.0,0.64,Custard Apple,334.74
1/11/2020,Badulla,20.3,291.1,51.0,0.64,Gooseberry,277.52
1/12/2020,Badulla,20.3,291.1,51.0,0.64,Pomegranate,474.3
1/12/2020,Badulla,20.3,291.1,51.0,0.64,Orange,105.4
1/12/2020,Badulla,20.7,105.9,60.0,1.46,Banana,475.62
1/13/2020,Badulla,20.7,105.9,60.0,1.46,Papaya,264.15
1/13/2020,Badulla,20.7,105.9,60.0,1.46,Mango,189.82
1/14/2020,Badulla,20.7,105.9,60.0,1.46,Pineapple,206.05
1/14/2020,Badulla,20.7,105.9,60.0,1.46,Wood Apple,188.71
1/14/2020,Badulla,20.7,105.9,60.0,1.46,Beli Fruit,420.7
1/15/2020,Badulla,20.7,105.9,60.0,1.46,Guava,119.4
1/15/2020,Badulla,20.7,105.9,60.0,1.46,Passion Fruit,294.53
1/15/2020,Badulla,20.7,105.9,60.0,1.46,Rambutan,371.79
1/16/2020,Badulla,20.7,105.9,60.0,1.46,Mangosteen,149.49
1/16/2020,Badulla,20.7,105.9,60.0,1.46,Avocado,241.63
1/16/2020,Badulla,20.7,105.9,60.0,1.46,Rose Apple,113.85
1/17/2020,Badulla,20.7,105.9,60.0,1.46,Soursop,228.96
1/17/2020,Badulla,20.7,105.9,60.0,1.46,Custard Apple,496.54
1/17/2020,Badulla,20.7,105.9,60.0,1.46,Gooseberry,180.94
1/18/2020,Badulla,20.7,105.9,60.0,1.46,Pomegranate,444.16
1/18/2020,Badulla,20.7,105.9,60.0,1.46,Orange,173.95
1/18/2020,Badulla,24.8,242.3,53.5,1.44,Banana,116.64
1/19/2020,Badulla,24.8,242.3,53.5,1.44,Papaya,378.77
1/19/2020,Badulla,24.8,242.3,53.5,1.44,Mango,164.73
1/20/2020,Badulla,24.8,242.3,53.5,1.44,Pineapple,467.68
1/20/2020,Badulla,24.8,242.3,53.5,1.44,Wood Apple,490.52
1/20/2020,Badulla,24.8,242.3,53.5,1.44,Beli Fruit,54.29
1/21/2020,Badulla,24.8,242.3,53.5,1.44,Guava,91.06
1/21/2020,Badulla,24.8,242.3,53.5,1.44,Passion Fruit,120.05
1/21/2020,Badulla,24.8,242.3,53.5,1.44,Rambutan,373.81
