Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Banana,125.04
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Papaya,77.7
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Mango,118.19
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Pineapple,110.39
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Wood Apple,198.08
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Beli Fruit,497.63
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Guava,221.42
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Passion Fruit,448.01
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Rambutan,312.09
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Mangosteen,280.83
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Avocado,428.24
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Rose Apple,482.41
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Soursop,375.52
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Custard Apple,347.62
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Gooseberry,163.72
1/6/2020,Batticaloa,30.5,243.7,52.7,1.62,Pomegranate,379.17
1/6/2020,Batticaloa,30.5,243.7,52.7,1.62,Orange,210.96
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Banana,447.3
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Papaya,95.89
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Mango,352.44
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Pineapple,259.31
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Wood Apple,338.88
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Beli Fruit,197.59
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Guava,403.68
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Passion Fruit,486.86
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Rambutan,99.28
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Mangosteen,306.75
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Avocado,104.47
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Rose Apple,295.58
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Soursop,120.15
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Custard Apple,129.58
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Gooseberry,87.4
1/12/2020,Batticaloa,27.1,107.2,91.8,1.84,Pomegranate,237.34
1/12/2020,Batticaloa,27.1,107.2,91.8,1.84,Orange,407.96
1/12/2020,Batticaloa,22.7,13.1,91.9,0.75,Banana,454.87
1/13/2020,Batticaloa,22.7,13.1,91.9,0.75,Papaya,261.44
1/13/2020,Batticaloa,22.7,13.1,91.9,0.75,Mango,283.17
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Pineapple,187.02
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Wood Apple,177.66
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Beli Fruit,376.71
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Guava,375.75
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Passion Fruit,217.55
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Rambutan,263.52
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Mangosteen,273.84
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Avocado,364.85
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Rose Apple,141.71
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Soursop,183.58
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Custard Apple,480.98
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Gooseberry,483.26
1/18/2020,Batticaloa,22.7,13.1,91.9,0.75,Pomegranate,491.43
1/18/2020,Batticaloa,22.7,13.1,91.9,0.75,Orange,326.66
1/18/2020,Batticaloa,34.4,107.1,68.6,0.93,Banana,214.73
1/19/2020,Batticaloa,34.4,107.1,68.6,0.93,Papaya,162.18
1/19/2020,Batticaloa,34.4,107.1,68.6,0.93,Mango,252.53
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Pineapple,309.25
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Wood Apple,111.65
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Beli Fruit,110.49
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Guava,163.76
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Passion Fruit,355.72
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Rambutan,389.23
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Mangosteen,341.51
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Avocado,171.35
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Rose Apple,388.8
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Soursop,400.06
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Custard Apple,232.75
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Gooseberry,427.91
1/24/2020,Batticaloa,34.4,107.1,68.6,0.93,Pomegranate,265.06
1/24/2020,Batticaloa,34.4,107.1,68.6,0.93,Orange,276.55
1/24/2020,Batticaloa,29.4,220.1,50.7,1.66,Banana,263.32
1/25/2020,Batticaloa,29.4,220.1,50.7,1.66,Papaya,329.67
1/25/2020,Batticaloa,29.4,220.1,50.7,1.66,Mango,378.46
1/25/2020,Batticaloa,29.4,220.1,50.7,1.66,Pineapple,317.71
1/26/2020,Batticaloa,29.4,220.1,50.7,1.66,Wood Apple,88.53
1/26/2020,Batticaloa,29.4,220.1,50.7,1.66,Beli Fruit,252.63
1/27/2020,Batticaloa,29.4,220.1,50.7,1.66,Guava,415.11
1/27/2020,Batticaloa,29.4,220.1,50.7,1.66,Passion Fruit,192.68
1/27/2020,Batticaloa,29.4,220.1,50.7,1.66,Rambutan,126.88
1/28/2020,Batticaloa,29.4,220.1,50.7,1.66,Mangosteen,432.8
1/28/2020,Batticaloa,29.4,220.1,50.7,1.66,Avocado,181.29
1/28/2020,Batticaloa,29.4,220.1,50.7,1.66,Rose Apple,58.94
1/29/2020,Batticaloa,29.4,220.1,50.7,1.66,Soursop,446.36
1/29/2020,Batticaloa,29.4,220.1,50.7,1.66,Custard Apple,339.14
1/29/2020,Batticaloa,29.4,220.1,50.7,1.66,Gooseberry,123.52
1/30/2020,Batticaloa,29.4,220.1,50.7,1.66,Pomegranate,61.64
1/30/2020,Batticaloa,29.4,220.1,50.7,1.66,Orange,138.65
1/30/2020,Batticaloa,28.6,328.4,58.7,1.5,Banana,69.8
1/31/2020,Batticaloa,28.6,328.4,58.7,1.5,Papaya,283.57
1/31/2020,Batticaloa,28.6,328.4,58.7,1.5,Mango,420.54
1/31/2020,Batticaloa,28.6,328.4,58.7,1.5,Pineapple,250.68
2/1/2020,Batticaloa,28.6,328.4,58.7,1.5,Wood Apple,179.01
2/1/2020,Batticaloa,28.6,328.4,58.7,1.5,Beli Fruit,498.22
2/2/2020,Batticaloa,28.6,328.4,58.7,1.5,Guava,83.54
2/2/2020,Batticaloa,28.6,328.4,58.7,1.5,Passion Fruit,231.47
2/2/2020,Batticaloa,28.6,328.4,58.7,1.5,Rambutan,168.09
2/3/2020,Batticaloa,28.6,328.4,58.7,1.5,Mangosteen,351.82
2/3/2020,Batticaloa,28.6,328.4,58.7,1.5,Avocado,472.49
2/3/2020,Batticaloa,28.6,328.4,58.7,1.5,Rose Apple,64.23
2/4/2020,Batticaloa,28.6,328.4,58.7,1.5,Soursop,327.94
2/4/2020,Batticaloa,28.6,328.4,58.7,1.5,Custard Apple,138.14
2/4/2020,Batticaloa,28.6,328.4,58.7,1.5,Gooseberry,301.67
2/5/2020,Batticaloa,28.6,328.4,58.7,1.5,Pomegranate,211.16
2/5/2020,Batticaloa,28.6,328.4,58.7,1.5,Orange,402.13
2/5/2020,Batticaloa,35.9,107.2,50.3,1.76,Banana,54.59
2/6/2020,Batticaloa,35.9,107.2,50.3,1.76,Papaya,360.76
2/6/2020,Batticaloa,35.9,107.2,50.3,1.76,Mango,396.28
2/6/2020,Batticaloa,35.9,107.2,50.3,1.76,Pineapple,211.4
2/7/2020,Batticaloa,35.9,107.2,50.3,1.76,Wood Apple,468.31
2/7/2020,Batticaloa,35.9,107.2,50.3,1.76,Beli Fruit,291.88
2/7/2020,Batticaloa,35.9,107.2,50.3,1.76,Guava,248.42
2/8/2020,Batticaloa,35.9,107.2,50.3,1.76,Passion Fruit,334.21
2/8/2020,Batticaloa,35.9,107.2,50.3,1.76,Rambutan,268.47
2/9/2020,Batticaloa,35.9,107.2,50.3,1.76,Mangosteen,372.51
2/9/2020,Batticaloa,35.9,107.2,50.3,1.76,Avocado,462.02
2/9/2020,Batticaloa,35.9,107.2,50.3,1.76,Rose Apple,355.29
2/10/2020,Batticaloa,35.9,107.2,50.3,1.76,Soursop,151.18
2/10/2020,Batticaloa,35.9,107.2,50.3,1.76,Custard Apple,348.48
2/10/2020,Batticaloa,35.9,107.2,50.3,1.76,Gooseberry,494.82
2/11/2020,Batticaloa,35.9,107.2,50.3,1.76,Pomegranate,289.46
2/11/2020,Batticaloa,35.9,107.2,50.3,1.76,Orange,134.66
2/11/2020,Batticaloa,27.0,236.8,87.3,1.26,Banana,491.8
2/12/2020,Batticaloa,27.0,236.8,87.3,1.26,Papaya,496.94
2/12/2020,Batticaloa,27.0,236.8,87.3,1.26,Mango,83.94
2/12/2020,Batticaloa,27.0,236.8,87.3,1.26,Pineapple,115.79
2/13/2020,Batticaloa,27.0,236.8,87.3,1.26,Wood Apple,493.31
2/13/2020,Batticaloa,27.0,236.8,87.3,1.26,Beli Fruit,252.67
2/13/2020,Batticaloa,27.0,236.8,87.3,1.26,Guava,98.24
2/14/2020,Batticaloa,27.0,236.8,87.3,1.26,Passion Fruit,406.97
2/14/2020,Batticaloa,27.0,236.8,87.3,1.26,Rambutan,66.94
2/15/2020,Batticaloa,27.0,236.8,87.3,1.26,Mangosteen,154.52
2/15/2020,Batticaloa,27.0,236.8,87.3,1.26,Avocado,318.15
2/15/2020,Batticaloa,27.0,236.8,87.3,1.26,Rose Apple,188.49
2/16/2020,Batticaloa,27.0,236.8,87.3,1.26,Soursop,492.55
2/16/2020,Batticaloa,27.0,236.8,87.3,1.26,Custard Apple,415.54
2/16/2020,Batticaloa,27.0,236.8,87.3,1.26,Gooseberry,95.85
2/17/2020,Batticaloa,27.0,236.8,87.3,1.26,Pomegranate,477.89
2/17/2020,Batticaloa,27.0,236.8,87.3,1.26,Orange,122.69
2/17/2020,Batticaloa,34.9,320.3,65.5,1.53,Banana,412.58
2/18/2020,Batticaloa,34.9,320.3,65.5,1.53,Papaya,315.62
2/18/2020,Batticaloa,34.9,320.3,65.5,1.53,Mango,154.12
2/18/2020,Batticaloa,34.9,320.3,65.5,1.53,Pineapple,235.53
2/19/2020,Batticaloa,34.9,320.3,65.5,1.53,Wood Apple,314.76
2/19/2020,Batticaloa,34.9,320.3,65.5,1.53,Beli Fruit,122.76
2/19/2020,Batticaloa,34.9,320.3,65.5,1.53,Guava,486.18
2/20/2020,Batticaloa,34.9,320.3,65.5,1.53,Passion Fruit,197.54
2/20/2020,Batticaloa,34.9,320.3,65.5,1.53,Rambutan,54.53
2/20/2020,Batticaloa,34.9,320.3,65.5,1.53,Mangosteen,215.98
2/21/2020,Batticaloa,34.9,320.3,65.5,1.53,Avocado,303.36
2/21/2020,Batticaloa,34.9,320.3,65.5,1.53,Rose Apple,110.22
2/22/2020,Batticaloa,34.9,320.3,65.5,1.53,Soursop,428.33
2/22/2020,Batticaloa,34.9,320.3,65.5,1.53,Custard Apple,86.12
2/22/2020,Batticaloa,34.9,320.3,65.5,1.53,Gooseberry,210.28
2/23/2020,Batticaloa,34.9,320.3,65.5,1.53,Pomegranate,436.21
2/23/2020,Batticaloa,34.9,320.3,65.5,1.53,Orange,369.13
2/23/2020,Batticaloa,33.6,285.3,72.0,0.73,Banana,219.9
2/24/2020,Batticaloa,33.6,285.3,72.0,0.73,Papaya,217.49
2/24/2020,Batticaloa,33.6,285.3,72.0,0.73,Mango,169.96
2/24/2020,Batticaloa,33.6,285.3,72.0,0.73,Pineapple,336.34
2/25/2020,Batticaloa,33.6,285.3,72.0,0.73,Wood Apple,288.06
2/25/2020,Batticaloa,33.6,285.3,72.0,0.73,Beli Fruit,337.62
2/25/2020,Batticaloa,33.6,285.3,72.0,0.73,Guava,103.95
2/26/2020,Batticaloa,33.6,285.3,72.0,0.73,Passion Fruit,154.25
2/26/2020,Batticaloa,33.6,285.3,72.0,0.73,Rambutan,199.0
2/26/2020,Batticaloa,33.6,285.3,72.0,0.73,Mangosteen,271.28
2/27/2020,Batticaloa,33.6,285.3,72.0,0.73,Avocado,274.03
2/27/2020,Batticaloa,33.6,285.3,72.0,0.73,Rose Apple,289.15
