Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Banana,117.3
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Papaya,153.98
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Mango,359.07
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Pineapple,67.81
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Wood Apple,299.36
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Beli Fruit,251.91
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Guava,398.57
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Passion Fruit,187.53
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Rambutan,384.12
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Mangosteen,362.68
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Avocado,110.69
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Rose Apple,210.48
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Soursop,100.39
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Custard Apple,142.07
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Gooseberry,304.13
1/6/2020,Colombo,35.4,3.2,93.1,0.54,Pomegranate,74.87
1/6/2020,Colombo,35.4,3.2,93.1,0.54,Orange,265.26
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Banana,277.51
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Papaya,159.34
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Mango,117.66
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Pineapple,59.54
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Wood Apple,254.13
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Beli Fruit,85.43
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Guava,339.43
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Passion Fruit,255.62
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Rambutan,97.26
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Mangosteen,90.06
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Avocado,57.92
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Rose Apple,56.56
1/11/2020,Colombo,22.2,254.8,86.3,1.09,Soursop,60.31
1/11/2020,Colombo,22.2,254.8,86.3,1.09,Custard Apple,212.92
1/11/2020,Colombo,22.2,254.8,86.3,1.09,Gooseberry,82.02
1/12/2020,Colombo,22.2,254.8,86.3,1.09,Pomegranate,439.63
1/12/2020,Colombo,22.2,254.8,86.3,1.09,Orange,277.27
1/13/2020,Colombo,34.4,262.1,70.6,1.15,Banana,371.54
1/13/2020,Colombo,34.4,262.1,70.6,1.15,Papaya,372.8
1/13/2020,Colombo,34.4,262.1,70.6,1.15,Mango,482.99
1/14/2020,Colombo,34.4,262.1,70.6,1.15,Pineapple,67.98
1/14/2020,Colombo,34.4,262.1,70.6,1.15,Wood Apple,186.4
1/14/2020,Colombo,34.4,262.1,70.6,1.15,Beli Fruit,195.35
1/15/2020,Colombo,34.4,262.1,70.6,1.15,Guava,324.27
1/15/2020,Colombo,34.4,262.1,70.6,1.15,Passion Fruit,384.7
1/15/2020,Colombo,34.4,262.1,70.6,1.15,Rambutan,246.57
1/16/2020,Colombo,34.4,262.1,70.6,1.15,Mangosteen,435.04
1/16/2020,Colombo,34.4,262.1,70.6,1.15,Avocado,442.94
1/16/2020,Colombo,34.4,262.1,70.6,1.15,Rose Apple,113.96
1/17/2020,Colombo,34.4,262.1,70.6,1.15,Soursop,352.25
1/17/2020,Colombo,34.4,262.1,70.6,1.15,Custard Apple,324.25
1/17/2020,Colombo,34.4,262.1,70.6,1.15,Gooseberry,168.8
1/18/2020,Colombo,34.4,262.1,70.6,1.15,Pomegranate,496.32
1/18/2020,Colombo,34.4,262.1,70.6,1.15,Orange,328.75
1/18/2020,Colombo,25.8,341.0,52.4,0.6,Banana,238.38
1/19/2020,Colombo,25.8,341.0,52.4,0.6,Papaya,89.14
1/19/2020,Colombo,25.8,341.0,52.4,0.6,Mango,486.56
1/20/2020,Colombo,25.8,341.0,52.4,0.6,Pineapple,161.55
1/20/2020,Colombo,25.8,341.0,52.4,0.6,Wood Apple,436.35
1/20/2020,Colombo,25.8,341.0,52.4,0.6,Beli Fruit,452.77
1/21/2020,Colombo,25.8,341.0,52.4,0.6,Guava,489.57
1/21/2020,Colombo,25.8,341.0,52.4,0.6,Passion Fruit,117.29
1/21/2020,Colombo,25.8,341.0,52.4,0.6,Rambutan,361.99
1/22/2020,Colombo,25.8,341.0,52.4,0.6,Mangosteen,325.18
1/22/2020,Colombo,25.8,341.0,52.4,0.6,Avocado,211.4
1/22/2020,Colombo,25.8,341.0,52.4,0.6,Rose Apple,110.55
