Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Galle,22.6,198.9,85.1,1.29,Banana,339.48
1/1/2020,Galle,22.6,198.9,85.1,1.29,Papaya,154.45
1/1/2020,Galle,22.6,198.9,85.1,1.29,Mango,351.44
1/2/2020,Galle,22.6,198.9,85.1,1.29,Pineapple,409.3
1/2/2020,Galle,22.6,198.9,85.1,1.29,Wood Apple,419.56
1/2/2020,Galle,22.6,198.9,85.1,1.29,Beli Fruit,466.91
1/3/2020,Galle,22.6,198.9,85.1,1.29,Guava,383.25
1/3/2020,Galle,22.6,198.9,85.1,1.29,Passion Fruit,454.98
1/3/2020,Galle,22.6,198.9,85.1,1.29,Rambutan,169.73
1/4/2020,Galle,22.6,198.9,85.1,1.29,Mangosteen,153.8
1/4/2020,Galle,22.6,198.9,85.1,1.29,Avocado,465.56
1/4/2020,Galle,22.6,198.9,85.1,1.29,Rose Apple,379.21
1/5/2020,Galle,22.6,198.9,85.1,1.29,Soursop,113.63
1/5/2020,Galle,22.6,198.9,85.1,1.29,Custard Apple,158.45
1/5/2020,Galle,22.6,198.9,85.1,1.29,Gooseberry,283.98
1/6/2020,Galle,22.6,198.9,85.1,1.29,Pomegranate,190.55
1/6/2020,Galle,22.6,198.9,85.1,1.29,Orange,187.44
1/7/2020,Galle,23.2,117.6,80.2,0.83,Banana,64.9
1/7/2020,Galle,23.2,117.6,80.2,0.83,Papaya,361.44
1/7/2020,Galle,23.2,117.6,80.2,0.83,Mango,281.87
1/8/2020,Galle,23.2,117.6,80.2,0.83,Pineapple,215.26
1/8/2020,Galle,23.2,117.6,80.2,0.83,Wood Apple,312.42
1/8/2020,Galle,23.2,117.6,80.2,0.83,Beli Fruit,446.03
1/9/2020,Galle,23.2,117.6,80.2,0.83,Guava,159.0
1/9/2020,Galle,23.2,117.6,80.2,0.83,Passion Fruit,386.0
1/9/2020,Galle,23.2,117.6,80.2,0.83,Rambutan,371.61
1/10/2020,Galle,23.2,117.6,80.2,0.83,Mangosteen,178.34
1/10/2020,Galle,23.2,117.6,80.2,0.83,Avocado,231.17
1/10/2020,Galle,23.2,117.6,80.2,0.83,Rose Apple,211.7
1/11/2020,Galle,23.2,117.6,80.2,0.83,Soursop,466.11
1/11/2020,Galle,23.2,117.6,80.2,0.83,Custard Apple,243.31
1/11/2020,Galle,23.2,117.6,80.2,0.83,Gooseberry,452.6
1/12/2020,Galle,23.2,117.6,80.2,0.83,Pomegranate,62.3
1/12/2020,Galle,23.2,117.6,80.2,0.83,Orange,189.64
1/13/2020,Galle,29.8,67.2,55.2,0.88,Banana,153.05
1/13/2020,Galle,29.8,67.2,55.2,0.88,Papaya,280.21
1/13/2020,Galle,29.8,67.2,55.2,0.88,Mango,418.58
1/14/2020,Galle,29.8,67.2,55.2,0.88,Pineapple,406.53
1/14/2020,Galle,29.8,67.2,55.2,0.88,Wood Apple,126.63
1/14/2020,Galle,29.8,67.2,55.2,0.88,Beli Fruit,228.9
1/15/2020,Galle,29.8,67.2,55.2,0.88,Guava,155.68
1/15/2020,Galle,29.8,67.2,55.2,0.88,Passion Fruit,454.38
1/15/2020,Galle,29.8,67.2,55.2,0.88,Rambutan,287.41
1/16/2020,Galle,29.8,67.2,55.2,0.88,Mangosteen,242.69
1/16/2020,Galle,29.8,67.2,55.2,0.88,Avocado,395.75
1/16/2020,Galle,29.8,67.2,55.2,0.88,Rose Apple,115.87
1/17/2020,Galle,29.8,67.2,55.2,0.88,Soursop,337.22
1/17/2020,Galle,29.8,67.2,55.2,0.88,Custard Apple,218.03
1/17/2020,Galle,29.8,67.2,55.2,0.88,Gooseberry,347.84
1/18/2020,Galle,29.8,67.2,55.2,0.88,Pomegranate,115.19
1/18/2020,Galle,29.8,67.2,55.2,0.88,Orange,116.35
1/18/2020,Galle,24.9,353.7,81.0,0.79,Banana,90.34
1/19/2020,Galle,24.9,353.7,81.0,0.79,Papaya,378.01
1/19/2020,Galle,24.9,353.7,81.0,0.79,Mango,407.86
1/20/2020,Galle,24.9,353.7,81.0,0.79,Pineapple,467.21
1/20/2020,Galle,24.9,353.7,81.0,0.79,Wood Apple,464.3
1/20/2020,Galle,24.9,353.7,81.0,0.79,Beli Fruit,364.77
1/21/2020,Galle,24.9,353.7,81.0,0.79,Guava,488.4
1/21/2020,Galle,24.9,353.7,81.0,0.79,Passion Fruit,448.18
1/21/2020,Galle,24.9,353.7,81.0,0.79,Rambutan,276.59
1/22/2020,Galle,24.9,353.7,81.0,0.79,Mangosteen,314.69
1/22/2020,Galle,24.9,353.7,81.0,0.79,Avocado,184.61
1/22/2020,Galle,24.9,353.7,81.0,0.79,Rose Apple,84.69
1/23/2020,Galle,24.9,353.7,81.0,0.79,Soursop,410.94
1/23/2020,Galle,24.9,353.7,81.0,0.79,Custard Apple,161.97
1/23/2020,Galle,24.9,353.7,81.0,0.79,Gooseberry,409.86
1/24/2020,Galle,24.9,353.7,81.0,0.79,Pomegranate,270.69
1/24/2020,Galle,24.9,353.7,81.0,0.79,Orange,98.15
1/24/2020,Galle,25.9,391.6,79.2,1.36,Banana,107.08
1/25/2020,Galle,25.9,391.6,79.2,1.36,Papaya,135.31
1/25/2020,Galle,25.9,391.6,79.2,1.36,Mango,295.75
1/26/2020,Galle,25.9,391.6,79.2,1.36,Pineapple,257.45
1/26/2020,Galle,25.9,391.6,79.2,1.36,Wood Apple,223.67
1/26/2020,Galle,25.9,391.6,79.2,1.36,Beli Fruit,297.55
1/27/2020,Galle,25.9,391.6,79.2,1.36,Guava,442.0
1/27/2020,Galle,25.9,391.6,79.2,1.36,Passion Fruit,219.68
1/27/2020,Galle,25.9,391.6,79.2,1.36,Rambutan,109.15
1/28/2020,Galle,25.9,391.6,79.2,1.36,Mangosteen,479.48
1/28/2020,Galle,25.9,391.6,79.2,1.36,Avocado,142.14
1/28/2020,Galle,25.9,391.6,79.2,1.36,Rose Apple,251.24
1/29/2020,Galle,25.9,391.6,79.2,1.36,Soursop,448.28
1/29/2020,Galle,25.9,391.6,79.2,1.36,Custard Apple,237.95
1/29/2020,Galle,25.9,391.6,79.2,1.36,Gooseberry,281.55
