Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Banana,113.04
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Papaya,150.36
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Mango,365.85
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Pineapple,176.27
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Wood Apple,265.13
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Beli Fruit,321.45
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Guava,256.7
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Passion Fruit,125.3
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Rambutan,149.82
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Mangosteen,491.51
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Avocado,321.35
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Rose Apple,367.34
1/5/2020,Gampaha,37.0,16.3,76.3,1.2,Soursop,146.94
1/5/2020,Gampaha,37.0,16.3,76.3,1.2,Custard Apple,200.19
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Gooseberry,344.09
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Pomegranate,479.87
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Orange,461.07
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Banana,451.27
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Papaya,355.97
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Mango,338.93
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Pineapple,358.84
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Wood Apple,131.9
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Beli Fruit,214.43
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Guava,485.56
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Passion Fruit,305.99
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Rambutan,416.28
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Mangosteen,160.25
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Avocado,207.62
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Rose Apple,249.27
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Soursop,246.75
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Custard Apple,106.57
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Gooseberry,150.96
1/12/2020,Gampaha,30.5,44.3,59.7,0.58,Pomegranate,309.93
1/12/2020,Gampaha,30.5,44.3,59.7,0.58,Orange,343.94
1/13/2020,Gampaha,24.5,309.2,58.7,1.25,Banana,483.74
1/13/2020,Gampaha,24.5,309.2,58.7,1.25,Papaya,383.84
