Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Banana,356.04
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Papaya,466.2
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Mango,136.42
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Pineapple,492.7
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Wood Apple,262.54
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Beli Fruit,127.61
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Guava,144.06
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Passion Fruit,146.91
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Rambutan,254.82
1/4/2020,Hambantota,26.8,190.5,83.5,0.93,Mangosteen,180.3
1/4/2020,Hambantota,26.8,190.5,83.5,0.93,Avocado,247.65
1/4/2020,Hambantota,26.8,190.5,83.5,0.93,Rose Apple,176.02
1/5/2020,Hambantota,26.8,190.5,83.5,0.93,Soursop,391.07
1/5/2020,Hambantota,26.8,190.5,83.5,0.93,Custard Apple,324.95
1/6/2020,Hambantota,26.8,190.5,83.5,0.93,Gooseberry,478.83
1/6/2020,Hambantota,26.8,190.5,83.5,0.93,Pomegranate,426.98
1/6/2020,Hambantota,26.8,190.5,83.5,0.93,Orange,50.22
1/7/2020,Hambantota,26.6,37.0,64.5,1.5,Banana,253.33
1/7/2020,Hambantota,26.6,37.0,64.5,1.5,Papaya,147.19
1/7/2020,Hambantota,26.6,37.0,64.5,1.5,Mango,195.12
1/8/2020,Hambantota,26.6,37.0,64.5,1.5,Pineapple,355.83
1/8/2020,Hambantota,26.6,37.0,64.5,1.5,Wood Apple,216.76
1/8/2020,Hambantota,26.6,37.0,64.5,1.5,Beli Fruit,226.11
1/9/2020,Hambantota,26.6,37.0,64.5,1.5,Guava,438.04
1/9/2020,Hambantota,26.6,37.0,64.5,1.5,Passion Fruit,145.04
1/9/2020,Hambantota,26.6,37.0,64.5,1.5,Rambutan,226.13
1/10/2020,Hambantota,26.6,37.0,64.5,1.5,Mangosteen,110.45
1/10/2020,Hambantota,26.6,37.0,64.5,1.5,Avocado,329.13
1/10/2020,Hambantota,26.6,37.0,64.5,1.5,Rose Apple,240.43
1/11/2020,Hambantota,26.6,37.0,64.5,1.5,Soursop,292.58
1/11/2020,Hambantota,26.6,37.0,64.5,1.5,Custard Apple,189.25
1/11/2020,Hambantota,26.6,37.0,64.5,1.5,Gooseberry,222.87
1/12/2020,Hambantota,26.6,37.0,64.5,1.5,Pomegranate,92.87
1/12/2020,Hambantota,26.6,37.0,64.5,1.5,Orange,361.34
1/13/2020,Hambantota,30.0,202.1,84.7,0.56,Banana,130.91
1/13/2020,Hambantota,30.0,202.1,84.7,0.56,Papaya,337.52
1/13/2020,Hambantota,30.0,202.1,84.7,0.56,Mango,180.55
1/14/2020,Hambantota,30.0,202.1,84.7,0.56,Pineapple,402.58
1/14/2020,Hambantota,30.0,202.1,84.7,0.56,Wood Apple,468.18
1/14/2020,Hambantota,30.0,202.1,84.7,0.56,Beli Fruit,137.19
1/15/2020,Hambantota,30.0,202.1,84.7,0.56,Guava,57.2
1/15/2020,Hambantota,30.0,202.1,84.7,0.56,Passion Fruit,425.8
1/15/2020,Hambantota,30.0,202.1,84.7,0.56,Rambutan,303.02
1/16/2020,Hambantota,30.0,202.1,84.7,0.56,Mangosteen,283.11
1/16/2020,Hambantota,30.0,202.1,84.7,0.56,Avocado,133.56
1/16/2020,Hambantota,30.0,202.1,84.7,0.56,Rose Apple,240.81
1/17/2020,Hambantota,30.0,202.1,84.7,0.56,Soursop,446.71
1/17/2020,Hambantota,30.0,202.1,84.7,0.56,Custard Apple,328.74
1/17/2020,Hambantota,30.0,202.1,84.7,0.56,Gooseberry,263.23
1/18/2020,Hambantota,30.0,202.1,84.7,0.56,Pomegranate,428.63
1/18/2020,Hambantota,30.0,202.1,84.7,0.56,Orange,425.19
1/19/2020,Hambantota,23.4,155.9,81.2,1.21,Banana,394.85
1/19/2020,Hambantota,23.4,155.9,81.2,1.21,Papaya,142.86
1/19/2020,Hambantota,23.4,155.9,81.2,1.21,Mango,278.98
