Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Jaffna,26.0,115.5,60.7,0.99,Banana,111.74
1/1/2020,Jaffna,26.0,115.5,60.7,0.99,Papaya,322.18
1/1/2020,Jaffna,26.0,115.5,60.7,0.99,Mango,121.66
1/2/2020,Jaffna,26.0,115.5,60.7,0.99,Pineapple,393.06
1/2/2020,Jaffna,26.0,115.5,60.7,0.99,Wood Apple,270.07
1/2/2020,Jaffna,26.0,115.5,60.7,0.99,Beli Fruit,167.32
1/3/2020,Jaffna,26.0,115.5,60.7,0.99,Guava,129.72
1/3/2020,Jaffna,26.0,115.5,60.7,0.99,Passion Fruit,372.67
1/3/2020,Jaffna,26.0,115.5,60.7,0.99,Rambutan,58.86
1/4/2020,Jaffna,26.0,115.5,60.7,0.99,Mangosteen,477.49
1/4/2020,Jaffna,26.0,115.5,60.7,0.99,Avocado,363.1
1/4/2020,Jaffna,26.0,115.5,60.7,0.99,Rose Apple,342.14
1/5/2020,Jaffna,26.0,115.5,60.7,0.99,Soursop,149.07
1/5/2020,Jaffna,26.0,115.5,60.7,0.99,Custard Apple,422.23
1/6/2020,Jaffna,26.0,115.5,60.7,0.99,Gooseberry,384.95
1/6/2020,Jaffna,26.0,115.5,60.7,0.99,Pomegranate,383.88
1/6/2020,Jaffna,26.0,115.5,60.7,0.99,Orange,289.34
1/7/2020,Jaffna,33.8,225.1,77.7,0.68,Banana,177.33
1/7/2020,Jaffna,33.8,225.1,77.7,0.68,Papaya,477.14
1/7/2020,Jaffna,33.8,225.1,77.7,0.68,Mango,117.81
1/8/2020,Jaffna,33.8,225.1,77.7,0.68,Pineapple,433.5
1/8/2020,Jaffna,33.8,225.1,77.7,0.68,Wood Apple,412.91
1/8/2020,Jaffna,33.8,225.1,77.7,0.68,Beli Fruit,215.57
1/9/2020,Jaffna,33.8,225.1,77.7,0.68,Guava,160.59
1/9/2020,Jaffna,33.8,225.1,77.7,0.68,Passion Fruit,387.11
1/9/2020,Jaffna,33.8,225.1,77.7,0.68,Rambutan,215.23
1/10/2020,Jaffna,33.8,225.1,77.7,0.68,Mangosteen,367.07
1/10/2020,Jaffna,33.8,225.1,77.7,0.68,Avocado,127.17
1/10/2020,Jaffna,33.8,225.1,77.7,0.68,Rose Apple,398.32
1/11/2020,Jaffna,33.8,225.1,77.7,0.68,Soursop,53.89
1/11/2020,Jaffna,33.8,225.1,77.7,0.68,Custard Apple,177.78
1/12/2020,Jaffna,33.8,225.1,77.7,0.68,Gooseberry,85.11
1/12/2020,Jaffna,33.8,225.1,77.7,0.68,Pomegranate,380.72
1/12/2020,Jaffna,33.8,225.1,77.7,0.68,Orange,273.3
1/13/2020,Jaffna,25.7,153.1,53.5,1.6,Banana,264.05
1/13/2020,Jaffna,25.7,153.1,53.5,1.6,Papaya,377.93
1/13/2020,Jaffna,25.7,153.1,53.5,1.6,Mango,483.12
1/14/2020,Jaffna,25.7,153.1,53.5,1.6,Pineapple,117.26
1/14/2020,Jaffna,25.7,153.1,53.5,1.6,Wood Apple,52.11
1/14/2020,Jaffna,25.7,153.1,53.5,1.6,Beli Fruit,107.83
1/15/2020,Jaffna,25.7,153.1,53.5,1.6,Guava,165.21
1/15/2020,Jaffna,25.7,153.1,53.5,1.6,Passion Fruit,124.25
1/15/2020,Jaffna,25.7,153.1,53.5,1.6,Rambutan,457.66
1/16/2020,Jaffna,25.7,153.1,53.5,1.6,Mangosteen,58.76
1/16/2020,Jaffna,25.7,153.1,53.5,1.6,Avocado,405.7
1/16/2020,Jaffna,25.7,153.1,53.5,1.6,Rose Apple,387.33
1/17/2020,Jaffna,25.7,153.1,53.5,1.6,Soursop,407.06
1/17/2020,Jaffna,25.7,153.1,53.5,1.6,Custard Apple,182.45
1/17/2020,Jaffna,25.7,153.1,53.5,1.6,Gooseberry,396.38
1/18/2020,Jaffna,25.7,153.1,53.5,1.6,Pomegranate,387.34
1/18/2020,Jaffna,25.7,153.1,53.5,1.6,Orange,451.94
1/19/2020,Jaffna,27.4,157.2,85.1,1.64,Banana,451.99
1/19/2020,Jaffna,27.4,157.2,85.1,1.64,Papaya,384.57
1/19/2020,Jaffna,27.4,157.2,85.1,1.64,Mango,363.37
1/20/2020,Jaffna,27.4,157.2,85.1,1.64,Pineapple,460.27
1/20/2020,Jaffna,27.4,157.2,85.1,1.64,Wood Apple,161.22
1/20/2020,Jaffna,27.4,157.2,85.1,1.64,Beli Fruit,467.29
1/21/2020,Jaffna,27.4,157.2,85.1,1.64,Guava,98.01
1/21/2020,Jaffna,27.4,157.2,85.1,1.64,Passion Fruit,321.16
1/21/2020,Jaffna,27.4,157.2,85.1,1.64,Rambutan,347.9
1/22/2020,Jaffna,27.4,157.2,85.1,1.64,Mangosteen,499.09
1/22/2020,Jaffna,27.4,157.2,85.1,1.64,Avocado,107.0
1/22/2020,Jaffna,27.4,157.2,85.1,1.64,Rose Apple,91.3
1/23/2020,Jaffna,27.4,157.2,85.1,1.64,Soursop,144.32
1/23/2020,Jaffna,27.4,157.2,85.1,1.64,Custard Apple,305.2
1/23/2020,Jaffna,27.4,157.2,85.1,1.64,Gooseberry,347.8
1/24/2020,Jaffna,27.4,157.2,85.1,1.64,Pomegranate,390.98
1/24/2020,Jaffna,27.4,157.2,85.1,1.64,Orange,437.3
1/25/2020,Jaffna,32.7,158.9,53.3,0.51,Banana,412.86
1/25/2020,Jaffna,32.7,158.9,53.3,0.51,Papaya,314.72
1/25/2020,Jaffna,32.7,158.9,53.3,0.51,Mango,444.13
1/26/2020,Jaffna,32.7,158.9,53.3,0.51,Pineapple,341.39
1/26/2020,Jaffna,32.7,158.9,53.3,0.51,Wood Apple,433.54
1/26/2020,Jaffna,32.7,158.9,53.3,0.51,Beli Fruit,159.92
1/27/2020,Jaffna,32.7,158.9,53.3,0.51,Guava,414.19
1/27/2020,Jaffna,32.7,158.9,53.3,0.51,Passion Fruit,144.98
1/27/2020,Jaffna,32.7,158.9,53.3,0.51,Rambutan,487.26
1/28/2020,Jaffna,32.7,158.9,53.3,0.51,Mangosteen,241.25
1/28/2020,Jaffna,32.7,158.9,53.3,0.51,Avocado,454.2
1/28/2020,Jaffna,32.7,158.9,53.3,0.51,Rose Apple,287.7
1/29/2020,Jaffna,32.7,158.9,53.3,0.51,Soursop,56.94
1/29/2020,Jaffna,32.7,158.9,53.3,0.51,Custard Apple,391.62
1/29/2020,Jaffna,32.7,158.9,53.3,0.51,Gooseberry,130.74
1/30/2020,Jaffna,32.7,158.9,53.3,0.51,Pomegranate,476.56
1/30/2020,Jaffna,32.7,158.9,53.3,0.51,Orange,231.95
1/30/2020,Jaffna,25.2,284.8,81.3,1.1,Banana,293.62
1/31/2020,Jaffna,25.2,284.8,81.3,1.1,Papaya,154.37
1/31/2020,Jaffna,25.2,284.8,81.3,1.1,Mango,373.42
2/1/2020,Jaffna,25.2,284.8,81.3,1.1,Pineapple,405.05
2/1/2020,Jaffna,25.2,284.8,81.3,1.1,Wood Apple,421.54
2/1/2020,Jaffna,25.2,284.8,81.3,1.1,Beli Fruit,271.55
2/2/2020,Jaffna,25.2,284.8,81.3,1.1,Guava,116.33
2/2/2020,Jaffna,25.2,284.8,81.3,1.1,Passion Fruit,464.47
2/2/2020,Jaffna,25.2,284.8,81.3,1.1,Rambutan,331.58
2/3/2020,Jaffna,25.2,284.8,81.3,1.1,Mangosteen,471.58
2/3/2020,Jaffna,25.2,284.8,81.3,1.1,Avocado,74.65
2/3/2020,Jaffna,25.2,284.8,81.3,1.1,Rose Apple,380.04
2/4/2020,Jaffna,25.2,284.8,81.3,1.1,Soursop,210.9
2/4/2020,Jaffna,25.2,284.8,81.3,1.1,Custard Apple,95.75
2/4/2020,Jaffna,25.2,284.8,81.3,1.1,Gooseberry,66.0
2/5/2020,Jaffna,25.2,284.8,81.3,1.1,Pomegranate,91.68
2/5/2020,Jaffna,25.2,284.8,81.3,1.1,Orange,408.62
2/5/2020,Jaffna,29.5,208.7,57.4,1.71,Banana,368.63
2/6/2020,Jaffna,29.5,208.7,57.4,1.71,Papaya,248.85
2/6/2020,Jaffna,29.5,208.7,57.4,1.71,Mango,260.03
2/7/2020,Jaffna,29.5,208.7,57.4,1.71,Pineapple,390.31
2/7/2020,Jaffna,29.5,208.7,57.4,1.71,Wood Apple,226.15
2/7/2020,Jaffna,29.5,208.7,57.4,1.71,Beli Fruit,423.51
2/8/2020,Jaffna,29.5,208.7,57.4,1.71,Guava,217.58
2/8/2020,Jaffna,29.5,208.7,57.4,1.71,Passion Fruit,426.56
2/8/2020,Jaffna,29.5,208.7,57.4,1.71,Rambutan,54.28
2/9/2020,Jaffna,29.5,208.7,57.4,1.71,Mangosteen,499.07
2/9/2020,Jaffna,29.5,208.7,57.4,1.71,Avocado,261.09
2/9/2020,Jaffna,29.5,208.7,57.4,1.71,Rose Apple,362.27
2/10/2020,Jaffna,29.5,208.7,57.4,1.71,Soursop,271.15
2/10/2020,Jaffna,29.5,208.7,57.4,1.71,Custard Apple,266.01
2/10/2020,Jaffna,29.5,208.7,57.4,1.71,Gooseberry,255.82
2/11/2020,Jaffna,29.5,208.7,57.4,1.71,Pomegranate,215.55
2/11/2020,Jaffna,29.5,208.7,57.4,1.71,Orange,133.82
2/11/2020,Jaffna,21.9,362.4,79.9,1.2,Banana,159.8
2/12/2020,Jaffna,21.9,362.4,79.9,1.2,Papaya,233.89
2/12/2020,Jaffna,21.9,362.4,79.9,1.2,Mango,126.12
2/12/2020,Jaffna,21.9,362.4,79.9,1.2,Pineapple,304.24
2/13/2020,Jaffna,21.9,362.4,79.9,1.2,Wood Apple,378.04
2/13/2020,Jaffna,21.9,362.4,79.9,1.2,Beli Fruit,452.65
2/14/2020,Jaffna,21.9,362.4,79.9,1.2,Guava,338.77
2/14/2020,Jaffna,21.9,362.4,79.9,1.2,Passion Fruit,330.84
2/14/2020,Jaffna,21.9,362.4,79.9,1.2,Rambutan,156.18
2/15/2020,Jaffna,21.9,362.4,79.9,1.2,Mangosteen,448.41
2/15/2020,Jaffna,21.9,362.4,79.9,1.2,Avocado,437.89
2/15/2020,Jaffna,21.9,362.4,79.9,1.2,Rose Apple,283.61
