Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Banana,470.41
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Papaya,311.9
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Mango,160.14
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Pineapple,51.18
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Wood Apple,394.74
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Beli Fruit,317.81
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Guava,335.05
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Passion Fruit,187.43
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Rambutan,299.83
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Mangosteen,313.15
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Avocado,282.5
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Rose Apple,89.71
1/5/2020,Kalutara,30.7,71.2,75.3,1.57,Soursop,168.26
1/5/2020,Kalutara,30.7,71.2,75.3,1.57,Custard Apple,273.26
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Gooseberry,233.05
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Pomegranate,121.68
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Orange,362.68
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Banana,294.62
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Papaya,198.51
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Mango,90.0
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Pineapple,153.39
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Wood Apple,171.3
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Beli Fruit,61.9
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Guava,244.19
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Passion Fruit,205.33
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Rambutan,371.45
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Mangosteen,407.72
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Avocado,364.06
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Rose Apple,444.74
1/11/2020,Kalutara,37.5,168.5,60.1,1.79,Soursop,219.44
1/11/2020,Kalutara,37.5,168.5,60.1,1.79,Custard Apple,141.34
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Gooseberry,484.93
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Pomegranate,67.64
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Orange,459.58
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Banana,175.55
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Papaya,448.23
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Mango,343.57
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Pineapple,423.37
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Wood Apple,493.34
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Beli Fruit,51.17
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Guava,459.47
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Passion Fruit,269.06
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Rambutan,70.13
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Mangosteen,363.72
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Avocado,157.57
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Rose Apple,178.18
1/17/2020,Kalutara,27.5,334.7,60.7,1.6,Soursop,138.71
1/17/2020,Kalutara,27.5,334.7,60.7,1.6,Custard Apple,247.36
1/17/2020,Kalutara,27.5,334.7,60.7,1.6,Gooseberry,77.95
1/18/2020,Kalutara,27.5,334.7,60.7,1.6,Pomegranate,376.06
1/18/2020,Kalutara,27.5,334.7,60.7,1.6,Orange,234.14
1/19/2020,Kalutara,36.5,113.9,57.5,0.72,Banana,163.79
1/19/2020,Kalutara,36.5,113.9,57.5,0.72,Papaya,53.96
1/19/2020,Kalutara,36.5,113.9,57.5,0.72,Mango,488.17
1/20/2020,Kalutara,36.5,113.9,57.5,0.72,Pineapple,356.15
1/20/2020,Kalutara,36.5,113.9,57.5,0.72,Wood Apple,303.14
1/20/2020,Kalutara,36.5,113.9,57.5,0.72,Beli Fruit,98.62
1/21/2020,Kalutara,36.5,113.9,57.5,0.72,Guava,445.7
1/21/2020,Kalutara,36.5,113.9,57.5,0.72,Passion Fruit,344.67
1/21/2020,Kalutara,36.5,113.9,57.5,0.72,Rambutan,74.22
1/22/2020,Kalutara,36.5,113.9,57.5,0.72,Mangosteen,194.23
1/22/2020,Kalutara,36.5,113.9,57.5,0.72,Avocado,438.72
1/22/2020,Kalutara,36.5,113.9,57.5,0.72,Rose Apple,459.99
1/23/2020,Kalutara,36.5,113.9,57.5,0.72,Soursop,157.4
1/23/2020,Kalutara,36.5,113.9,57.5,0.72,Custard Apple,420.6
1/23/2020,Kalutara,36.5,113.9,57.5,0.72,Gooseberry,485.97
1/24/2020,Kalutara,36.5,113.9,57.5,0.72,Pomegranate,218.32
1/24/2020,Kalutara,36.5,113.9,57.5,0.72,Orange,266.75
1/25/2020,Kalutara,25.0,165.4,75.2,0.68,Banana,428.28
1/25/2020,Kalutara,25.0,165.4,75.2,0.68,Papaya,201.63
1/25/2020,Kalutara,25.0,165.4,75.2,0.68,Mango,422.32
1/26/2020,Kalutara,25.0,165.4,75.2,0.68,Pineapple,51.68
1/26/2020,Kalutara,25.0,165.4,75.2,0.68,Wood Apple,134.27
1/26/2020,Kalutara,25.0,165.4,75.2,0.68,Beli Fruit,63.0
1/27/2020,Kalutara,25.0,165.4,75.2,0.68,Guava,287.24
1/27/2020,Kalutara,25.0,165.4,75.2,0.68,Passion Fruit,464.09
1/27/2020,Kalutara,25.0,165.4,75.2,0.68,Rambutan,54.28
1/28/2020,Kalutara,25.0,165.4,75.2,0.68,Mangosteen,190.15
1/28/2020,Kalutara,25.0,165.4,75.2,0.68,Avocado,357.64
1/28/2020,Kalutara,25.0,165.4,75.2,0.68,Rose Apple,484.73
1/29/2020,Kalutara,25.0,165.4,75.2,0.68,Soursop,81.6
1/29/2020,Kalutara,25.0,165.4,75.2,0.68,Custard Apple,372.76
1/29/2020,Kalutara,25.0,165.4,75.2,0.68,Gooseberry,353.72
1/30/2020,Kalutara,25.0,165.4,75.2,0.68,Pomegranate,321.52
1/30/2020,Kalutara,25.0,165.4,75.2,0.68,Orange,261.87
1/30/2020,Kalutara,32.3,122.0,66.6,1.9,Banana,238.56
1/31/2020,Kalutara,32.3,122.0,66.6,1.9,Papaya,105.39
1/31/2020,Kalutara,32.3,122.0,66.6,1.9,Mango,399.28
2/1/2020,Kalutara,32.3,122.0,66.6,1.9,Pineapple,173.41
2/1/2020,Kalutara,32.3,122.0,66.6,1.9,Wood Apple,142.75
2/1/2020,Kalutara,32.3,122.0,66.6,1.9,Beli Fruit,213.11
