Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Banana,318.63
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Papaya,422.22
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Mango,299.79
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Pineapple,219.08
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Wood Apple,376.06
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Beli Fruit,68.35
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Guava,200.31
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Passion Fruit,444.09
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Rambutan,377.05
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Mangosteen,287.13
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Avocado,363.36
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Rose Apple,458.19
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Soursop,499.44
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Custard Apple,415.13
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Gooseberry,53.98
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Pomegranate,380.76
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Orange,255.52
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Banana,337.18
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Papaya,117.9
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Mango,110.14
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Pineapple,285.65
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Wood Apple,132.01
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Beli Fruit,365.49
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Guava,391.17
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Passion Fruit,444.63
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Rambutan,111.94
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Mangosteen,94.78
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Avocado,226.5
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Rose Apple,233.97
