Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Banana,288.77
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Papaya,371.41
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Mango,213.72
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Pineapple,354.64
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Wood Apple,288.01
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Beli Fruit,133.91
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Guava,418.03
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Passion Fruit,243.59
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Rambutan,202.13
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Mangosteen,470.85
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Avocado,202.24
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Rose Apple,162.16
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Soursop,184.91
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Custard Apple,113.01
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Gooseberry,294.89
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Pomegranate,261.52
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Orange,260.16
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Banana,257.57
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Papaya,326.33
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Mango,386.39
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Pineapple,212.4
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Wood Apple,111.29
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Beli Fruit,114.06
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Guava,98.96
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Passion Fruit,155.34
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Rambutan,496.17
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Mangosteen,134.91
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Avocado,110.34
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Rose Apple,188.24
1/11/2020,Kegalle,21.6,70.7,86.3,1.72,Soursop,330.81
1/11/2020,Kegalle,21.6,70.7,86.3,1.72,Custard Apple,64.81
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Gooseberry,139.66
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Pomegranate,393.57
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Orange,198.94
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Banana,215.57
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Papaya,297.03
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Mango,389.99
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Pineapple,168.02
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Wood Apple,106.23
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Beli Fruit,83.39
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Guava,96.18
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Passion Fruit,260.96
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Rambutan,356.59
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Mangosteen,89.44
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Avocado,296.15
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Rose Apple,244.64
1/17/2020,Kegalle,24.7,159.5,73.1,1.09,Soursop,374.46
1/17/2020,Kegalle,24.7,159.5,73.1,1.09,Custard Apple,483.06
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Gooseberry,106.05
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Pomegranate,445.0
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Orange,171.45
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Banana,299.05
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Papaya,360.92
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Mango,353.42
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Pineapple,179.45
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Wood Apple,234.26
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Beli Fruit,50.09
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Guava,356.6
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Passion Fruit,268.15
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Rambutan,235.86
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Mangosteen,207.5
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Avocado,190.36
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Rose Apple,424.89
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Soursop,480.52
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Custard Apple,307.37
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Gooseberry,260.17
1/24/2020,Kegalle,34.6,7.6,93.7,0.96,Pomegranate,470.98
1/24/2020,Kegalle,34.6,7.6,93.7,0.96,Orange,256.21
1/25/2020,Kegalle,26.0,337.7,62.2,1.9,Banana,203.83
1/25/2020,Kegalle,26.0,337.7,62.2,1.9,Papaya,88.82
1/25/2020,Kegalle,26.0,337.7,62.2,1.9,Mango,328.87
1/26/2020,Kegalle,26.0,337.7,62.2,1.9,Pineapple,406.54
1/26/2020,Kegalle,26.0,337.7,62.2,1.9,Wood Apple,310.84
1/26/2020,Kegalle,26.0,337.7,62.2,1.9,Beli Fruit,463.09
1/27/2020,Kegalle,26.0,337.7,62.2,1.9,Guava,356.91
1/27/2020,Kegalle,26.0,337.7,62.2,1.9,Passion Fruit,182.85
1/27/2020,Kegalle,26.0,337.7,62.2,1.9,Rambutan,235.21
1/28/2020,Kegalle,26.0,337.7,62.2,1.9,Mangosteen,118.42
1/28/2020,Kegalle,26.0,337.7,62.2,1.9,Avocado,418.74
1/28/2020,Kegalle,26.0,337.7,62.2,1.9,Rose Apple,306.41
1/29/2020,Kegalle,26.0,337.7,62.2,1.9,Soursop,97.75
1/29/2020,Kegalle,26.0,337.7,62.2,1.9,Custard Apple,335.28
1/29/2020,Kegalle,26.0,337.7,62.2,1.9,Gooseberry,411.91
1/30/2020,Kegalle,26.0,337.7,62.2,1.9,Pomegranate,350.24
1/30/2020,Kegalle,26.0,337.7,62.2,1.9,Orange,189.7
1/31/2020,Kegalle,34.2,98.0,84.5,0.96,Banana,418.53
1/31/2020,Kegalle,34.2,98.0,84.5,0.96,Papaya,253.13
1/31/2020,Kegalle,34.2,98.0,84.5,0.96,Mango,376.33
2/1/2020,Kegalle,34.2,98.0,84.5,0.96,Pineapple,239.27
2/1/2020,Kegalle,34.2,98.0,84.5,0.96,Wood Apple,88.65
2/1/2020,Kegalle,34.2,98.0,84.5,0.96,Beli Fruit,92.97
2/2/2020,Kegalle,34.2,98.0,84.5,0.96,Guava,368.5
2/2/2020,Kegalle,34.2,98.0,84.5,0.96,Passion Fruit,431.58
2/2/2020,Kegalle,34.2,98.0,84.5,0.96,Rambutan,97.05
2/3/2020,Kegalle,34.2,98.0,84.5,0.96,Mangosteen,285.42
2/3/2020,Kegalle,34.2,98.0,84.5,0.96,Avocado,372.93
2/3/2020,Kegalle,34.2,98.0,84.5,0.96,Rose Apple,441.98
2/4/2020,Kegalle,34.2,98.0,84.5,0.96,Soursop,317.07
2/4/2020,Kegalle,34.2,98.0,84.5,0.96,Custard Apple,112.26
2/4/2020,Kegalle,34.2,98.0,84.5,0.96,Gooseberry,253.75
2/5/2020,Kegalle,34.2,98.0,84.5,0.96,Pomegranate,57.21
2/5/2020,Kegalle,34.2,98.0,84.5,0.96,Orange,283.8
2/5/2020,Kegalle,35.8,204.7,84.9,0.55,Banana,275.1
