Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Banana,202.2
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Papaya,465.25
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Mango,485.01
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Pineapple,104.05
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Wood Apple,145.29
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Beli Fruit,300.85
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Guava,151.64
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Passion Fruit,139.21
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Rambutan,250.5
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Mangosteen,311.76
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Avocado,316.79
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Rose Apple,153.29
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Soursop,107.33
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Custard Apple,264.65
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Gooseberry,156.18
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Pomegranate,50.37
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Orange,101.98
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Banana,122.52
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Papaya,242.43
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Mango,178.13
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Pineapple,389.85
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Wood Apple,204.78
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Beli Fruit,75.94
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Guava,317.83
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Passion Fruit,362.97
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Rambutan,293.57
1/10/2020,Kilinochchi,21.5,357.5,85.8,1.45,Mangosteen,375.03
1/10/2020,Kilinochchi,21.5,357.5,85.8,1.45,Avocado,388.29
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Rose Apple,447.02
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Soursop,421.68
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Custard Apple,428.43
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Gooseberry,245.73
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Pomegranate,226.47
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Orange,495.79
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Banana,393.6
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Papaya,256.61
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Mango,239.16
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Pineapple,339.02
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Wood Apple,334.84
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Beli Fruit,340.43
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Guava,274.69
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Passion Fruit,169.54
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Rambutan,311.69
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Mangosteen,286.28
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Avocado,493.56
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Rose Apple,193.67
1/17/2020,Kilinochchi,24.5,21.3,70.6,1.4,Soursop,115.7
1/17/2020,Kilinochchi,24.5,21.3,70.6,1.4,Custard Apple,393.46
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Gooseberry,450.15
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Pomegranate,186.61
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Orange,280.24
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Banana,253.78
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Papaya,429.18
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Mango,87.24
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Pineapple,412.68
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Wood Apple,224.94
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Beli Fruit,153.19
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Guava,215.61
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Passion Fruit,451.61
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Rambutan,365.3
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Mangosteen,471.25
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Avocado,280.36
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Rose Apple,55.4
1/23/2020,Kilinochchi,30.2,148.2,92.4,0.74,Soursop,451.17
1/23/2020,Kilinochchi,30.2,148.2,92.4,0.74,Custard Apple,137.56
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Gooseberry,188.44
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Pomegranate,388.59
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Orange,422.58
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Banana,285.96
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Papaya,464.27
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Mango,470.09
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Pineapple,435.73
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Wood Apple,319.37
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Beli Fruit,395.92
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Guava,334.52
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Passion Fruit,153.7
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Rambutan,248.72
1/28/2020,Kilinochchi,35.7,293.4,89.2,1.67,Mangosteen,371.94
1/28/2020,Kilinochchi,35.7,293.4,89.2,1.67,Avocado,384.85
1/28/2020,Kilinochchi,35.7,293.4,89.2,1.67,Rose Apple,163.82
1/29/2020,Kilinochchi,35.7,293.4,89.2,1.67,Soursop,464.96
1/29/2020,Kilinochchi,35.7,293.4,89.2,1.67,Custard Apple,186.64
1/29/2020,Kilinochchi,35.7,293.4,89.2,1.67,Gooseberry,355.59
1/30/2020,Kilinochchi,35.7,293.4,89.2,1.67,Pomegranate,137.33
1/30/2020,Kilinochchi,35.7,293.4,89.2,1.67,Orange,272.66
1/31/2020,Kilinochchi,30.0,101.4,84.4,1.69,Banana,478.11
1/31/2020,Kilinochchi,30.0,101.4,84.4,1.69,Papaya,258.68
1/31/2020,Kilinochchi,30.0,101.4,84.4,1.69,Mango,269.2
2/1/2020,Kilinochchi,30.0,101.4,84.4,1.69,Pineapple,239.64
2/1/2020,Kilinochchi,30.0,101.4,84.4,1.69,Wood Apple,289.34
2/1/2020,Kilinochchi,30.0,101.4,84.4,1.69,Beli Fruit,486.18
2/2/2020,Kilinochchi,30.0,101.4,84.4,1.69,Guava,410.34
2/2/2020,Kilinochchi,30.0,101.4,84.4,1.69,Passion Fruit,479.99
2/2/2020,Kilinochchi,30.0,101.4,84.4,1.69,Rambutan,113.63
2/3/2020,Kilinochchi,30.0,101.4,84.4,1.69,Mangosteen,97.99
2/3/2020,Kilinochchi,30.0,101.4,84.4,1.69,Avocado,188.27
2/3/2020,Kilinochchi,30.0,101.4,84.4,1.69,Rose Apple,203.76
2/4/2020,Kilinochchi,30.0,101.4,84.4,1.69,Soursop,411.28
2/4/2020,Kilinochchi,30.0,101.4,84.4,1.69,Custard Apple,58.11
2/4/2020,Kilinochchi,30.0,101.4,84.4,1.69,Gooseberry,456.01
2/5/2020,Kilinochchi,30.0,101.4,84.4,1.69,Pomegranate,193.88
2/5/2020,Kilinochchi,30.0,101.4,84.4,1.69,Orange,258.32
2/6/2020,Kilinochchi,27.8,9.0,87.2,0.63,Banana,337.11
2/6/2020,Kilinochchi,27.8,9.0,87.2,0.63,Papaya,252.2
2/6/2020,Kilinochchi,27.8,9.0,87.2,0.63,Mango,392.96
2/7/2020,Kilinochchi,27.8,9.0,87.2,0.63,Pineapple,73.77
2/7/2020,Kilinochchi,27.8,9.0,87.2,0.63,Wood Apple,274.01
2/7/2020,Kilinochchi,27.8,9.0,87.2,0.63,Beli Fruit,91.06
2/8/2020,Kilinochchi,27.8,9.0,87.2,0.63,Guava,491.41
2/8/2020,Kilinochchi,27.8,9.0,87.2,0.63,Passion Fruit,227.04
2/8/2020,Kilinochchi,27.8,9.0,87.2,0.63,Rambutan,469.26
2/9/2020,Kilinochchi,27.8,9.0,87.2,0.63,Mangosteen,102.33
2/9/2020,Kilinochchi,27.8,9.0,87.2,0.63,Avocado,197.48
2/9/2020,Kilinochchi,27.8,9.0,87.2,0.63,Rose Apple,73.36
2/10/2020,Kilinochchi,27.8,9.0,87.2,0.63,Soursop,302.74
2/10/2020,Kilinochchi,27.8,9.0,87.2,0.63,Custard Apple,91.78
2/10/2020,Kilinochchi,27.8,9.0,87.2,0.63,Gooseberry,425.67
2/11/2020,Kilinochchi,27.8,9.0,87.2,0.63,Pomegranate,470.98
2/11/2020,Kilinochchi,27.8,9.0,87.2,0.63,Orange,314.87
2/11/2020,Kilinochchi,35.2,159.5,56.8,0.58,Banana,480.92
2/12/2020,Kilinochchi,35.2,159.5,56.8,0.58,Papaya,495.84
2/12/2020,Kilinochchi,35.2,159.5,56.8,0.58,Mango,464.71
2/13/2020,Kilinochchi,35.2,159.5,56.8,0.58,Pineapple,391.81
