Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Banana,98.5
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Papaya,449.31
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Mango,293.06
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Pineapple,497.56
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Wood Apple,395.76
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Beli Fruit,266.46
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Guava,211.82
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Passion Fruit,118.0
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Rambutan,481.89
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Mangosteen,274.38
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Avocado,440.05
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Rose Apple,306.29
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Soursop,121.12
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Custard Apple,399.24
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Gooseberry,166.65
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Pomegranate,355.03
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Orange,102.61
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Banana,404.65
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Papaya,413.77
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Mango,447.37
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Pineapple,388.82
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Wood Apple,423.41
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Beli Fruit,156.68
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Guava,263.46
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Passion Fruit,113.26
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Rambutan,381.13
1/10/2020,Kurunegala,34.6,173.0,84.8,1.13,Mangosteen,478.43
1/10/2020,Kurunegala,34.6,173.0,84.8,1.13,Avocado,381.47
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Rose Apple,278.77
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Soursop,289.29
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Custard Apple,370.26
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Gooseberry,326.27
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Pomegranate,279.14
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Orange,190.98
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Banana,476.21
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Papaya,381.58
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Mango,301.79
1/14/2020,Kurunegala,36.8,0.9,88.3,0.76,Pineapple,238.11
