Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Banana,191.85
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Papaya,175.44
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Mango,277.81
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Pineapple,408.15
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Wood Apple,234.88
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Beli Fruit,261.67
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Guava,367.09
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Passion Fruit,378.39
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Rambutan,426.87
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Mangosteen,420.78
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Avocado,441.8
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Rose Apple,410.15
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Soursop,138.7
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Custard Apple,324.72
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Gooseberry,451.82
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Pomegranate,127.93
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Orange,172.01
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Banana,488.84
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Papaya,170.11
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Mango,407.67
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Pineapple,382.91
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Wood Apple,276.13
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Beli Fruit,101.88
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Guava,107.84
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Passion Fruit,357.42
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Rambutan,86.14
1/10/2020,Mannar,37.6,269.8,57.4,0.82,Mangosteen,189.9
1/10/2020,Mannar,37.6,269.8,57.4,0.82,Avocado,235.43
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Rose Apple,153.93
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Soursop,405.01
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Custard Apple,286.61
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Gooseberry,264.07
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Pomegranate,102.04
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Orange,179.93
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Banana,138.2
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Papaya,395.47
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Mango,332.94
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Pineapple,406.5
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Wood Apple,393.32
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Beli Fruit,129.33
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Guava,193.94
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Passion Fruit,308.13
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Rambutan,119.52
1/16/2020,Mannar,29.7,281.2,87.8,0.55,Mangosteen,250.68
1/16/2020,Mannar,29.7,281.2,87.8,0.55,Avocado,404.57
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Rose Apple,115.81
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Soursop,163.68
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Custard Apple,287.19
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Gooseberry,51.96
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Pomegranate,351.74
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Orange,164.59
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Banana,159.42
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Papaya,179.54
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Mango,462.67
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Pineapple,178.63
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Wood Apple,207.28
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Beli Fruit,181.05
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Guava,457.74
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Passion Fruit,271.33
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Rambutan,197.99
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Mangosteen,237.3
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Avocado,297.01
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Rose Apple,385.32
1/23/2020,Mannar,34.7,316.5,62.2,1.05,Soursop,309.92
1/23/2020,Mannar,34.7,316.5,62.2,1.05,Custard Apple,403.11
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Gooseberry,100.3
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Pomegranate,450.47
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Orange,148.39
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Banana,97.5
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Papaya,71.21
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Mango,169.1
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Pineapple,78.02
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Wood Apple,340.45
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Beli Fruit,123.99
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Guava,183.52
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Passion Fruit,307.45
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Rambutan,168.47
