Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Matale,31.7,398.3,69.7,1.67,Banana,298.54
1/1/2020,Matale,31.7,398.3,69.7,1.67,Papaya,200.65
1/1/2020,Matale,31.7,398.3,69.7,1.67,Mango,81.5
1/2/2020,Matale,31.7,398.3,69.7,1.67,Pineapple,95.32
1/2/2020,Matale,31.7,398.3,69.7,1.67,Wood Apple,185.89
1/2/2020,Matale,31.7,398.3,69.7,1.67,Beli Fruit,100.76
1/3/2020,Matale,31.7,398.3,69.7,1.67,Guava,89.93
1/3/2020,Matale,31.7,398.3,69.7,1.67,Passion Fruit,141.2
1/4/2020,Matale,31.7,398.3,69.7,1.67,Rambutan,216.22
1/4/2020,Matale,31.7,398.3,69.7,1.67,Mangosteen,113.41
1/4/2020,Matale,31.7,398.3,69.7,1.67,Avocado,131.97
1/5/2020,Matale,31.7,398.3,69.7,1.67,Rose Apple,129.19
1/5/2020,Matale,31.7,398.3,69.7,1.67,Soursop,275.53
1/5/2020,Matale,31.7,398.3,69.7,1.67,Custard Apple,193.65
1/6/2020,Matale,31.7,398.3,69.7,1.67,Gooseberry,54.84
1/6/2020,Matale,31.7,398.3,69.7,1.67,Pomegranate,149.01
1/6/2020,Matale,31.7,398.3,69.7,1.67,Orange,409.93
1/7/2020,Matale,27.6,251.9,52.2,1.08,Banana,198.48
1/7/2020,Matale,27.6,251.9,52.2,1.08,Papaya,107.94
1/7/2020,Matale,27.6,251.9,52.2,1.08,Mango,449.25
1/8/2020,Matale,27.6,251.9,52.2,1.08,Pineapple,471.11
1/8/2020,Matale,27.6,251.9,52.2,1.08,Wood Apple,334.16
1/8/2020,Matale,27.6,251.9,52.2,1.08,Beli Fruit,183.34
1/9/2020,Matale,27.6,251.9,52.2,1.08,Guava,325.2
1/9/2020,Matale,27.6,251.9,52.2,1.08,Passion Fruit,84.19
1/9/2020,Matale,27.6,251.9,52.2,1.08,Rambutan,165.49
1/10/2020,Matale,27.6,251.9,52.2,1.08,Mangosteen,388.51
1/10/2020,Matale,27.6,251.9,52.2,1.08,Avocado,77.65
1/11/2020,Matale,27.6,251.9,52.2,1.08,Rose Apple,175.29
1/11/2020,Matale,27.6,251.9,52.2,1.08,Soursop,327.14
1/11/2020,Matale,27.6,251.9,52.2,1.08,Custard Apple,465.57
1/12/2020,Matale,27.6,251.9,52.2,1.08,Gooseberry,405.73
1/12/2020,Matale,27.6,251.9,52.2,1.08,Pomegranate,485.34
1/12/2020,Matale,27.6,251.9,52.2,1.08,Orange,398.31
1/13/2020,Matale,24.9,85.1,86.9,1.66,Banana,288.37
1/13/2020,Matale,24.9,85.1,86.9,1.66,Papaya,319.52
1/13/2020,Matale,24.9,85.1,86.9,1.66,Mango,208.75
1/14/2020,Matale,24.9,85.1,86.9,1.66,Pineapple,480.91
1/14/2020,Matale,24.9,85.1,86.9,1.66,Wood Apple,199.22
1/14/2020,Matale,24.9,85.1,86.9,1.66,Beli Fruit,78.81
1/15/2020,Matale,24.9,85.1,86.9,1.66,Guava,474.29
1/15/2020,Matale,24.9,85.1,86.9,1.66,Passion Fruit,151.41
1/15/2020,Matale,24.9,85.1,86.9,1.66,Rambutan,185.2
1/16/2020,Matale,24.9,85.1,86.9,1.66,Mangosteen,117.72
1/16/2020,Matale,24.9,85.1,86.9,1.66,Avocado,300.67
1/17/2020,Matale,24.9,85.1,86.9,1.66,Rose Apple,117.17
1/17/2020,Matale,24.9,85.1,86.9,1.66,Soursop,398.37
1/17/2020,Matale,24.9,85.1,86.9,1.66,Custard Apple,249.7
1/18/2020,Matale,24.9,85.1,86.9,1.66,Gooseberry,401.97
1/18/2020,Matale,24.9,85.1,86.9,1.66,Pomegranate,282.66
1/18/2020,Matale,24.9,85.1,86.9,1.66,Orange,452.27
