Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Matara,31.0,179.8,85.4,s,Banana,96.48
1/1/2020,Matara,31.0,179.8,85.4,1.48,Papaya,269.93
1/1/2020,Matara,31.0,179.8,85.4,1.48,Mango,438.87
1/2/2020,Matara,31.0,179.8,85.4,1.48,Pineapple,467.44
1/2/2020,Matara,31.0,179.8,85.4,1.48,Wood Apple,349.05
1/2/2020,Matara,31.0,179.8,85.4,1.48,Beli Fruit,281.42
1/3/2020,Matara,31.0,179.8,85.4,1.48,Guava,186.31
1/3/2020,Matara,31.0,179.8,85.4,1.48,Passion Fruit,163.24
1/4/2020,Matara,31.0,179.8,85.4,1.48,Rambutan,371.73
1/4/2020,Matara,31.0,179.8,85.4,1.48,Mangosteen,179.95
1/4/2020,Matara,31.0,179.8,85.4,1.48,Avocado,131.69
1/5/2020,Matara,31.0,179.8,85.4,1.48,Rose Apple,285.69
1/5/2020,Matara,31.0,179.8,85.4,1.48,Soursop,207.51
1/5/2020,Matara,31.0,179.8,85.4,1.48,Custard Apple,345.37
1/6/2020,Matara,31.0,179.8,85.4,1.48,Gooseberry,249.3
1/6/2020,Matara,31.0,179.8,85.4,1.48,Pomegranate,323.25
1/6/2020,Matara,31.0,179.8,85.4,1.48,Orange,476.98
1/7/2020,Matara,21.5,140.1,67.9,1.85,Banana,275.04
1/7/2020,Matara,21.5,140.1,67.9,1.85,Papaya,471.92
1/7/2020,Matara,21.5,140.1,67.9,1.85,Mango,400.22
1/8/2020,Matara,21.5,140.1,67.9,1.85,Pineapple,377.17
1/8/2020,Matara,21.5,140.1,67.9,1.85,Wood Apple,68.32
1/8/2020,Matara,21.5,140.1,67.9,1.85,Beli Fruit,436.39
1/9/2020,Matara,21.5,140.1,67.9,1.85,Guava,407.77
1/9/2020,Matara,21.5,140.1,67.9,1.85,Passion Fruit,358.3
1/10/2020,Matara,21.5,140.1,67.9,1.85,Rambutan,379.19
1/10/2020,Matara,21.5,140.1,67.9,1.85,Mangosteen,92.31
1/10/2020,Matara,21.5,140.1,67.9,1.85,Avocado,65.55
1/11/2020,Matara,21.5,140.1,67.9,1.85,Rose Apple,143.02
1/11/2020,Matara,21.5,140.1,67.9,1.85,Soursop,104.99
1/11/2020,Matara,21.5,140.1,67.9,1.85,Custard Apple,260.94
1/12/2020,Matara,21.5,140.1,67.9,1.85,Gooseberry,231.35
1/12/2020,Matara,21.5,140.1,67.9,1.85,Pomegranate,228.06
1/12/2020,Matara,21.5,140.1,67.9,1.85,Orange,161.27
1/13/2020,Matara,20.8,223.4,86.0,0.67,Banana,275.91
1/13/2020,Matara,20.8,223.4,86.0,0.67,Papaya,449.9
1/13/2020,Matara,20.8,223.4,86.0,0.67,Mango,167.98
1/14/2020,Matara,20.8,223.4,86.0,0.67,Pineapple,263.36
1/14/2020,Matara,20.8,223.4,86.0,0.67,Wood Apple,358.99
1/14/2020,Matara,20.8,223.4,86.0,0.67,Beli Fruit,462.01
1/15/2020,Matara,20.8,223.4,86.0,0.67,Guava,105.87
1/15/2020,Matara,20.8,223.4,86.0,0.67,Passion Fruit,338.26
1/15/2020,Matara,20.8,223.4,86.0,0.67,Rambutan,313.71
1/16/2020,Matara,20.8,223.4,86.0,0.67,Mangosteen,164.23
1/16/2020,Matara,20.8,223.4,86.0,0.67,Avocado,160.45
1/17/2020,Matara,20.8,223.4,86.0,0.67,Rose Apple,179.01
1/17/2020,Matara,20.8,223.4,86.0,0.67,Soursop,347.63
1/17/2020,Matara,20.8,223.4,86.0,0.67,Custard Apple,174.19
1/18/2020,Matara,20.8,223.4,86.0,0.67,Gooseberry,301.27
1/18/2020,Matara,20.8,223.4,86.0,0.67,Pomegranate,246.88
1/18/2020,Matara,20.8,223.4,86.0,0.67,Orange,64.68
1/19/2020,Matara,33.8,359.8,95.0,0.91,Banana,477.05
1/19/2020,Matara,33.8,359.8,95.0,0.91,Papaya,271.82
1/19/2020,Matara,33.8,359.8,95.0,0.91,Mango,302.34
1/20/2020,Matara,33.8,359.8,95.0,0.91,Pineapple,334.48
1/20/2020,Matara,33.8,359.8,95.0,0.91,Wood Apple,490.93
1/20/2020,Matara,33.8,359.8,95.0,0.91,Beli Fruit,418.76
1/21/2020,Matara,33.8,359.8,95.0,0.91,Guava,274.51
1/21/2020,Matara,33.8,359.8,95.0,0.91,Passion Fruit,454.22
1/21/2020,Matara,33.8,359.8,95.0,0.91,Rambutan,88.59
1/22/2020,Matara,33.8,359.8,95.0,0.91,Mangosteen,372.55
1/22/2020,Matara,33.8,359.8,95.0,0.91,Avocado,121.8
1/23/2020,Matara,33.8,359.8,95.0,0.91,Rose Apple,290.11
1/23/2020,Matara,33.8,359.8,95.0,0.91,Soursop,442.86
1/23/2020,Matara,33.8,359.8,95.0,0.91,Custard Apple,91.97
1/24/2020,Matara,33.8,359.8,95.0,0.91,Gooseberry,86.45
1/24/2020,Matara,33.8,359.8,95.0,0.91,Pomegranate,411.9
1/24/2020,Matara,33.8,359.8,95.0,0.91,Orange,177.25
1/25/2020,Matara,29.7,103.9,70.9,1.84,Banana,308.4
1/25/2020,Matara,29.7,103.9,70.9,1.84,Papaya,75.76
1/25/2020,Matara,29.7,103.9,70.9,1.84,Mango,365.47
1/26/2020,Matara,29.7,103.9,70.9,1.84,Pineapple,66.78
1/26/2020,Matara,29.7,103.9,70.9,1.84,Wood Apple,301.55
1/26/2020,Matara,29.7,103.9,70.9,1.84,Beli Fruit,300.32
1/27/2020,Matara,29.7,103.9,70.9,1.84,Guava,116.26
1/27/2020,Matara,29.7,103.9,70.9,1.84,Passion Fruit,141.68
1/27/2020,Matara,29.7,103.9,70.9,1.84,Rambutan,217.88
1/28/2020,Matara,29.7,103.9,70.9,1.84,Mangosteen,137.45
1/28/2020,Matara,29.7,103.9,70.9,1.84,Avocado,261.46
1/28/2020,Matara,29.7,103.9,70.9,1.84,Rose Apple,455.09
1/29/2020,Matara,29.7,103.9,70.9,1.84,Soursop,326.58
1/29/2020,Matara,29.7,103.9,70.9,1.84,Custard Apple,288.5
1/30/2020,Matara,29.7,103.9,70.9,1.84,Gooseberry,108.61
1/30/2020,Matara,29.7,103.9,70.9,1.84,Pomegranate,133.99
1/30/2020,Matara,29.7,103.9,70.9,1.84,Orange,185.25
1/31/2020,Matara,27.3,290.0,57.5,1.83,Banana,372.63
1/31/2020,Matara,27.3,290.0,57.5,1.83,Papaya,201.25
1/31/2020,Matara,27.3,290.0,57.5,1.83,Mango,194.25
2/1/2020,Matara,27.3,290.0,57.5,1.83,Pineapple,332.45
2/1/2020,Matara,27.3,290.0,57.5,1.83,Wood Apple,252.34
2/1/2020,Matara,27.3,290.0,57.5,1.83,Beli Fruit,145.74
2/2/2020,Matara,27.3,290.0,57.5,1.83,Guava,194.96
2/2/2020,Matara,27.3,290.0,57.5,1.83,Passion Fruit,140.16
2/2/2020,Matara,27.3,290.0,57.5,1.83,Rambutan,454.26
2/3/2020,Matara,27.3,290.0,57.5,1.83,Mangosteen,280.15
2/3/2020,Matara,27.3,290.0,57.5,1.83,Avocado,424.49
2/3/2020,Matara,27.3,290.0,57.5,1.83,Rose Apple,490.05
2/4/2020,Matara,27.3,290.0,57.5,1.83,Soursop,448.65
2/4/2020,Matara,27.3,290.0,57.5,1.83,Custard Apple,478.19
2/5/2020,Matara,27.3,290.0,57.5,1.83,Gooseberry,179.83
2/5/2020,Matara,27.3,290.0,57.5,1.83,Pomegranate,368.42
2/5/2020,Matara,27.3,290.0,57.5,1.83,Orange,270.13
