Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Banana,278.12
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Papaya,318.16
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Mango,293.46
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Pineapple,278.99
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Wood Apple,369.88
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Beli Fruit,334.52
1/3/2020,Monaragala,33.0,215.5,94.0,1.92,Guava,325.72
1/3/2020,Monaragala,33.0,215.5,94.0,1.92,Passion Fruit,117.57
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Rambutan,369.51
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Mangosteen,235.91
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Avocado,224.57
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Rose Apple,69.94
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Soursop,65.21
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Custard Apple,338.05
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Gooseberry,357.72
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Pomegranate,316.19
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Orange,232.82
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Banana,56.84
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Papaya,237.01
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Mango,252.26
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Pineapple,358.68
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Wood Apple,255.06
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Beli Fruit,239.92
1/9/2020,Monaragala,34.8,145.8,80.7,1.21,Guava,385.12
1/9/2020,Monaragala,34.8,145.8,80.7,1.21,Passion Fruit,421.24
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Rambutan,305.4
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Mangosteen,327.82
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Avocado,447.62
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Rose Apple,433.25
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Soursop,420.21
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Custard Apple,243.96
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Gooseberry,373.09
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Pomegranate,86.93
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Orange,333.8
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Banana,352.61
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Papaya,291.96
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Mango,495.34
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Pineapple,403.5
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Wood Apple,453.7
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Beli Fruit,109.09
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Guava,73.88
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Passion Fruit,433.47
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Rambutan,172.69
1/16/2020,Monaragala,26.3,125.0,52.1,1.47,Mangosteen,140.44
1/16/2020,Monaragala,26.3,125.0,52.1,1.47,Avocado,360.64
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Rose Apple,425.94
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Soursop,459.21
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Custard Apple,227.65
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Gooseberry,166.53
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Pomegranate,485.0
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Orange,173.37
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Banana,307.62
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Papaya,74.27
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Mango,466.56
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Pineapple,334.71
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Wood Apple,356.62
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Beli Fruit,397.71
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Guava,81.26
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Passion Fruit,417.85
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Rambutan,423.96
1/22/2020,Monaragala,22.2,243.0,54.2,1.12,Mangosteen,83.03
1/22/2020,Monaragala,22.2,243.0,54.2,1.12,Avocado,391.44
1/23/2020,Monaragala,22.2,243.0,54.2,1.12,Rose Apple,400.42
