Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Banana,371.56
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Papaya,443.86
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Mango,375.44
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Pineapple,183.84
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Wood Apple,207.75
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Beli Fruit,381.25
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Guava,467.21
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Passion Fruit,434.52
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Rambutan,193.33
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Mangosteen,395.59
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Avocado,185.69
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Rose Apple,339.51
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Soursop,445.49
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Custard Apple,358.47
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Gooseberry,216.58
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Pomegranate,320.52
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Orange,252.82
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Banana,116.82
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Papaya,469.59
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Mango,215.53
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Pineapple,207.08
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Wood Apple,120.67
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Beli Fruit,101.44
1/9/2020,Mullaitivu,23.8,19.6,56.1,1.64,Guava,133.92
1/9/2020,Mullaitivu,23.8,19.6,56.1,1.64,Passion Fruit,322.37
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Rambutan,343.25
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Mangosteen,349.23
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Avocado,415.48
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Rose Apple,149.35
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Soursop,395.51
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Custard Apple,323.18
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Gooseberry,101.78
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Pomegranate,154.66
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Orange,199.73
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Banana,80.46
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Papaya,299.46
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Mango,185.28
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Pineapple,122.86
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Wood Apple,232.61
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Beli Fruit,150.7
1/15/2020,Mullaitivu,23.6,110.4,66.9,1.56,Guava,85.56
1/15/2020,Mullaitivu,23.6,110.4,66.9,1.56,Passion Fruit,171.62
1/16/2020,Mullaitivu,23.6,110.4,66.9,1.56,Rambutan,295.84
1/16/2020,Mullaitivu,23.6,110.4,66.9,1.56,Mangosteen,384.1
1/16/2020,Mullaitivu,23.6,110.4,66.9,1.56,Avocado,173.94
1/17/2020,Mullaitivu,23.6,110.4,66.9,1.56,Rose Apple,298.13
1/17/2020,Mullaitivu,23.6,110.4,66.9,1.56,Soursop,414.09
1/17/2020,Mullaitivu,23.6,110.4,66.9,1.56,Custard Apple,491.14
1/18/2020,Mullaitivu,23.6,110.4,66.9,1.56,Gooseberry,97.34
1/18/2020,Mullaitivu,23.6,110.4,66.9,1.56,Pomegranate,239.52
1/18/2020,Mullaitivu,23.6,110.4,66.9,1.56,Orange,346.38
1/19/2020,Mullaitivu,32.1,28.3,64.9,1.64,Banana,83.08
1/19/2020,Mullaitivu,32.1,28.3,64.9,1.64,Papaya,246.08
1/19/2020,Mullaitivu,32.1,28.3,64.9,1.64,Mango,365.06
1/20/2020,Mullaitivu,32.1,28.3,64.9,1.64,Pineapple,375.22
1/20/2020,Mullaitivu,32.1,28.3,64.9,1.64,Wood Apple,435.56
1/20/2020,Mullaitivu,32.1,28.3,64.9,1.64,Beli Fruit,466.16
1/21/2020,Mullaitivu,32.1,28.3,64.9,1.64,Guava,461.29
1/21/2020,Mullaitivu,32.1,28.3,64.9,1.64,Passion Fruit,221.87
1/21/2020,Mullaitivu,32.1,28.3,64.9,1.64,Rambutan,137.23
1/22/2020,Mullaitivu,32.1,28.3,64.9,1.64,Mangosteen,319.1
1/22/2020,Mullaitivu,32.1,28.3,64.9,1.64,Avocado,65.84
1/23/2020,Mullaitivu,32.1,28.3,64.9,1.64,Rose Apple,269.52
1/23/2020,Mullaitivu,32.1,28.3,64.9,1.64,Soursop,128.56
1/23/2020,Mullaitivu,32.1,28.3,64.9,1.64,Custard Apple,371.13
1/24/2020,Mullaitivu,32.1,28.3,64.9,1.64,Gooseberry,264.68
1/24/2020,Mullaitivu,32.1,28.3,64.9,1.64,Pomegranate,288.35
1/24/2020,Mullaitivu,32.1,28.3,64.9,1.64,Orange,286.35
1/25/2020,Mullaitivu,28.4,305.5,79.4,1.35,Banana,229.89
1/25/2020,Mullaitivu,28.4,305.5,79.4,1.35,Papaya,359.39
1/25/2020,Mullaitivu,28.4,305.5,79.4,1.35,Mango,373.04
1/26/2020,Mullaitivu,28.4,305.5,79.4,1.35,Pineapple,390.88
1/26/2020,Mullaitivu,28.4,305.5,79.4,1.35,Wood Apple,400.9
1/26/2020,Mullaitivu,28.4,305.5,79.4,1.35,Beli Fruit,382.82
1/27/2020,Mullaitivu,28.4,305.5,79.4,1.35,Guava,280.61
1/27/2020,Mullaitivu,28.4,305.5,79.4,1.35,Passion Fruit,187.57
1/27/2020,Mullaitivu,28.4,305.5,79.4,1.35,Rambutan,91.65
1/28/2020,Mullaitivu,28.4,305.5,79.4,1.35,Mangosteen,482.4
1/28/2020,Mullaitivu,28.4,305.5,79.4,1.35,Avocado,350.76
1/29/2020,Mullaitivu,28.4,305.5,79.4,1.35,Rose Apple,176.24
1/29/2020,Mullaitivu,28.4,305.5,79.4,1.35,Soursop,468.53
1/29/2020,Mullaitivu,28.4,305.5,79.4,1.35,Custard Apple,297.04
1/30/2020,Mullaitivu,28.4,305.5,79.4,1.35,Gooseberry,253.29
1/30/2020,Mullaitivu,28.4,305.5,79.4,1.35,Pomegranate,261.31
1/30/2020,Mullaitivu,28.4,305.5,79.4,1.35,Orange,342.44
1/31/2020,Mullaitivu,30.5,381.0,66.2,1.35,Banana,496.3
1/31/2020,Mullaitivu,30.5,381.0,66.2,1.35,Papaya,265.06
1/31/2020,Mullaitivu,30.5,381.0,66.2,1.35,Mango,475.19
2/1/2020,Mullaitivu,30.5,381.0,66.2,1.35,Pineapple,458.34
2/1/2020,Mullaitivu,30.5,381.0,66.2,1.35,Wood Apple,273.56
2/1/2020,Mullaitivu,30.5,381.0,66.2,1.35,Beli Fruit,485.51
2/2/2020,Mullaitivu,30.5,381.0,66.2,1.35,Guava,213.5
2/2/2020,Mullaitivu,30.5,381.0,66.2,1.35,Passion Fruit,64.1
2/2/2020,Mullaitivu,30.5,381.0,66.2,1.35,Rambutan,430.87
2/3/2020,Mullaitivu,30.5,381.0,66.2,1.35,Mangosteen,168.48
2/3/2020,Mullaitivu,30.5,381.0,66.2,1.35,Avocado,261.81
2/3/2020,Mullaitivu,30.5,381.0,66.2,1.35,Rose Apple,137.88
2/4/2020,Mullaitivu,30.5,381.0,66.2,1.35,Soursop,81.81
2/4/2020,Mullaitivu,30.5,381.0,66.2,1.35,Custard Apple,267.18
2/5/2020,Mullaitivu,30.5,381.0,66.2,1.35,Gooseberry,196.86
2/5/2020,Mullaitivu,30.5,381.0,66.2,1.35,Pomegranate,62.7
2/5/2020,Mullaitivu,30.5,381.0,66.2,1.35,Orange,93.56
2/6/2020,Mullaitivu,26.0,171.6,85.8,1.89,Banana,187.56
2/6/2020,Mullaitivu,26.0,171.6,85.8,1.89,Papaya,259.09
2/6/2020,Mullaitivu,26.0,171.6,85.8,1.89,Mango,115.11
2/7/2020,Mullaitivu,26.0,171.6,85.8,1.89,Pineapple,125.54
2/7/2020,Mullaitivu,26.0,171.6,85.8,1.89,Wood Apple,236.32
2/7/2020,Mullaitivu,26.0,171.6,85.8,1.89,Beli Fruit,171.57
2/8/2020,Mullaitivu,26.0,171.6,85.8,1.89,Guava,470.79
2/8/2020,Mullaitivu,26.0,171.6,85.8,1.89,Passion Fruit,482.61
2/8/2020,Mullaitivu,26.0,171.6,85.8,1.89,Rambutan,177.48
2/9/2020,Mullaitivu,26.0,171.6,85.8,1.89,Mangosteen,230.91
2/9/2020,Mullaitivu,26.0,171.6,85.8,1.89,Avocado,96.63
2/9/2020,Mullaitivu,26.0,171.6,85.8,1.89,Rose Apple,363.19
2/10/2020,Mullaitivu,26.0,171.6,85.8,1.89,Soursop,213.47
2/10/2020,Mullaitivu,26.0,171.6,85.8,1.89,Custard Apple,394.11
2/11/2020,Mullaitivu,26.0,171.6,85.8,1.89,Gooseberry,327.27
2/11/2020,Mullaitivu,26.0,171.6,85.8,1.89,Pomegranate,461.91
2/11/2020,Mullaitivu,26.0,171.6,85.8,1.89,Orange,319.46
2/12/2020,Mullaitivu,26.2,193.8,73.4,1.79,Banana,289.57
2/12/2020,Mullaitivu,26.2,193.8,73.4,1.79,Papaya,434.62
2/12/2020,Mullaitivu,26.2,193.8,73.4,1.79,Mango,235.0
2/13/2020,Mullaitivu,26.2,193.8,73.4,1.79,Pineapple,53.78
2/13/2020,Mullaitivu,26.2,193.8,73.4,1.79,Wood Apple,349.92
2/13/2020,Mullaitivu,26.2,193.8,73.4,1.79,Beli Fruit,283.14
2/14/2020,Mullaitivu,26.2,193.8,73.4,1.79,Guava,143.58
2/14/2020,Mullaitivu,26.2,193.8,73.4,1.79,Passion Fruit,374.17
2/14/2020,Mullaitivu,26.2,193.8,73.4,1.79,Rambutan,356.21
2/15/2020,Mullaitivu,26.2,193.8,73.4,1.79,Mangosteen,402.77
2/15/2020,Mullaitivu,26.2,193.8,73.4,1.79,Avocado,270.7
2/15/2020,Mullaitivu,26.2,193.8,73.4,1.79,Rose Apple,195.51
2/16/2020,Mullaitivu,26.2,193.8,73.4,1.79,Soursop,258.91
2/16/2020,Mullaitivu,26.2,193.8,73.4,1.79,Custard Apple,237.33
2/16/2020,Mullaitivu,26.2,193.8,73.4,1.79,Gooseberry,341.52
2/17/2020,Mullaitivu,26.2,193.8,73.4,1.79,Pomegranate,70.99
2/17/2020,Mullaitivu,26.2,193.8,73.4,1.79,Orange,239.89
2/18/2020,Mullaitivu,32.7,23.6,57.3,0.9,Banana,122.81
2/18/2020,Mullaitivu,32.7,23.6,57.3,0.9,Papaya,105.84
2/18/2020,Mullaitivu,32.7,23.6,57.3,0.9,Mango,90.55
2/19/2020,Mullaitivu,32.7,23.6,57.3,0.9,Pineapple,404.03
2/19/2020,Mullaitivu,32.7,23.6,57.3,0.9,Wood Apple,165.24
2/19/2020,Mullaitivu,32.7,23.6,57.3,0.9,Beli Fruit,383.47
2/20/2020,Mullaitivu,32.7,23.6,57.3,0.9,Guava,86.6
2/20/2020,Mullaitivu,32.7,23.6,57.3,0.9,Passion Fruit,163.3
2/20/2020,Mullaitivu,32.7,23.6,57.3,0.9,Rambutan,169.42
2/21/2020,Mullaitivu,32.7,23.6,57.3,0.9,Mangosteen,118.14
2/21/2020,Mullaitivu,32.7,23.6,57.3,0.9,Avocado,497.97
2/21/2020,Mullaitivu,32.7,23.6,57.3,0.9,Rose Apple,483.05
2/22/2020,Mullaitivu,32.7,23.6,57.3,0.9,Soursop,141.29
2/22/2020,Mullaitivu,32.7,23.6,57.3,0.9,Custard Apple,422.46
2/22/2020,Mullaitivu,32.7,23.6,57.3,0.9,Gooseberry,267.74
2/23/2020,Mullaitivu,32.7,23.6,57.3,0.9,Pomegranate,298.9
2/23/2020,Mullaitivu,32.7,23.6,57.3,0.9,Orange,62.91
2/24/2020,Mullaitivu,31.1,262.0,54.2,1.33,Banana,282.98
2/24/2020,Mullaitivu,31.1,262.0,54.2,1.33,Papaya,93.95
2/24/2020,Mullaitivu,31.1,262.0,54.2,1.33,Mango,188.85
2/25/2020,Mullaitivu,31.1,262.0,54.2,1.33,Pineapple,276.3
2/25/2020,Mullaitivu,31.1,262.0,54.2,1.33,Wood Apple,427.53
2/25/2020,Mullaitivu,31.1,262.0,54.2,1.33,Beli Fruit,414.59
2/26/2020,Mullaitivu,31.1,262.0,54.2,1.33,Guava,108.95
2/26/2020,Mullaitivu,31.1,262.0,54.2,1.33,Passion Fruit,421.53
2/26/2020,Mullaitivu,31.1,262.0,54.2,1.33,Rambutan,283.11
2/27/2020,Mullaitivu,31.1,262.0,54.2,1.33,Mangosteen,170.37
2/27/2020,Mullaitivu,31.1,262.0,54.2,1.33,Avocado,225.46
2/27/2020,Mullaitivu,31.1,262.0,54.2,1.33,Rose Apple,446.53
2/28/2020,Mullaitivu,31.1,262.0,54.2,1.33,Soursop,67.08
2/28/2020,Mullaitivu,31.1,262.0,54.2,1.33,Custard Apple,202.28
2/28/2020,Mullaitivu,31.1,262.0,54.2,1.33,Gooseberry,118.52
2/29/2020,Mullaitivu,31.1,262.0,54.2,1.33,Pomegranate,54.89
2/29/2020,Mullaitivu,31.1,262.0,54.2,1.33,Orange,301.17
2/29/2020,Mullaitivu,29.7,265.3,67.6,1.05,Banana,202.6
3/1/2020,Mullaitivu,29.7,265.3,67.6,1.05,Papaya,358.5
3/1/2020,Mullaitivu,29.7,265.3,67.6,1.05,Mango,441.93
3/2/2020,Mullaitivu,29.7,265.3,67.6,1.05,Pineapple,293.79
3/2/2020,Mullaitivu,29.7,265.3,67.6,1.05,Wood Apple,346.72
3/2/2020,Mullaitivu,29.7,265.3,67.6,1.05,Beli Fruit,323.47
3/3/2020,Mullaitivu,29.7,265.3,67.6,1.05,Guava,412.98
3/3/2020,Mullaitivu,29.7,265.3,67.6,1.05,Passion Fruit,492.81
3/3/2020,Mullaitivu,29.7,265.3,67.6,1.05,Rambutan,262.13
3/4/2020,Mullaitivu,29.7,265.3,67.6,1.05,Mangosteen,473.69
3/4/2020,Mullaitivu,29.7,265.3,67.6,1.05,Avocado,87.87
3/4/2020,Mullaitivu,29.7,265.3,67.6,1.05,Rose Apple,115.23
3/5/2020,Mullaitivu,29.7,265.3,67.6,1.05,Soursop,430.46
3/5/2020,Mullaitivu,29.7,265.3,67.6,1.05,Custard Apple,256.51
3/5/2020,Mullaitivu,29.7,265.3,67.6,1.05,Gooseberry,273.94
3/6/2020,Mullaitivu,29.7,265.3,67.6,1.05,Pomegranate,179.49
3/6/2020,Mullaitivu,29.7,265.3,67.6,1.05,Orange,97.11
3/6/2020,Mullaitivu,32.7,303.5,74.4,0.88,Banana,93.77
3/7/2020,Mullaitivu,32.7,303.5,74.4,0.88,Papaya,70.22
3/7/2020,Mullaitivu,32.7,303.5,74.4,0.88,Mango,324.85
3/8/2020,Mullaitivu,32.7,303.5,74.4,0.88,Pineapple,228.86
3/8/2020,Mullaitivu,32.7,303.5,74.4,0.88,Wood Apple,264.25
3/8/2020,Mullaitivu,32.7,303.5,74.4,0.88,Beli Fruit,496.1
3/9/2020,Mullaitivu,32.7,303.5,74.4,0.88,Guava,430.31
3/9/2020,Mullaitivu,32.7,303.5,74.4,0.88,Passion Fruit,97.88
3/9/2020,Mullaitivu,32.7,303.5,74.4,0.88,Rambutan,72.66
3/10/2020,Mullaitivu,32.7,303.5,74.4,0.88,Mangosteen,354.72
3/10/2020,Mullaitivu,32.7,303.5,74.4,0.88,Avocado,205.24
3/10/2020,Mullaitivu,32.7,303.5,74.4,0.88,Rose Apple,353.83
3/11/2020,Mullaitivu,32.7,303.5,74.4,0.88,Soursop,261.46
3/11/2020,Mullaitivu,32.7,303.5,74.4,0.88,Custard Apple,372.37
3/11/2020,Mullaitivu,32.7,303.5,74.4,0.88,Gooseberry,285.6
3/12/2020,Mullaitivu,32.7,303.5,74.4,0.88,Pomegranate,435.73
3/12/2020,Mullaitivu,32.7,303.5,74.4,0.88,Orange,388.46
3/12/2020,Mullaitivu,25.6,261.6,86.1,1.05,Banana,404.79
3/13/2020,Mullaitivu,25.6,261.6,86.1,1.05,Papaya,104.55
3/13/2020,Mullaitivu,25.6,261.6,86.1,1.05,Mango,417.56
3/13/2020,Mullaitivu,25.6,261.6,86.1,1.05,Pineapple,451.73
3/14/2020,Mullaitivu,25.6,261.6,86.1,1.05,Wood Apple,427.63
3/14/2020,Mullaitivu,25.6,261.6,86.1,1.05,Beli Fruit,101.2
3/15/2020,Mullaitivu,25.6,261.6,86.1,1.05,Guava,468.18
3/15/2020,Mullaitivu,25.6,261.6,86.1,1.05,Passion Fruit,403.99
3/15/2020,Mullaitivu,25.6,261.6,86.1,1.05,Rambutan,278.69
3/16/2020,Mullaitivu,25.6,261.6,86.1,1.05,Mangosteen,378.37
3/16/2020,Mullaitivu,25.6,261.6,86.1,1.05,Avocado,246.01
3/16/2020,Mullaitivu,25.6,261.6,86.1,1.05,Rose Apple,430.13
3/17/2020,Mullaitivu,25.6,261.6,86.1,1.05,Soursop,335.07
3/17/2020,Mullaitivu,25.6,261.6,86.1,1.05,Custard Apple,104.46
3/17/2020,Mullaitivu,25.6,261.6,86.1,1.05,Gooseberry,421.53
3/18/2020,Mullaitivu,25.6,261.6,86.1,1.05,Pomegranate,86.9
3/18/2020,Mullaitivu,25.6,261.6,86.1,1.05,Orange,169.16
