Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Banana,107.07
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Papaya,166.43
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Mango,319.1
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Pineapple,225.22
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Wood Apple,496.56
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Beli Fruit,63.09
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Guava,57.31
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Passion Fruit,122.06
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Rambutan,167.82
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Mangosteen,82.66
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Avocado,78.01
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Rose Apple,422.56
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Soursop,85.81
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Custard Apple,356.76
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Gooseberry,190.56
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Pomegranate,210.94
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Orange,453.33
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Banana,205.21
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Papaya,85.54
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Mango,359.16
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Pineapple,156.92
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Wood Apple,161.53
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Beli Fruit,59.06
1/9/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Guava,167.09
1/9/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Passion Fruit,441.44
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Rambutan,213.37
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Mangosteen,135.81
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Avocado,376.78
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Rose Apple,169.05
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Soursop,289.42
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Custard Apple,243.03
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Gooseberry,129.7
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Pomegranate,313.45
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Orange,456.7
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Banana,391.21
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Papaya,114.13
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Mango,336.27
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Pineapple,386.1
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Wood Apple,302.18
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Beli Fruit,309.34
1/15/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Guava,332.46
1/15/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Passion Fruit,340.5
1/16/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Rambutan,153.2
1/16/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Mangosteen,159.91
1/16/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Avocado,286.14
1/17/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Rose Apple,142.77
1/17/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Soursop,275.01
1/17/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Custard Apple,338.98
1/18/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Gooseberry,185.23
1/18/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Pomegranate,125.72
1/18/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Orange,320.36
1/19/2020,Nuwara Eliya,33.9,161.8,82.6,1.06,Banana,189.85
