Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Banana,338.81
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Papaya,57.87
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Mango,158.35
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Pineapple,192.41
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Wood Apple,397.77
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Beli Fruit,92.93
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Guava,180.7
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Passion Fruit,431.99
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Rambutan,234.63
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Mangosteen,207.98
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Avocado,386.09
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Rose Apple,186.48
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Soursop,439.68
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Custard Apple,336.7
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Gooseberry,397.17
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Pomegranate,497.56
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Orange,460.04
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Banana,386.15
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Papaya,171.76
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Mango,322.31
1/8/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Pineapple,171.27
1/8/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Wood Apple,405.22
1/9/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Beli Fruit,228.52
1/9/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Guava,327.29
1/9/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Passion Fruit,378.56
1/10/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Rambutan,379.6
1/10/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Mangosteen,355.54
1/10/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Avocado,73.81
1/11/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Rose Apple,383.47
1/11/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Soursop,320.34
1/11/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Custard Apple,78.06
1/12/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Gooseberry,400.43
1/12/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Pomegranate,174.25
1/12/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Orange,290.28
1/13/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Banana,458.35
1/13/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Papaya,161.76
1/13/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Mango,107.54
1/14/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Pineapple,277.06
1/14/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Wood Apple,384.91
1/14/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Beli Fruit,401.46
1/15/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Guava,465.37
1/15/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Passion Fruit,222.48
1/16/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Rambutan,312.49
1/16/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Mangosteen,84.6
1/16/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Avocado,367.91
1/17/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Rose Apple,61.47
1/17/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Soursop,300.67
1/17/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Custard Apple,109.23
1/18/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Gooseberry,120.04
1/18/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Pomegranate,442.36
1/18/2020,Polonnaruwa,35.0,9.5,93.2,1.27,Orange,71.47
1/19/2020,Polonnaruwa,36.0,224.5,80.9,1.24,Banana,171.34
1/19/2020,Polonnaruwa,36.0,224.5,80.9,1.24,Papaya,236.55
1/19/2020,Polonnaruwa,36.0,224.5,80.9,1.24,Mango,337.32
1/20/2020,Polonnaruwa,36.0,224.5,80.9,1.24,Pineapple,60.27
