Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Banana,348.69
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Papaya,122.79
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Mango,64.82
1/2/2020,Puttalam,23.4,318.0,58.9,1.19,Pineapple,303.34
1/2/2020,Puttalam,23.4,318.0,58.9,1.19,Wood Apple,432.28
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Beli Fruit,378.69
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Guava,348.09
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Passion Fruit,312.84
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Rambutan,285.61
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Mangosteen,344.79
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Avocado,192.54
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Rose Apple,304.9
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Soursop,491.93
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Custard Apple,445.39
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Gooseberry,188.84
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Pomegranate,415.66
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Orange,291.49
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Banana,227.77
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Papaya,198.41
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Mango,390.83
1/8/2020,Puttalam,24.5,179.4,79.6,1.28,Pineapple,74.76
1/8/2020,Puttalam,24.5,179.4,79.6,1.28,Wood Apple,192.58
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Beli Fruit,326.73
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Guava,317.77
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Passion Fruit,210.72
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Rambutan,199.01
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Mangosteen,494.04
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Avocado,172.06
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Rose Apple,72.7
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Soursop,346.19
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Custard Apple,77.77
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Gooseberry,354.06
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Pomegranate,416.52
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Orange,126.89
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Banana,155.53
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Papaya,412.49
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Mango,367.37
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Pineapple,241.94
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Wood Apple,418.94
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Beli Fruit,252.5
1/15/2020,Puttalam,23.7,44.2,64.5,1.71,Guava,112.46
1/15/2020,Puttalam,23.7,44.2,64.5,1.71,Passion Fruit,456.1
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Rambutan,429.49
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Mangosteen,275.92
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Avocado,454.32
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Rose Apple,60.14
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Soursop,484.0
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Custard Apple,302.05
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Gooseberry,312.43
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Pomegranate,103.95
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Orange,389.52
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Banana,78.66
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Papaya,102.81
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Mango,468.45
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Pineapple,499.99
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Wood Apple,276.54
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Beli Fruit,54.96
1/21/2020,Puttalam,24.3,293.8,74.1,1.19,Guava,446.89
1/21/2020,Puttalam,24.3,293.8,74.1,1.19,Passion Fruit,292.05
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Rambutan,204.24
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Mangosteen,217.31
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Avocado,397.55
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Rose Apple,300.3
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Soursop,248.43
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Custard Apple,478.7
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Gooseberry,169.8
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Pomegranate,421.74
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Orange,435.38
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Banana,86.96
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Papaya,442.26
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Mango,96.29
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Pineapple,155.41
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Wood Apple,333.04
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Beli Fruit,452.98
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Guava,134.9
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Passion Fruit,88.41
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Rambutan,145.02
