Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Banana,149.01
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Papaya,90.58
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Mango,118.93
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Pineapple,461.38
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Wood Apple,360.9
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Beli Fruit,162.57
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Guava,77.83
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Passion Fruit,207.9
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Rambutan,280.24
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Mangosteen,295.37
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Avocado,405.12
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Rose Apple,184.9
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Soursop,458.68
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Custard Apple,462.74
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Gooseberry,398.42
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Pomegranate,257.91
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Orange,197.23
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Banana,252.62
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Papaya,258.04
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Mango,294.16
1/8/2020,Ratnapura,26.8,335.5,60.1,1.85,Pineapple,93.03
1/8/2020,Ratnapura,26.8,335.5,60.1,1.85,Wood Apple,287.76
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Beli Fruit,370.14
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Guava,288.8
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Passion Fruit,489.86
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Rambutan,219.35
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Mangosteen,423.44
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Avocado,138.04
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Rose Apple,462.36
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Soursop,393.44
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Custard Apple,94.13
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Gooseberry,58.51
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Pomegranate,244.96
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Orange,366.88
1/13/2020,Ratnapura,32.7,54.7,50.2,0.76,Banana,395.07
1/13/2020,Ratnapura,32.7,54.7,50.2,0.76,Papaya,454.31
1/13/2020,Ratnapura,32.7,54.7,50.2,0.76,Mango,461.62
1/14/2020,Ratnapura,32.7,54.7,50.2,0.76,Pineapple,331.36
1/14/2020,Ratnapura,32.7,54.7,50.2,0.76,Wood Apple,159.12
1/15/2020,Ratnapura,32.7,54.7,50.2,0.76,Beli Fruit,327.04
1/15/2020,Ratnapura,32.7,54.7,50.2,0.76,Guava,245.39
1/15/2020,Ratnapura,32.7,54.7,50.2,0.76,Passion Fruit,327.91
1/16/2020,Ratnapura,32.7,54.7,50.2,0.76,Rambutan,119.64
1/16/2020,Ratnapura,32.7,54.7,50.2,0.76,Mangosteen,480.11
1/16/2020,Ratnapura,32.7,54.7,50.2,0.76,Avocado,488.35
1/17/2020,Ratnapura,32.7,54.7,50.2,0.76,Rose Apple,100.38
1/17/2020,Ratnapura,32.7,54.7,50.2,0.76,Soursop,153.62
1/17/2020,Ratnapura,32.7,54.7,50.2,0.76,Custard Apple,131.09
1/18/2020,Ratnapura,32.7,54.7,50.2,0.76,Gooseberry,374.72
1/18/2020,Ratnapura,32.7,54.7,50.2,0.76,Pomegranate,307.74
1/18/2020,Ratnapura,32.7,54.7,50.2,0.76,Orange,360.55
1/19/2020,Ratnapura,23.0,350.0,59.0,1.13,Banana,277.82
1/19/2020,Ratnapura,23.0,350.0,59.0,1.13,Papaya,304.32
1/19/2020,Ratnapura,23.0,350.0,59.0,1.13,Mango,363.29
1/20/2020,Ratnapura,23.0,350.0,59.0,1.13,Pineapple,368.27
1/20/2020,Ratnapura,23.0,350.0,59.0,1.13,Wood Apple,235.94
1/20/2020,Ratnapura,23.0,350.0,59.0,1.13,Beli Fruit,324.35
1/21/2020,Ratnapura,23.0,350.0,59.0,1.13,Guava,480.59
1/21/2020,Ratnapura,23.0,350.0,59.0,1.13,Passion Fruit,491.73
1/22/2020,Ratnapura,23.0,350.0,59.0,1.13,Rambutan,296.63
