Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Banana,230.28
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Papaya,337.93
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Mango,221.35
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Pineapple,206.29
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Wood Apple,451.46
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Beli Fruit,355.23
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Guava,306.09
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Passion Fruit,358.17
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Rambutan,260.12
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Mangosteen,475.98
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Avocado,331.48
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Rose Apple,107.62
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Soursop,274.03
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Custard Apple,281.82
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Gooseberry,327.18
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Pomegranate,164.65
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Orange,273.68
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Banana,118.33
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Papaya,251.42
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Mango,377.28
1/8/2020,Trincomalee,30.5,21.6,75.1,0.84,Pineapple,107.13
1/8/2020,Trincomalee,30.5,21.6,75.1,0.84,Wood Apple,278.6
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Beli Fruit,149.08
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Guava,402.28
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Passion Fruit,180.2
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Rambutan,72.73
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Mangosteen,304.92
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Avocado,207.11
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Rose Apple,432.09
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Soursop,91.85
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Custard Apple,281.22
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Gooseberry,471.73
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Pomegranate,467.99
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Orange,428.36
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Banana,278.45
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Papaya,435.35
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Mango,316.51
1/14/2020,Trincomalee,36.3,131.1,92.9,1.38,Pineapple,297.26
1/14/2020,Trincomalee,36.3,131.1,92.9,1.38,Wood Apple,400.91
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Beli Fruit,270.59
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Guava,240.08
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Passion Fruit,376.17
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Rambutan,416.98
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Mangosteen,127.94
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Avocado,338.86
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Rose Apple,100.71
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Soursop,470.31
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Custard Apple,458.53
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Gooseberry,381.97
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Pomegranate,224.17
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Orange,284.58
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Banana,410.13
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Papaya,91.65
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Mango,371.1
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Pineapple,286.96
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Wood Apple,278.01
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Beli Fruit,305.71
1/21/2020,Trincomalee,22.5,290.7,59.3,0.72,Guava,104.65
1/21/2020,Trincomalee,22.5,290.7,59.3,0.72,Passion Fruit,241.2
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Rambutan,65.97
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Mangosteen,465.23
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Avocado,198.15
1/23/2020,Trincomalee,22.5,290.7,59.3,0.72,Rose Apple,103.7
1/23/2020,Trincomalee,22.5,290.7,59.3,0.72,Soursop,492.98
