Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg)
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Banana,191.92
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Papaya,485.33
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Mango,493.76
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Pineapple,457.87
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Wood Apple,499.18
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Beli Fruit,303.72
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Guava,353.22
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Passion Fruit,168.58
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Rambutan,250.15
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Mangosteen,472.73
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Avocado,305.76
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Rose Apple,413.72
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Soursop,267.02
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Custard Apple,260.03
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Gooseberry,390.17
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Pomegranate,440.5
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Orange,308.91
1/7/2020,Vavuniya,22.5,48.0,53.1,1.82,Banana,476.8
1/7/2020,Vavuniya,22.5,48.0,53.1,1.82,Papaya,451.05
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Mango,173.53
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Pineapple,315.63
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Wood Apple,105.2
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Beli Fruit,164.23
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Guava,449.76
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Passion Fruit,349.94
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Rambutan,474.19
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Mangosteen,413.96
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Avocado,288.58
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Rose Apple,203.68
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Soursop,412.69
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Custard Apple,368.36
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Gooseberry,135.78
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Pomegranate,408.86
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Orange,357.04
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Banana,381.92
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Papaya,174.06
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Mango,244.09
1/14/2020,Vavuniya,32.2,152.9,64.9,0.54,Pineapple,371.43
1/14/2020,Vavuniya,32.2,152.9,64.9,0.54,Wood Apple,92.46
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Beli Fruit,422.08
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Guava,436.71
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Passion Fruit,157.71
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Rambutan,294.71
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Mangosteen,177.75
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Avocado,180.89
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Rose Apple,144.2
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Soursop,321.91
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Custard Apple,456.58
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Gooseberry,129.04
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Pomegranate,159.99
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Orange,198.48
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Banana,342.44
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Papaya,468.08
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Mango,330.36
1/20/2020,Vavuniya,25.0,314.0,67.7,1.96,Pineapple,86.76
1/20/2020,Vavuniya,25.0,314.0,67.7,1.96,Wood Apple,107.42
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Beli Fruit,492.13
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Guava,114.3
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Passion Fruit,332.69
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Rambutan,256.67
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Mangosteen,423.71
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Avocado,212.07
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Rose Apple,212.03
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Soursop,344.23
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Custard Apple,438.11
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Gooseberry,207.95
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Pomegranate,247.04
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Orange,336.45
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Banana,159.08
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Papaya,68.23
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Mango,90.62
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Pineapple,131.32
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Wood Apple,122.86
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Beli Fruit,124.69
1/27/2020,Vavuniya,26.3,234.8,73.3,1.11,Guava,392.33
1/27/2020,Vavuniya,26.3,234.8,73.3,1.11,Passion Fruit,220.52
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Rambutan,97.79
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Mangosteen,242.34
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Avocado,380.29
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Rose Apple,177.02
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Soursop,307.05
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Custard Apple,485.25
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Gooseberry,492.38
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Pomegranate,307.45
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Orange,74.46
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Banana,230.97
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Papaya,242.12
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Mango,170.79
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Pineapple,234.19
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Wood Apple,93.04
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Beli Fruit,194.42
2/2/2020,Vavuniya,27.5,117.3,61.9,1.7,Guava,382.07
2/2/2020,Vavuniya,27.5,117.3,61.9,1.7,Passion Fruit,149.49
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Rambutan,210.76
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Mangosteen,463.39
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Avocado,185.84
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Rose Apple,109.75
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Soursop,379.79
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Custard Apple,70.18
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Gooseberry,152.69
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Pomegranate,486.6
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Orange,321.24
2/6/2020,Vavuniya,27.6,254.2,63.2,1.99,Banana,114.58
2/6/2020,Vavuniya,27.6,254.2,63.2,1.99,Papaya,244.32
2/6/2020,Vavuniya,27.6,254.2,63.2,1.99,Mango,137.94
2/7/2020,Vavuniya,27.6,254.2,63.2,1.99,Pineapple,430.64
2/7/2020,Vavuniya,27.6,254.2,63.2,1.99,Wood Apple,393.98
2/7/2020,Vavuniya,27.6,254.2,63.2,1.99,Beli Fruit,110.96
2/8/2020,Vavuniya,27.6,254.2,63.2,1.99,Guava,467.2
2/8/2020,Vavuniya,27.6,254.2,63.2,1.99,Passion Fruit,69.29
2/8/2020,Vavuniya,27.6,254.2,63.2,1.99,Rambutan,256.67
2/9/2020,Vavuniya,27.6,254.2,63.2,1.99,Mangosteen,181.07
2/9/2020,Vavuniya,27.6,254.2,63.2,1.99,Avocado,148.53
2/10/2020,Vavuniya,27.6,254.2,63.2,1.99,Rose Apple,447.56
2/10/2020,Vavuniya,27.6,254.2,63.2,1.99,Soursop,439.53
2/10/2020,Vavuniya,27.6,254.2,63.2,1.99,Custard Apple,67.08
2/11/2020,Vavuniya,27.6,254.2,63.2,1.99,Gooseberry,181.91
2/11/2020,Vavuniya,27.6,254.2,63.2,1.99,Pomegranate,164.99
2/11/2020,Vavuniya,27.6,254.2,63.2,1.99,Orange,495.11
2/12/2020,Vavuniya,24.3,381.0,87.5,1.09,Banana,237.8
2/12/2020,Vavuniya,24.3,381.0,87.5,1.09,Papaya,91.64
2/12/2020,Vavuniya,24.3,381.0,87.5,1.09,Mango,59.64
2/13/2020,Vavuniya,24.3,381.0,87.5,1.09,Pineapple,220.69
2/13/2020,Vavuniya,24.3,381.0,87.5,1.09,Wood Apple,193.33
2/13/2020,Vavuniya,24.3,381.0,87.5,1.09,Beli Fruit,295.95
2/14/2020,Vavuniya,24.3,381.0,87.5,1.09,Guava,162.41
2/14/2020,Vavuniya,24.3,381.0,87.5,1.09,Passion Fruit,71.13
2/14/2020,Vavuniya,24.3,381.0,87.5,1.09,Rambutan,352.74
2/15/2020,Vavuniya,24.3,381.0,87.5,1.09,Mangosteen,356.91
2/15/2020,Vavuniya,24.3,381.0,87.5,1.09,Avocado,404.21
2/16/2020,Vavuniya,24.3,381.0,87.5,1.09,Rose Apple,260.41
2/16/2020,Vavuniya,24.3,381.0,87.5,1.09,Soursop,145.18
2/16/2020,Vavuniya,24.3,381.0,87.5,1.09,Custard Apple,316.89
2/17/2020,Vavuniya,24.3,381.0,87.5,1.09,Gooseberry,474.19
2/17/2020,Vavuniya,24.3,381.0,87.5,1.09,Pomegranate,161.22
2/17/2020,Vavuniya,24.3,381.0,87.5,1.09,Orange,81.12
2/18/2020,Vavuniya,26.2,219.4,85.0,1.24,Banana,159.51
2/18/2020,Vavuniya,26.2,219.4,85.0,1.24,Papaya,410.01
2/18/2020,Vavuniya,26.2,219.4,85.0,1.24,Mango,347.53
2/19/2020,Vavuniya,26.2,219.4,85.0,1.24,Pineapple,357.11
2/19/2020,Vavuniya,26.2,219.4,85.0,1.24,Wood Apple,420.54
2/19/2020,Vavuniya,26.2,219.4,85.0,1.24,Beli Fruit,107.06
2/20/2020,Vavuniya,26.2,219.4,85.0,1.24,Guava,319.38
2/20/2020,Vavuniya,26.2,219.4,85.0,1.24,Passion Fruit,440.68
2/20/2020,Vavuniya,26.2,219.4,85.0,1.24,Rambutan,392.42
2/21/2020,Vavuniya,26.2,219.4,85.0,1.24,Mangosteen,442.99
2/21/2020,Vavuniya,26.2,219.4,85.0,1.24,Avocado,124.05
2/21/2020,Vavuniya,26.2,219.4,85.0,1.24,Rose Apple,195.21
2/22/2020,Vavuniya,26.2,219.4,85.0,1.24,Soursop,292.43
2/22/2020,Vavuniya,26.2,219.4,85.0,1.24,Custard Apple,294.0
2/23/2020,Vavuniya,26.2,219.4,85.0,1.24,Gooseberry,496.69
2/23/2020,Vavuniya,26.2,219.4,85.0,1.24,Pomegranate,491.38
2/23/2020,Vavuniya,26.2,219.4,85.0,1.24,Orange,374.71
2/24/2020,Vavuniya,25.1,279.3,69.1,0.52,Banana,114.88
2/24/2020,Vavuniya,25.1,279.3,69.1,0.52,Papaya,369.11
2/24/2020,Vavuniya,25.1,279.3,69.1,0.52,Mango,371.73
2/25/2020,Vavuniya,25.1,279.3,69.1,0.52,Pineapple,227.0
2/25/2020,Vavuniya,25.1,279.3,69.1,0.52,Wood Apple,163.56
2/25/2020,Vavuniya,25.1,279.3,69.1,0.52,Beli Fruit,123.34
2/26/2020,Vavuniya,25.1,279.3,69.1,0.52,Guava,309.48
2/26/2020,Vavuniya,25.1,279.3,69.1,0.52,Passion Fruit,233.93
2/26/2020,Vavuniya,25.1,279.3,69.1,0.52,Rambutan,381.74
2/27/2020,Vavuniya,25.1,279.3,69.1,0.52,Mangosteen,231.71
2/27/2020,Vavuniya,25.1,279.3,69.1,0.52,Avocado,495.13
2/27/2020,Vavuniya,25.1,279.3,69.1,0.52,Rose Apple,271.61
2/28/2020,Vavuniya,25.1,279.3,69.1,0.52,Soursop,219.51
2/28/2020,Vavuniya,25.1,279.3,69.1,0.52,Custard Apple,464.78
2/29/2020,Vavuniya,25.1,279.3,69.1,0.52,Gooseberry,287.21
2/29/2020,Vavuniya,25.1,279.3,69.1,0.52,Pomegranate,281.66
2/29/2020,Vavuniya,25.1,279.3,69.1,0.52,Orange,397.95
3/1/2020,Vavuniya,27.9,378.7,89.2,0.66,Banana,57.15
3/1/2020,Vavuniya,27.9,378.7,89.2,0.66,Papaya,95.28
3/1/2020,Vavuniya,27.9,378.7,89.2,0.66,Mango,254.29
3/2/2020,Vavuniya,27.9,378.7,89.2,0.66,Pineapple,322.76
3/2/2020,Vavuniya,27.9,378.7,89.2,0.66,Wood Apple,408.95
3/2/2020,Vavuniya,27.9,378.7,89.2,0.66,Beli Fruit,359.64
3/3/2020,Vavuniya,27.9,378.7,89.2,0.66,Guava,399.39
3/3/2020,Vavuniya,27.9,378.7,89.2,0.66,Passion Fruit,283.87
3/3/2020,Vavuniya,27.9,378.7,89.2,0.66,Rambutan,483.15
3/4/2020,Vavuniya,27.9,378.7,89.2,0.66,Mangosteen,303.37
3/4/2020,Vavuniya,27.9,378.7,89.2,0.66,Avocado,120.57
3/4/2020,Vavuniya,27.9,378.7,89.2,0.66,Rose Apple,172.22
3/5/2020,Vavuniya,27.9,378.7,89.2,0.66,Soursop,217.19
3/5/2020,Vavuniya,27.9,378.7,89.2,0.66,Custard Apple,430.77
3/5/2020,Vavuniya,27.9,378.7,89.2,0.66,Gooseberry,75.08
3/6/2020,Vavuniya,27.9,378.7,89.2,0.66,Pomegranate,221.34
3/6/2020,Vavuniya,27.9,378.7,89.2,0.66,Orange,317.17
3/7/2020,Vavuniya,25.1,364.0,70.9,0.64,Banana,277.68
3/7/2020,Vavuniya,25.1,364.0,70.9,0.64,Papaya,369.02
3/7/2020,Vavuniya,25.1,364.0,70.9,0.64,Mango,160.82
3/8/2020,Vavuniya,25.1,364.0,70.9,0.64,Pineapple,498.5
3/8/2020,Vavuniya,25.1,364.0,70.9,0.64,Wood Apple,93.45
3/8/2020,Vavuniya,25.1,364.0,70.9,0.64,Beli Fruit,370.42
3/9/2020,Vavuniya,25.1,364.0,70.9,0.64,Guava,414.6
3/9/2020,Vavuniya,25.1,364.0,70.9,0.64,Passion Fruit,182.65
3/9/2020,Vavuniya,25.1,364.0,70.9,0.64,Rambutan,456.18
3/10/2020,Vavuniya,25.1,364.0,70.9,0.64,Mangosteen,340.65
3/10/2020,Vavuniya,25.1,364.0,70.9,0.64,Avocado,153.48
3/10/2020,Vavuniya,25.1,364.0,70.9,0.64,Rose Apple,80.12
3/11/2020,Vavuniya,25.1,364.0,70.9,0.64,Soursop,258.19
3/11/2020,Vavuniya,25.1,364.0,70.9,0.64,Custard Apple,139.25
3/11/2020,Vavuniya,25.1,364.0,70.9,0.64,Gooseberry,327.59
3/12/2020,Vavuniya,25.1,364.0,70.9,0.64,Pomegranate,307.69
3/12/2020,Vavuniya,25.1,364.0,70.9,0.64,Orange,50.21
3/13/2020,Vavuniya,35.6,163.0,69.0,1.3,Banana,498.88
3/13/2020,Vavuniya,35.6,163.0,69.0,1.3,Papaya,158.09
3/13/2020,Vavuniya,35.6,163.0,69.0,1.3,Mango,444.5
3/14/2020,Vavuniya,35.6,163.0,69.0,1.3,Pineapple,113.93
3/14/2020,Vavuniya,35.6,163.0,69.0,1.3,Wood Apple,132.69
