Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Winged Bean,376.43
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Bitter Melon,312.97
1/1/2020,Ampara,34.4,384.0,69.3,1.67,Brinjal,489.55
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Long Purple Eggplant,344.09
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Asiatic Pennywort,223.05
1/2/2020,Ampara,34.4,384.0,69.3,1.67,Red Spinach,377.94
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Pennywort,480.02
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Leeks,183.33
1/3/2020,Ampara,34.4,384.0,69.3,1.67,Carrot,339.16
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Beetroot,139.57
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Cabbage,448.8
1/4/2020,Ampara,34.4,384.0,69.3,1.67,Knol-Khol,51.27
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Pumpkin,204.75
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Onion,438.69
1/5/2020,Ampara,34.4,384.0,69.3,1.67,Potato,100.69
1/6/2020,Ampara,34.4,384.0,69.3,1.67,Drumsticks,414.47
1/6/2020,Ampara,34.4,384.0,69.3,1.67,Jackfruit,454.84
1/6/2020,Ampara,23.3,146.8,56.5,0.82,Breadfruit,144.74
1/7/2020,Ampara,23.3,146.8,56.5,0.82,Taro,50.61
1/7/2020,Ampara,23.3,146.8,56.5,0.82,Manioc,166.12
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Winged Bean,108.56
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Bitter Melon,154.29
1/8/2020,Ampara,23.3,146.8,56.5,0.82,Brinjal,318.98
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Long Purple Eggplant,163.96
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Asiatic Pennywort,116.48
1/9/2020,Ampara,23.3,146.8,56.5,0.82,Red Spinach,178.99
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Pennywort,351.03
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Leeks,272.29
1/10/2020,Ampara,23.3,146.8,56.5,0.82,Carrot,438.51
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Beetroot,147.5
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Cabbage,188.47
1/11/2020,Ampara,23.3,146.8,56.5,0.82,Knol-Khol,214.95
1/12/2020,Ampara,23.3,146.8,56.5,0.82,Pumpkin,207.08
1/12/2020,Ampara,23.3,146.8,56.5,0.82,Onion,301.23
1/12/2020,Ampara,37.4,9.3,53.9,1.96,Potato,285.37
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Drumsticks,305.23
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Jackfruit,499.38
1/13/2020,Ampara,37.4,9.3,53.9,1.96,Breadfruit,183.03
1/14/2020,Ampara,37.4,9.3,53.9,1.96,Taro,318.52
1/14/2020,Ampara,37.4,9.3,53.9,1.96,Manioc,154.35
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Winged Bean,297.67
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Bitter Melon,338.35
1/15/2020,Ampara,37.4,9.3,53.9,1.96,Brinjal,217.54
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Long Purple Eggplant,279.24
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Asiatic Pennywort,143.67
1/16/2020,Ampara,37.4,9.3,53.9,1.96,Red Spinach,441.46
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Pennywort,207.99
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Leeks,271.73
1/17/2020,Ampara,37.4,9.3,53.9,1.96,Carrot,346.21
1/18/2020,Ampara,37.4,9.3,53.9,1.96,Beetroot,162.32
1/18/2020,Ampara,37.4,9.3,53.9,1.96,Cabbage,377.57
1/18/2020,Ampara,26.3,246.0,76.5,1.66,Knol-Khol,184.13
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Pumpkin,350.34
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Onion,72.37
1/19/2020,Ampara,26.3,246.0,76.5,1.66,Potato,352.7
1/20/2020,Ampara,26.3,246.0,76.5,1.66,Drumsticks,63.73
1/20/2020,Ampara,26.3,246.0,76.5,1.66,Jackfruit,328
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Breadfruit,342.2
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Taro,101.96
1/21/2020,Ampara,26.3,246.0,76.5,1.66,Manioc,210.16
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Winged Bean,78.88
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Bitter Melon,108.63
1/22/2020,Ampara,26.3,246.0,76.5,1.66,Brinjal,128.41
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Long Purple Eggplant,188.21
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Asiatic Pennywort,217.52
1/23/2020,Ampara,26.3,246.0,76.5,1.66,Red Spinach,347.73
1/24/2020,Ampara,26.3,246.0,76.5,1.66,Pennywort,365.22
1/24/2020,Ampara,26.3,246.0,76.5,1.66,Leeks,127.79
1/24/2020,Ampara,25.2,198.9,81.4,0.69,Carrot,345.6
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Beetroot,66.99
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Cabbage,183.63
1/25/2020,Ampara,25.2,198.9,81.4,0.69,Knol-Khol,182.42
1/26/2020,Ampara,25.2,198.9,81.4,0.69,Pumpkin,217.39
1/26/2020,Ampara,25.2,198.9,81.4,0.69,Onion,212.19
1/26/2020,Ampara,25.2,198.9,81.4,0.69,Potato,421.55
1/27/2020,Ampara,25.2,198.9,81.4,0.69,Drumsticks,145.71
1/27/2020,Ampara,25.2,198.9,81.4,0.69,Jackfruit,279.26
1/28/2020,Ampara,25.2,198.9,81.4,0.69,Breadfruit,423.51
1/28/2020,Ampara,25.2,198.9,81.4,0.69,Taro,332.39
1/28/2020,Ampara,25.2,198.9,81.4,0.69,Manioc,186.15
1/29/2020,Ampara,25.2,198.9,81.4,0.69,Winged Bean,478.43
