Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Winged Bean,210.15
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Bitter Melon,222.96
1/1/2020,Anuradhapura,33.0,21.7,63.5,1.64,Brinjal,404.84
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Long Purple Eggplant,331.72
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Asiatic Pennywort,90.03
1/2/2020,Anuradhapura,33.0,21.7,63.5,1.64,Red Spinach,469.19
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Pennywort,484.72
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Leeks,115.57
1/3/2020,Anuradhapura,33.0,21.7,63.5,1.64,Carrot,147.86
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Beetroot,435.05
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Cabbage,226.2
1/4/2020,Anuradhapura,33.0,21.7,63.5,1.64,Knol-Khol,90.61
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Pumpkin,474.36
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Onion,52.62
1/5/2020,Anuradhapura,33.0,21.7,63.5,1.64,Potato,451.38
1/6/2020,Anuradhapura,33.0,21.7,63.5,1.64,Drumsticks,385.77
1/6/2020,Anuradhapura,33.0,21.7,63.5,1.64,Jackfruit,190.34
1/6/2020,Anuradhapura,32.7,101.6,85.2,0.84,Breadfruit,467.84
1/7/2020,Anuradhapura,32.7,101.6,85.2,0.84,Taro,301.86
1/7/2020,Anuradhapura,32.7,101.6,85.2,0.84,Manioc,250.81
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Winged Bean,145.02
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Bitter Melon,379.55
1/8/2020,Anuradhapura,32.7,101.6,85.2,0.84,Brinjal,113.81
1/9/2020,Anuradhapura,32.7,101.6,85.2,0.84,Long Purple Eggplant,369.7
1/9/2020,Anuradhapura,32.7,101.6,85.2,0.84,Asiatic Pennywort,247.07
1/9/2020,Anuradhapura,32.7,101.6,85.2,0.84,Red Spinach,460.74
1/10/2020,Anuradhapura,32.7,101.6,85.2,0.84,Pennywort,473.72
1/10/2020,Anuradhapura,32.7,101.6,85.2,0.84,Leeks,132.03
1/10/2020,Anuradhapura,32.7,101.6,85.2,0.84,Carrot,390.89
1/11/2020,Anuradhapura,32.7,101.6,85.2,0.84,Beetroot,139.63
1/11/2020,Anuradhapura,32.7,101.6,85.2,0.84,Cabbage,196.85
1/11/2020,Anuradhapura,32.7,101.6,85.2,0.84,Knol-Khol,95.7
1/12/2020,Anuradhapura,32.7,101.6,85.2,0.84,Pumpkin,321.64
1/12/2020,Anuradhapura,32.7,101.6,85.2,0.84,Onion,84.13
1/12/2020,Anuradhapura,25.3,193.1,59.9,1.13,Potato,139.31
1/13/2020,Anuradhapura,25.3,193.1,59.9,1.13,Drumsticks,182.74
1/13/2020,Anuradhapura,25.3,193.1,59.9,1.13,Jackfruit,423.04
1/14/2020,Anuradhapura,25.3,193.1,59.9,1.13,Breadfruit,467.49
1/14/2020,Anuradhapura,25.3,193.1,59.9,1.13,Taro,330.54
1/14/2020,Anuradhapura,25.3,193.1,59.9,1.13,Manioc,69.99
1/15/2020,Anuradhapura,25.3,193.1,59.9,1.13,Winged Bean,428.74
1/15/2020,Anuradhapura,25.3,193.1,59.9,1.13,Bitter Melon,161.53
1/15/2020,Anuradhapura,25.3,193.1,59.9,1.13,Brinjal,346.09
1/16/2020,Anuradhapura,25.3,193.1,59.9,1.13,Long Purple Eggplant,355.56
1/16/2020,Anuradhapura,25.3,193.1,59.9,1.13,Asiatic Pennywort,376.15
1/16/2020,Anuradhapura,25.3,193.1,59.9,1.13,Red Spinach,471.16
1/17/2020,Anuradhapura,25.3,193.1,59.9,1.13,Pennywort,490.23
1/17/2020,Anuradhapura,25.3,193.1,59.9,1.13,Leeks,185.32
1/17/2020,Anuradhapura,25.3,193.1,59.9,1.13,Carrot,350.07
1/18/2020,Anuradhapura,25.3,193.1,59.9,1.13,Beetroot,312.39
1/18/2020,Anuradhapura,25.3,193.1,59.9,1.13,Cabbage,64.19
1/18/2020,Anuradhapura,25.4,81.5,91.5,1.72,Knol-Khol,333.37
1/19/2020,Anuradhapura,25.4,81.5,91.5,1.72,Pumpkin,490.83
