Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Winged Bean,362.29
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Bitter Melon,465.38
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Brinjal,453.62
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Long Purple Eggplant,349.8
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Asiatic Pennywort,140.03
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Red Spinach,249.96
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Pennywort,298.97
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Leeks,123.1
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Carrot,99.1
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Beetroot,222.97
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Cabbage,133.4
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Knol-Khol,411.41
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Pumpkin,125.41
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Onion,229.66
1/5/2020,Badulla,35.7,121.8,73.5,1.73,Potato,248.63
1/6/2020,Badulla,35.7,121.8,73.5,1.73,Drumsticks,173.94
1/6/2020,Badulla,35.7,121.8,73.5,1.73,Jackfruit,361.46
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Breadfruit,367.27
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Taro,258.25
1/7/2020,Badulla,20.3,291.1,51.0,0.64,Manioc,445.68
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Winged Bean,216.51
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Bitter Melon,201.58
1/8/2020,Badulla,20.3,291.1,51.0,0.64,Brinjal,321.07
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Long Purple Eggplant,277.97
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Asiatic Pennywort,257.93
1/9/2020,Badulla,20.3,291.1,51.0,0.64,Red Spinach,138.94
