Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Winged Bean,169.92
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Bitter Melon,113.11
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Brinjal,305.07
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Long Purple Eggplant,91.04
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Asiatic Pennywort,216.23
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Red Spinach,269.29
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Pennywort,186.82
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Leeks,410.05
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Carrot,228.58
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Beetroot,323.97
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Cabbage,154.07
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Knol-Khol,302.47
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Pumpkin,117.11
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Onion,70.18
1/5/2020,Batticaloa,30.5,243.7,52.7,1.62,Potato,494.49
1/6/2020,Batticaloa,30.5,243.7,52.7,1.62,Drumsticks,469.76
1/6/2020,Batticaloa,30.5,243.7,52.7,1.62,Jackfruit,407.53
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Breadfruit,122.65
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Taro,419.38
1/7/2020,Batticaloa,27.1,107.2,91.8,1.84,Manioc,295.64
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Winged Bean,260.34
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Bitter Melon,283.66
1/8/2020,Batticaloa,27.1,107.2,91.8,1.84,Brinjal,296.12
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Long Purple Eggplant,404.15
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Asiatic Pennywort,87.49
1/9/2020,Batticaloa,27.1,107.2,91.8,1.84,Red Spinach,163.09
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Pennywort,60.88
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Leeks,450.02
1/10/2020,Batticaloa,27.1,107.2,91.8,1.84,Carrot,318.04
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Beetroot,286.64
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Cabbage,290.97
1/11/2020,Batticaloa,27.1,107.2,91.8,1.84,Knol-Khol,174.82
1/12/2020,Batticaloa,27.1,107.2,91.8,1.84,Pumpkin,94.45
1/12/2020,Batticaloa,27.1,107.2,91.8,1.84,Onion,388.58
1/12/2020,Batticaloa,22.7,13.1,91.9,0.75,Potato,419.91
1/13/2020,Batticaloa,22.7,13.1,91.9,0.75,Drumsticks,466.64
1/13/2020,Batticaloa,22.7,13.1,91.9,0.75,Jackfruit,476.83
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Breadfruit,309.7
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Taro,247.01
1/14/2020,Batticaloa,22.7,13.1,91.9,0.75,Manioc,247.84
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Winged Bean,401.52
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Bitter Melon,59.36
1/15/2020,Batticaloa,22.7,13.1,91.9,0.75,Brinjal,241.34
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Long Purple Eggplant,285.57
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Asiatic Pennywort,391.39
1/16/2020,Batticaloa,22.7,13.1,91.9,0.75,Red Spinach,166.5
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Pennywort,297.6
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Leeks,286.08
1/17/2020,Batticaloa,22.7,13.1,91.9,0.75,Carrot,171.17
1/18/2020,Batticaloa,22.7,13.1,91.9,0.75,Beetroot,177.81
1/18/2020,Batticaloa,22.7,13.1,91.9,0.75,Cabbage,267.23
1/18/2020,Batticaloa,34.4,107.1,68.6,0.93,Knol-Khol,241.96
1/19/2020,Batticaloa,34.4,107.1,68.6,0.93,Pumpkin,234.95
1/19/2020,Batticaloa,34.4,107.1,68.6,0.93,Onion,172.86
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Potato,437.81
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Drumsticks,328.23
1/20/2020,Batticaloa,34.4,107.1,68.6,0.93,Jackfruit,335.33
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Breadfruit,247.67
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Taro,185.75
1/21/2020,Batticaloa,34.4,107.1,68.6,0.93,Manioc,412.73
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Winged Bean,136.79
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Bitter Melon,274.39
1/22/2020,Batticaloa,34.4,107.1,68.6,0.93,Brinjal,200.22
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Long Purple Eggplant,298.58
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Asiatic Pennywort,473.72
1/23/2020,Batticaloa,34.4,107.1,68.6,0.93,Red Spinach,361.53
1/24/2020,Batticaloa,34.4,107.1,68.6,0.93,Pennywort,311.67
1/24/2020,Batticaloa,34.4,107.1,68.6,0.93,Leeks,459.74
1/24/2020,Batticaloa,29.4,220.1,50.7,1.66,Carrot,375.29
1/25/2020,Batticaloa,29.4,220.1,50.7,1.66,Beetroot,344.96
1/25/2020,Batticaloa,29.4,220.1,50.7,1.66,Cabbage,362.93
