Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Winged Bean,372.34
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Bitter Melon,121.33
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Brinjal,269.4
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Long Purple Eggplant,229.23
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Asiatic Pennywort,293.91
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Red Spinach,192.32
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Pennywort,420.84
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Leeks,258.31
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Carrot,211.15
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Beetroot,113.4
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Cabbage,228.2
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Knol-Khol,297.23
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Pumpkin,382.32
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Onion,106.5
1/5/2020,Colombo,35.4,3.2,93.1,0.54,Potato,485.11
1/6/2020,Colombo,35.4,3.2,93.1,0.54,Drumsticks,308.06
1/6/2020,Colombo,35.4,3.2,93.1,0.54,Jackfruit,253.59
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Breadfruit,165.09
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Taro,450.88
1/7/2020,Colombo,22.2,254.8,86.3,1.09,Manioc,75.47
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Winged Bean,243.94
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Bitter Melon,226.19
1/8/2020,Colombo,22.2,254.8,86.3,1.09,Brinjal,276.53
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Long Purple Eggplant,180.72
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Asiatic Pennywort,237.09
1/9/2020,Colombo,22.2,254.8,86.3,1.09,Red Spinach,434.1
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Pennywort,251.61
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Leeks,348.61
1/10/2020,Colombo,22.2,254.8,86.3,1.09,Carrot,265.77
