Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Galle,22.6,198.9,85.1,1.29,Winged Bean,341.98
1/1/2020,Galle,22.6,198.9,85.1,1.29,Bitter Melon,259.75
1/1/2020,Galle,22.6,198.9,85.1,1.29,Brinjal,202.09
1/2/2020,Galle,22.6,198.9,85.1,1.29,Long Purple Eggplant,453.34
1/2/2020,Galle,22.6,198.9,85.1,1.29,Asiatic Pennywort,359.41
1/2/2020,Galle,22.6,198.9,85.1,1.29,Red Spinach,420.98
1/3/2020,Galle,22.6,198.9,85.1,1.29,Pennywort,307.94
1/3/2020,Galle,22.6,198.9,85.1,1.29,Leeks,319.46
1/3/2020,Galle,22.6,198.9,85.1,1.29,Carrot,403.41
1/4/2020,Galle,22.6,198.9,85.1,1.29,Beetroot,257.84
1/4/2020,Galle,22.6,198.9,85.1,1.29,Cabbage,134.97
1/4/2020,Galle,22.6,198.9,85.1,1.29,Knol-Khol,316.39
1/5/2020,Galle,22.6,198.9,85.1,1.29,Pumpkin,498.97
1/5/2020,Galle,22.6,198.9,85.1,1.29,Onion,306.37
1/5/2020,Galle,22.6,198.9,85.1,1.29,Potato,168.14
1/6/2020,Galle,22.6,198.9,85.1,1.29,Drumsticks,71.18
1/6/2020,Galle,22.6,198.9,85.1,1.29,Jackfruit,101.21
1/7/2020,Galle,23.2,117.6,80.2,0.83,Breadfruit,429.98
1/7/2020,Galle,23.2,117.6,80.2,0.83,Taro,277.4
1/7/2020,Galle,23.2,117.6,80.2,0.83,Manioc,216.24
1/8/2020,Galle,23.2,117.6,80.2,0.83,Winged Bean,131.15
1/8/2020,Galle,23.2,117.6,80.2,0.83,Bitter Melon,268.31
1/8/2020,Galle,23.2,117.6,80.2,0.83,Brinjal,408.63
1/9/2020,Galle,23.2,117.6,80.2,0.83,Long Purple Eggplant,416.85
1/9/2020,Galle,23.2,117.6,80.2,0.83,Asiatic Pennywort,457.53
