Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Winged Bean,112.84
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Bitter Melon,328.38
1/1/2020,Gampaha,37.0,16.3,76.3,1.2,Brinjal,441.63
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Long Purple Eggplant,225.9
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Asiatic Pennywort,134.48
1/2/2020,Gampaha,37.0,16.3,76.3,1.2,Red Spinach,163.21
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Pennywort,104.27
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Leeks,356.79
1/3/2020,Gampaha,37.0,16.3,76.3,1.2,Carrot,339.11
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Beetroot,263.8
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Cabbage,168.76
1/4/2020,Gampaha,37.0,16.3,76.3,1.2,Knol-Khol,389.16
1/5/2020,Gampaha,37.0,16.3,76.3,1.2,Pumpkin,290.92
1/5/2020,Gampaha,37.0,16.3,76.3,1.2,Onion,194.93
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Potato,108.16
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Drumsticks,483.8
1/6/2020,Gampaha,37.0,16.3,76.3,1.2,Jackfruit,430.33
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Breadfruit,452.1
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Taro,361.19
1/7/2020,Gampaha,30.5,44.3,59.7,0.58,Manioc,443.2
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Winged Bean,102.43
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Bitter Melon,351.09
1/8/2020,Gampaha,30.5,44.3,59.7,0.58,Brinjal,135.46
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Long Purple Eggplant,206.02
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Asiatic Pennywort,372.85
1/9/2020,Gampaha,30.5,44.3,59.7,0.58,Red Spinach,428.82
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Pennywort,86.46
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Leeks,489.03
1/10/2020,Gampaha,30.5,44.3,59.7,0.58,Carrot,455.02
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Beetroot,338.57
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Cabbage,371.86
1/11/2020,Gampaha,30.5,44.3,59.7,0.58,Knol-Khol,306.27
1/12/2020,Gampaha,30.5,44.3,59.7,0.58,Pumpkin,69.47
1/12/2020,Gampaha,30.5,44.3,59.7,0.58,Onion,437.15
1/13/2020,Gampaha,24.5,309.2,58.7,1.25,Potato,73.69
1/13/2020,Gampaha,24.5,309.2,58.7,1.25,Drumsticks,233.02
1/13/2020,Gampaha,24.5,309.2,58.7,1.25,Jackfruit,219
1/14/2020,Gampaha,24.5,309.2,58.7,1.25,Breadfruit,133.25
1/14/2020,Gampaha,24.5,309.2,58.7,1.25,Taro,324.28
1/14/2020,Gampaha,24.5,309.2,58.7,1.25,Manioc,180.35
1/15/2020,Gampaha,24.5,309.2,58.7,1.25,Winged Bean,95.01
1/15/2020,Gampaha,24.5,309.2,58.7,1.25,Bitter Melon,228.52
1/15/2020,Gampaha,24.5,309.2,58.7,1.25,Brinjal,160.33
1/16/2020,Gampaha,24.5,309.2,58.7,1.25,Long Purple Eggplant,318.48
1/16/2020,Gampaha,24.5,309.2,58.7,1.25,Asiatic Pennywort,140.45
1/16/2020,Gampaha,24.5,309.2,58.7,1.25,Red Spinach,288.85
1/17/2020,Gampaha,24.5,309.2,58.7,1.25,Pennywort,199.97
1/17/2020,Gampaha,24.5,309.2,58.7,1.25,Leeks,263.61
1/17/2020,Gampaha,24.5,309.2,58.7,1.25,Carrot,398.05
1/18/2020,Gampaha,24.5,309.2,58.7,1.25,Beetroot,314.67
1/18/2020,Gampaha,24.5,309.2,58.7,1.25,Cabbage,234
1/19/2020,Gampaha,34.4,399.0,75.6,1.54,Knol-Khol,276.24
1/19/2020,Gampaha,34.4,399.0,75.6,1.54,Pumpkin,143.82
1/19/2020,Gampaha,34.4,399.0,75.6,1.54,Onion,472.68
1/20/2020,Gampaha,34.4,399.0,75.6,1.54,Potato,89.88
1/20/2020,Gampaha,34.4,399.0,75.6,1.54,Drumsticks,453.17
1/20/2020,Gampaha,34.4,399.0,75.6,1.54,Jackfruit,358.35
1/21/2020,Gampaha,34.4,399.0,75.6,1.54,Breadfruit,301.03
1/21/2020,Gampaha,34.4,399.0,75.6,1.54,Taro,284.48
1/21/2020,Gampaha,34.4,399.0,75.6,1.54,Manioc,466.27
1/22/2020,Gampaha,34.4,399.0,75.6,1.54,Winged Bean,149.45
1/22/2020,Gampaha,34.4,399.0,75.6,1.54,Bitter Melon,212.85
1/22/2020,Gampaha,34.4,399.0,75.6,1.54,Brinjal,173.2
1/23/2020,Gampaha,34.4,399.0,75.6,1.54,Long Purple Eggplant,239.06
1/23/2020,Gampaha,34.4,399.0,75.6,1.54,Asiatic Pennywort,210.94
1/23/2020,Gampaha,34.4,399.0,75.6,1.54,Red Spinach,337.38
1/24/2020,Gampaha,34.4,399.0,75.6,1.54,Pennywort,181.05
1/24/2020,Gampaha,34.4,399.0,75.6,1.54,Leeks,189.03
1/24/2020,Gampaha,32.4,387.7,83.5,1.75,Carrot,57.48
1/25/2020,Gampaha,32.4,387.7,83.5,1.75,Beetroot,487.62
1/25/2020,Gampaha,32.4,387.7,83.5,1.75,Cabbage,88.08
1/26/2020,Gampaha,32.4,387.7,83.5,1.75,Knol-Khol,467.76
1/26/2020,Gampaha,32.4,387.7,83.5,1.75,Pumpkin,186.44
1/26/2020,Gampaha,32.4,387.7,83.5,1.75,Onion,448.99
1/27/2020,Gampaha,32.4,387.7,83.5,1.75,Potato,54.26
1/27/2020,Gampaha,32.4,387.7,83.5,1.75,Drumsticks,91.25
1/27/2020,Gampaha,32.4,387.7,83.5,1.75,Jackfruit,134.69
1/28/2020,Gampaha,32.4,387.7,83.5,1.75,Breadfruit,365.38
1/28/2020,Gampaha,32.4,387.7,83.5,1.75,Taro,240.08
1/28/2020,Gampaha,32.4,387.7,83.5,1.75,Manioc,63.17
1/29/2020,Gampaha,32.4,387.7,83.5,1.75,Winged Bean,398.56
1/29/2020,Gampaha,32.4,387.7,83.5,1.75,Bitter Melon,322.93
1/29/2020,Gampaha,32.4,387.7,83.5,1.75,Brinjal,125.61
1/30/2020,Gampaha,32.4,387.7,83.5,1.75,Long Purple Eggplant,61.7
1/30/2020,Gampaha,32.4,387.7,83.5,1.75,Asiatic Pennywort,120.89
1/30/2020,Gampaha,33.9,175.5,82.5,0.54,Red Spinach,180.07
1/31/2020,Gampaha,33.9,175.5,82.5,0.54,Pennywort,289.56
1/31/2020,Gampaha,33.9,175.5,82.5,0.54,Leeks,336.7
2/1/2020,Gampaha,33.9,175.5,82.5,0.54,Carrot,69.68
2/1/2020,Gampaha,33.9,175.5,82.5,0.54,Beetroot,95.83
2/1/2020,Gampaha,33.9,175.5,82.5,0.54,Cabbage,496.8
2/2/2020,Gampaha,33.9,175.5,82.5,0.54,Knol-Khol,305.22
2/2/2020,Gampaha,33.9,175.5,82.5,0.54,Pumpkin,120.98
2/2/2020,Gampaha,33.9,175.5,82.5,0.54,Onion,68.74
2/3/2020,Gampaha,33.9,175.5,82.5,0.54,Potato,81.65
2/3/2020,Gampaha,33.9,175.5,82.5,0.54,Drumsticks,385.7
2/3/2020,Gampaha,33.9,175.5,82.5,0.54,Jackfruit,253.97
2/4/2020,Gampaha,33.9,175.5,82.5,0.54,Breadfruit,72.5
2/4/2020,Gampaha,33.9,175.5,82.5,0.54,Taro,457.27
2/4/2020,Gampaha,33.9,175.5,82.5,0.54,Manioc,164.93
