Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Winged Bean,440.56
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Bitter Melon,342.03
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Brinjal,162.46
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Long Purple Eggplant,213.76
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Asiatic Pennywort,215.36
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Red Spinach,487.76
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Pennywort,405.5
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Leeks,420.57
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Carrot,289.88
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Beetroot,68.66
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Cabbage,295.47
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Knol-Khol,399.18
1/5/2020,Kalutara,30.7,71.2,75.3,1.57,Pumpkin,384.2
1/5/2020,Kalutara,30.7,71.2,75.3,1.57,Onion,303.65
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Potato,400.39
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Drumsticks,137.45
1/6/2020,Kalutara,30.7,71.2,75.3,1.57,Jackfruit,72.25
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Breadfruit,358.37
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Taro,298.38
1/7/2020,Kalutara,37.5,168.5,60.1,1.79,Manioc,425.41
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Winged Bean,167.79
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Bitter Melon,264.16
1/8/2020,Kalutara,37.5,168.5,60.1,1.79,Brinjal,329.81
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Long Purple Eggplant,433.39
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Asiatic Pennywort,202.35
1/9/2020,Kalutara,37.5,168.5,60.1,1.79,Red Spinach,490.32
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Pennywort,412.67
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Leeks,287.29
1/10/2020,Kalutara,37.5,168.5,60.1,1.79,Carrot,115.57
1/11/2020,Kalutara,37.5,168.5,60.1,1.79,Beetroot,328.57
1/11/2020,Kalutara,37.5,168.5,60.1,1.79,Cabbage,234.35
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Knol-Khol,153.17
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Pumpkin,307.55
1/12/2020,Kalutara,37.5,168.5,60.1,1.79,Onion,387.56
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Potato,155.51
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Drumsticks,265.54
1/13/2020,Kalutara,27.5,334.7,60.7,1.6,Jackfruit,79.49
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Breadfruit,229.45
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Taro,229.44
1/14/2020,Kalutara,27.5,334.7,60.7,1.6,Manioc,237.12
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Winged Bean,175.62
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Bitter Melon,485.46
1/15/2020,Kalutara,27.5,334.7,60.7,1.6,Brinjal,344.83
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Long Purple Eggplant,457.34
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Asiatic Pennywort,365.19
1/16/2020,Kalutara,27.5,334.7,60.7,1.6,Red Spinach,97.52
1/17/2020,Kalutara,27.5,334.7,60.7,1.6,Pennywort,317.04
1/17/2020,Kalutara,27.5,334.7,60.7,1.6,Leeks,223.24
