Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Winged Bean,468.15S
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Bitter Melon,72.35
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Brinjal,271.52
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Long Purple Eggplant,100.71
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Asiatic Pennywort,163.53
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Red Spinach,75.87
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Pennywort,149.6
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Leeks,198.35
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Carrot,363.18
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Beetroot,85.62
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Cabbage,352.22
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Knol-Khol,298.13
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Pumpkin,222.48
1/5/2020,Kandy,37.2,164.4,84.6,1.81,Onion,104.66
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Potato,282.91
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Drumsticks,193.56
1/6/2020,Kandy,37.2,164.4,84.6,1.81,Jackfruit,269.93
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Breadfruit,364.09
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Taro,175.77
1/7/2020,Kandy,31.1,52.3,79.5,1.57,Manioc,115.98
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Winged Bean,493.12
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Bitter Melon,66.71
1/8/2020,Kandy,31.1,52.3,79.5,1.57,Brinjal,425.97
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Long Purple Eggplant,181.83
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Asiatic Pennywort,430.03
1/9/2020,Kandy,31.1,52.3,79.5,1.57,Red Spinach,167.9
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Pennywort,498.87
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Leeks,120.69
1/10/2020,Kandy,31.1,52.3,79.5,1.57,Carrot,91.87
1/11/2020,Kandy,31.1,52.3,79.5,1.57,Beetroot,94.16
1/11/2020,Kandy,31.1,52.3,79.5,1.57,Cabbage,318.48
1/12/2020,Kandy,31.1,52.3,79.5,1.57,Knol-Khol,267.72
1/12/2020,Kandy,31.1,52.3,79.5,1.57,Pumpkin,425.86
1/12/2020,Kandy,31.1,52.3,79.5,1.57,Onion,366.4
1/13/2020,Kandy,32.4,232.1,56.9,1.08,Potato,396.03
1/13/2020,Kandy,32.4,232.1,56.9,1.08,Drumsticks,215.86
1/13/2020,Kandy,32.4,232.1,56.9,1.08,Jackfruit,294.96
1/14/2020,Kandy,32.4,232.1,56.9,1.08,Breadfruit,462.72
1/14/2020,Kandy,32.4,232.1,56.9,1.08,Taro,211.36
1/14/2020,Kandy,32.4,232.1,56.9,1.08,Manioc,159.68
1/15/2020,Kandy,32.4,232.1,56.9,1.08,Winged Bean,308.02
1/15/2020,Kandy,32.4,232.1,56.9,1.08,Bitter Melon,499.11
1/15/2020,Kandy,32.4,232.1,56.9,1.08,Brinjal,56.49
1/16/2020,Kandy,32.4,232.1,56.9,1.08,Long Purple Eggplant,266.47
1/16/2020,Kandy,32.4,232.1,56.9,1.08,Asiatic Pennywort,415.8
1/16/2020,Kandy,32.4,232.1,56.9,1.08,Red Spinach,163.89
1/17/2020,Kandy,32.4,232.1,56.9,1.08,Pennywort,94.31
1/17/2020,Kandy,32.4,232.1,56.9,1.08,Leeks,477.19
1/18/2020,Kandy,32.4,232.1,56.9,1.08,Carrot,276.73
1/18/2020,Kandy,32.4,232.1,56.9,1.08,Beetroot,131.74
1/18/2020,Kandy,32.4,232.1,56.9,1.08,Cabbage,339.02
1/19/2020,Kandy,29.1,138.1,69.6,1.99,Knol-Khol,61.27
1/19/2020,Kandy,29.1,138.1,69.6,1.99,Pumpkin,316.99
