Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Winged Bean,429
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Bitter Melon,279.19
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Brinjal,257.37
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Long Purple Eggplant,202.88
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Asiatic Pennywort,164.61
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Red Spinach,344.05
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Pennywort,309.24
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Leeks,146.18
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Carrot,240.2
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Beetroot,441.3
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Cabbage,162.6
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Knol-Khol,439.51
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Pumpkin,145.19
1/5/2020,Kegalle,22.6,41.9,93.8,1.96,Onion,304.42
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Potato,136.29
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Drumsticks,411.85
1/6/2020,Kegalle,22.6,41.9,93.8,1.96,Jackfruit,322.56
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Breadfruit,210.04
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Taro,282.62
1/7/2020,Kegalle,21.6,70.7,86.3,1.72,Manioc,59.43
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Winged Bean,345.67
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Bitter Melon,231.16
1/8/2020,Kegalle,21.6,70.7,86.3,1.72,Brinjal,229.7
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Long Purple Eggplant,252.88
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Asiatic Pennywort,244.31
1/9/2020,Kegalle,21.6,70.7,86.3,1.72,Red Spinach,288.63
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Pennywort,274.71
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Leeks,75.31
1/10/2020,Kegalle,21.6,70.7,86.3,1.72,Carrot,436.65
1/11/2020,Kegalle,21.6,70.7,86.3,1.72,Beetroot,345.59
1/11/2020,Kegalle,21.6,70.7,86.3,1.72,Cabbage,455.97
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Knol-Khol,328.75
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Pumpkin,82.97
1/12/2020,Kegalle,21.6,70.7,86.3,1.72,Onion,425.19
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Potato,306.07
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Drumsticks,103.61
1/13/2020,Kegalle,24.7,159.5,73.1,1.09,Jackfruit,103.14
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Breadfruit,488.48
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Taro,61.47
1/14/2020,Kegalle,24.7,159.5,73.1,1.09,Manioc,474.03
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Winged Bean,308.97
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Bitter Melon,127.97
1/15/2020,Kegalle,24.7,159.5,73.1,1.09,Brinjal,352.82
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Long Purple Eggplant,123.48
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Asiatic Pennywort,338.92
1/16/2020,Kegalle,24.7,159.5,73.1,1.09,Red Spinach,292.23
1/17/2020,Kegalle,24.7,159.5,73.1,1.09,Pennywort,94.05
1/17/2020,Kegalle,24.7,159.5,73.1,1.09,Leeks,73.28
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Carrot,282.54
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Beetroot,191.6
1/18/2020,Kegalle,24.7,159.5,73.1,1.09,Cabbage,106.7
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Knol-Khol,53.07
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Pumpkin,252.76
1/19/2020,Kegalle,34.6,7.6,93.7,0.96,Onion,265.09
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Potato,87.8
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Drumsticks,473.6
1/20/2020,Kegalle,34.6,7.6,93.7,0.96,Jackfruit,264.08
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Breadfruit,112.45
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Taro,202.86
1/21/2020,Kegalle,34.6,7.6,93.7,0.96,Manioc,498.94
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Winged Bean,93.1
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Bitter Melon,67.1
1/22/2020,Kegalle,34.6,7.6,93.7,0.96,Brinjal,158.12
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Long Purple Eggplant,127.98
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Asiatic Pennywort,271.33
1/23/2020,Kegalle,34.6,7.6,93.7,0.96,Red Spinach,119.58
1/24/2020,Kegalle,34.6,7.6,93.7,0.96,Pennywort,185.94
1/24/2020,Kegalle,34.6,7.6,93.7,0.96,Leeks,164
1/25/2020,Kegalle,26.0,337.7,62.2,1.9,Carrot,300.71
