Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Winged Bean,359.81
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Bitter Melon,314.79
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Brinjal,75.63
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Long Purple Eggplant,101.26
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Asiatic Pennywort,422.87
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Red Spinach,243.31
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Pennywort,262.18
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Leeks,396.13
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Carrot,466.59
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Beetroot,96.47
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Cabbage,201.14
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Knol-Khol,476.99
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Pumpkin,273.26
1/5/2020,Kilinochchi,20.4,168.1,87.3,1.98,Onion,384.1
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Potato,421.47
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Drumsticks,277.86
1/6/2020,Kilinochchi,20.4,168.1,87.3,1.98,Jackfruit,227.27
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Breadfruit,320.85
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Taro,229.67
1/7/2020,Kilinochchi,21.5,357.5,85.8,1.45,Manioc,266.25
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Winged Bean,153.47
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Bitter Melon,246.67
1/8/2020,Kilinochchi,21.5,357.5,85.8,1.45,Brinjal,395.02
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Long Purple Eggplant,305.06
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Asiatic Pennywort,380.33
1/9/2020,Kilinochchi,21.5,357.5,85.8,1.45,Red Spinach,262.72
1/10/2020,Kilinochchi,21.5,357.5,85.8,1.45,Pennywort,266.1
1/10/2020,Kilinochchi,21.5,357.5,85.8,1.45,Leeks,395.27
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Carrot,390.49
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Beetroot,222.05
1/11/2020,Kilinochchi,21.5,357.5,85.8,1.45,Cabbage,462.94
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Knol-Khol,315.77
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Pumpkin,218.38
1/12/2020,Kilinochchi,21.5,357.5,85.8,1.45,Onion,326.96
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Potato,235.63
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Drumsticks,476.71
1/13/2020,Kilinochchi,24.5,21.3,70.6,1.4,Jackfruit,151.83
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Breadfruit,205.58
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Taro,215.12
1/14/2020,Kilinochchi,24.5,21.3,70.6,1.4,Manioc,355.61
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Winged Bean,90.53
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Bitter Melon,113.1
1/15/2020,Kilinochchi,24.5,21.3,70.6,1.4,Brinjal,450.04
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Long Purple Eggplant,414.68
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Asiatic Pennywort,327.38
1/16/2020,Kilinochchi,24.5,21.3,70.6,1.4,Red Spinach,252.53
1/17/2020,Kilinochchi,24.5,21.3,70.6,1.4,Pennywort,196.66
1/17/2020,Kilinochchi,24.5,21.3,70.6,1.4,Leeks,171.82
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Carrot,167.96
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Beetroot,474.42
1/18/2020,Kilinochchi,24.5,21.3,70.6,1.4,Cabbage,358.97
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Knol-Khol,448.75
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Pumpkin,454.19
1/19/2020,Kilinochchi,30.2,148.2,92.4,0.74,Onion,492.42
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Potato,385.03
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Drumsticks,179.77
1/20/2020,Kilinochchi,30.2,148.2,92.4,0.74,Jackfruit,229
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Breadfruit,189.38
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Taro,303.4
1/21/2020,Kilinochchi,30.2,148.2,92.4,0.74,Manioc,309.5
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Winged Bean,290.68
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Bitter Melon,218.05
1/22/2020,Kilinochchi,30.2,148.2,92.4,0.74,Brinjal,372.68
1/23/2020,Kilinochchi,30.2,148.2,92.4,0.74,Long Purple Eggplant,132.7
1/23/2020,Kilinochchi,30.2,148.2,92.4,0.74,Asiatic Pennywort,403.7
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Red Spinach,57.76
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Pennywort,281.87
1/24/2020,Kilinochchi,30.2,148.2,92.4,0.74,Leeks,226.48
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Carrot,133.39
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Beetroot,281.89
1/25/2020,Kilinochchi,35.7,293.4,89.2,1.67,Cabbage,244.53
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Knol-Khol,292.05
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Pumpkin,82.72
1/26/2020,Kilinochchi,35.7,293.4,89.2,1.67,Onion,73.81
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Potato,76.41
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Drumsticks,446.48
1/27/2020,Kilinochchi,35.7,293.4,89.2,1.67,Jackfruit,189.97
1/28/2020,Kilinochchi,35.7,293.4,89.2,1.67,Breadfruit,238.2
