Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Winged Bean,485.58
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Bitter Melon,379.05
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Brinjal,423.57
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Long Purple Eggplant,115.21
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Asiatic Pennywort,146.49
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Red Spinach,139.52
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Pennywort,372.93
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Leeks,299.65
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Carrot,152.74
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Beetroot,176.47
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Cabbage,198.1
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Knol-Khol,360.1
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Pumpkin,183.17
1/5/2020,Kurunegala,29.5,398.9,91.1,1.08,Onion,79.48
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Potato,198.43
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Drumsticks,347.76
1/6/2020,Kurunegala,29.5,398.9,91.1,1.08,Jackfruit,278.03
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Breadfruit,123.51
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Taro,321.82
1/7/2020,Kurunegala,34.6,173.0,84.8,1.13,Manioc,126.72
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Winged Bean,130.14
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Bitter Melon,175.34
1/8/2020,Kurunegala,34.6,173.0,84.8,1.13,Brinjal,149.31
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Long Purple Eggplant,434.05
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Asiatic Pennywort,370.59
1/9/2020,Kurunegala,34.6,173.0,84.8,1.13,Red Spinach,258.8
1/10/2020,Kurunegala,34.6,173.0,84.8,1.13,Pennywort,390.66
1/10/2020,Kurunegala,34.6,173.0,84.8,1.13,Leeks,314.79
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Carrot,81.09
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Beetroot,128.54
1/11/2020,Kurunegala,34.6,173.0,84.8,1.13,Cabbage,273.25
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Knol-Khol,473.75
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Pumpkin,467.96
1/12/2020,Kurunegala,34.6,173.0,84.8,1.13,Onion,402.59
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Potato,319.39
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Drumsticks,274.08
1/13/2020,Kurunegala,36.8,0.9,88.3,0.76,Jackfruit,174.17
1/14/2020,Kurunegala,36.8,0.9,88.3,0.76,Breadfruit,275.61
1/14/2020,Kurunegala,36.8,0.9,88.3,0.76,Taro,293.46
1/14/2020,Kurunegala,36.8,0.9,88.3,0.76,Manioc,258.3
1/15/2020,Kurunegala,36.8,0.9,88.3,0.76,Winged Bean,452.21
1/15/2020,Kurunegala,36.8,0.9,88.3,0.76,Bitter Melon,322.23
1/15/2020,Kurunegala,36.8,0.9,88.3,0.76,Brinjal,91.62
1/16/2020,Kurunegala,36.8,0.9,88.3,0.76,Long Purple Eggplant,154.54
1/16/2020,Kurunegala,36.8,0.9,88.3,0.76,Asiatic Pennywort,336.78
1/16/2020,Kurunegala,36.8,0.9,88.3,0.76,Red Spinach,62.75
1/17/2020,Kurunegala,36.8,0.9,88.3,0.76,Pennywort,109.37
1/17/2020,Kurunegala,36.8,0.9,88.3,0.76,Leeks,209.23
1/18/2020,Kurunegala,36.8,0.9,88.3,0.76,Carrot,326.6
1/18/2020,Kurunegala,36.8,0.9,88.3,0.76,Beetroot,389.55
1/18/2020,Kurunegala,36.8,0.9,88.3,0.76,Cabbage,481.12
1/19/2020,Kurunegala,36.4,346.7,81.9,1.34,Knol-Khol,118.83
1/19/2020,Kurunegala,36.4,346.7,81.9,1.34,Pumpkin,362.3
1/19/2020,Kurunegala,36.4,346.7,81.9,1.34,Onion,239.56
1/20/2020,Kurunegala,36.4,346.7,81.9,1.34,Potato,168.94
1/20/2020,Kurunegala,36.4,346.7,81.9,1.34,Drumsticks,250.52
1/20/2020,Kurunegala,36.4,346.7,81.9,1.34,Jackfruit,457.72
