Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Winged Bean,347.2
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Bitter Melon,497.12
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Brinjal,281.44
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Long Purple Eggplant,272.6
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Asiatic Pennywort,316.33
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Red Spinach,407.73
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Pennywort,271.58
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Leeks,137.27
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Carrot,117.75
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Beetroot,349.49
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Cabbage,479.11
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Knol-Khol,115.32
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Pumpkin,303.8
1/5/2020,Mannar,22.3,327.3,88.8,0.86,Onion,154.99
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Potato,394.44
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Drumsticks,82.49
1/6/2020,Mannar,22.3,327.3,88.8,0.86,Jackfruit,220.09
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Breadfruit,88.32
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Taro,375.54
1/7/2020,Mannar,37.6,269.8,57.4,0.82,Manioc,227.15
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Winged Bean,227.1
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Bitter Melon,235.43
1/8/2020,Mannar,37.6,269.8,57.4,0.82,Brinjal,144.39
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Long Purple Eggplant,196.39
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Asiatic Pennywort,481.48
1/9/2020,Mannar,37.6,269.8,57.4,0.82,Red Spinach,377.56
1/10/2020,Mannar,37.6,269.8,57.4,0.82,Pennywort,399.69
1/10/2020,Mannar,37.6,269.8,57.4,0.82,Leeks,320.17
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Carrot,168.75
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Beetroot,201.21
1/11/2020,Mannar,37.6,269.8,57.4,0.82,Cabbage,84.61
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Knol-Khol,123.97
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Pumpkin,307.94
1/12/2020,Mannar,37.6,269.8,57.4,0.82,Onion,466.92
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Potato,308.41
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Drumsticks,348.12
1/13/2020,Mannar,29.7,281.2,87.8,0.55,Jackfruit,212.19
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Breadfruit,176.02
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Taro,362.54
1/14/2020,Mannar,29.7,281.2,87.8,0.55,Manioc,242.57
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Winged Bean,370.81
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Bitter Melon,155.64
1/15/2020,Mannar,29.7,281.2,87.8,0.55,Brinjal,316.53
1/16/2020,Mannar,29.7,281.2,87.8,0.55,Long Purple Eggplant,326.81
1/16/2020,Mannar,29.7,281.2,87.8,0.55,Asiatic Pennywort,161.17
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Red Spinach,137.25
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Pennywort,483.96
1/17/2020,Mannar,29.7,281.2,87.8,0.55,Leeks,246.46
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Carrot,381.74
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Beetroot,343.45
1/18/2020,Mannar,29.7,281.2,87.8,0.55,Cabbage,152.25
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Knol-Khol,275.81
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Pumpkin,498.52
1/19/2020,Mannar,34.7,316.5,62.2,1.05,Onion,259.84
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Potato,104.74
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Drumsticks,213.07
1/20/2020,Mannar,34.7,316.5,62.2,1.05,Jackfruit,434.61
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Breadfruit,468.9
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Taro,225.06
1/21/2020,Mannar,34.7,316.5,62.2,1.05,Manioc,302.79
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Winged Bean,85.67
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Bitter Melon,300.96
1/22/2020,Mannar,34.7,316.5,62.2,1.05,Brinjal,303.93
1/23/2020,Mannar,34.7,316.5,62.2,1.05,Long Purple Eggplant,169.79
1/23/2020,Mannar,34.7,316.5,62.2,1.05,Asiatic Pennywort,218.59
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Red Spinach,239.59
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Pennywort,497.3
1/24/2020,Mannar,34.7,316.5,62.2,1.05,Leeks,102.71
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Carrot,355.11
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Beetroot,108.31
1/25/2020,Mannar,30.5,355.5,54.5,0.97,Cabbage,291.38
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Knol-Khol,299.97
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Pumpkin,92.74
1/26/2020,Mannar,30.5,355.5,54.5,0.97,Onion,365.46
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Potato,114.05
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Drumsticks,281.62
1/27/2020,Mannar,30.5,355.5,54.5,0.97,Jackfruit,447.84
1/28/2020,Mannar,30.5,355.5,54.5,0.97,Breadfruit,294.97
1/28/2020,Mannar,30.5,355.5,54.5,0.97,Taro,397.51
1/28/2020,Mannar,30.5,355.5,54.5,0.97,Manioc,68.2
1/29/2020,Mannar,30.5,355.5,54.5,0.97,Winged Bean,244.52
1/29/2020,Mannar,30.5,355.5,54.5,0.97,Bitter Melon,372.75
1/30/2020,Mannar,30.5,355.5,54.5,0.97,Brinjal,449.91
1/30/2020,Mannar,30.5,355.5,54.5,0.97,Long Purple Eggplant,208.82
1/30/2020,Mannar,30.5,355.5,54.5,0.97,Asiatic Pennywort,333.41
1/31/2020,Mannar,22.3,299.8,63.7,0.88,Red Spinach,347.05
1/31/2020,Mannar,22.3,299.8,63.7,0.88,Pennywort,321.39
1/31/2020,Mannar,22.3,299.8,63.7,0.88,Leeks,68.21
2/1/2020,Mannar,22.3,299.8,63.7,0.88,Carrot,137.56
2/1/2020,Mannar,22.3,299.8,63.7,0.88,Beetroot,355.66
2/1/2020,Mannar,22.3,299.8,63.7,0.88,Cabbage,59.77
2/2/2020,Mannar,22.3,299.8,63.7,0.88,Knol-Khol,415.69
2/2/2020,Mannar,22.3,299.8,63.7,0.88,Pumpkin,252.78
2/2/2020,Mannar,22.3,299.8,63.7,0.88,Onion,110.56
2/3/2020,Mannar,22.3,299.8,63.7,0.88,Potato,430.05
2/3/2020,Mannar,22.3,299.8,63.7,0.88,Drumsticks,401.92
2/3/2020,Mannar,22.3,299.8,63.7,0.88,Jackfruit,444.67
2/4/2020,Mannar,22.3,299.8,63.7,0.88,Breadfruit,272.41
2/4/2020,Mannar,22.3,299.8,63.7,0.88,Taro,147.72
2/4/2020,Mannar,22.3,299.8,63.7,0.88,Manioc,162.55
2/5/2020,Mannar,22.3,299.8,63.7,0.88,Winged Bean,444.63
2/5/2020,Mannar,22.3,299.8,63.7,0.88,Bitter Melon,338.19
2/6/2020,Mannar,35.8,62.5,72.7,1.73,Brinjal,476.54
2/6/2020,Mannar,35.8,62.5,72.7,1.73,Long Purple Eggplant,128.09
2/6/2020,Mannar,35.8,62.5,72.7,1.73,Asiatic Pennywort,357.71
2/7/2020,Mannar,35.8,62.5,72.7,1.73,Red Spinach,316.69
2/7/2020,Mannar,35.8,62.5,72.7,1.73,Pennywort,214.96
2/7/2020,Mannar,35.8,62.5,72.7,1.73,Leeks,228.36
2/8/2020,Mannar,35.8,62.5,72.7,1.73,Carrot,389.12
2/8/2020,Mannar,35.8,62.5,72.7,1.73,Beetroot,324.5
2/8/2020,Mannar,35.8,62.5,72.7,1.73,Cabbage,147.14
2/9/2020,Mannar,35.8,62.5,72.7,1.73,Knol-Khol,181.35
2/9/2020,Mannar,35.8,62.5,72.7,1.73,Pumpkin,482.18
2/9/2020,Mannar,35.8,62.5,72.7,1.73,Onion,358.78
2/10/2020,Mannar,35.8,62.5,72.7,1.73,Potato,310.75
2/10/2020,Mannar,35.8,62.5,72.7,1.73,Drumsticks,418.19
2/10/2020,Mannar,35.8,62.5,72.7,1.73,Jackfruit,319.36
2/11/2020,Mannar,35.8,62.5,72.7,1.73,Breadfruit,349.45
2/11/2020,Mannar,35.8,62.5,72.7,1.73,Taro,220.21
2/12/2020,Mannar,20.3,55.0,77.3,0.95,Manioc,106.69
2/12/2020,Mannar,20.3,55.0,77.3,0.95,Winged Bean,89.15
2/12/2020,Mannar,20.3,55.0,77.3,0.95,Bitter Melon,312.56
2/13/2020,Mannar,20.3,55.0,77.3,0.95,Brinjal,341.8
2/13/2020,Mannar,20.3,55.0,77.3,0.95,Long Purple Eggplant,398.01
2/13/2020,Mannar,20.3,55.0,77.3,0.95,Asiatic Pennywort,72.33
2/14/2020,Mannar,20.3,55.0,77.3,0.95,Red Spinach,108.05
2/14/2020,Mannar,20.3,55.0,77.3,0.95,Pennywort,383.65
2/14/2020,Mannar,20.3,55.0,77.3,0.95,Leeks,220.96
