Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Matale,31.7,398.3,69.7,1.67,Winged Bean,386.64
1/1/2020,Matale,31.7,398.3,69.7,1.67,Bitter Melon,252.32
1/1/2020,Matale,31.7,398.3,69.7,1.67,Brinjal,268.18
1/2/2020,Matale,31.7,398.3,69.7,1.67,Long Purple Eggplant,324.88
1/2/2020,Matale,31.7,398.3,69.7,1.67,Asiatic Pennywort,496.85
1/2/2020,Matale,31.7,398.3,69.7,1.67,Red Spinach,135
1/3/2020,Matale,31.7,398.3,69.7,1.67,Pennywort,395.42
1/3/2020,Matale,31.7,398.3,69.7,1.67,Leeks,473.61
1/4/2020,Matale,31.7,398.3,69.7,1.67,Carrot,477.29
1/4/2020,Matale,31.7,398.3,69.7,1.67,Beetroot,147.46
1/4/2020,Matale,31.7,398.3,69.7,1.67,Cabbage,163.58
1/5/2020,Matale,31.7,398.3,69.7,1.67,Knol-Khol,231.62
1/5/2020,Matale,31.7,398.3,69.7,1.67,Pumpkin,111.59
1/5/2020,Matale,31.7,398.3,69.7,1.67,Onion,117.73
1/6/2020,Matale,31.7,398.3,69.7,1.67,Potato,369.5
1/6/2020,Matale,31.7,398.3,69.7,1.67,Drumsticks,494.63
1/6/2020,Matale,31.7,398.3,69.7,1.67,Jackfruit,285.08
1/7/2020,Matale,27.6,251.9,52.2,1.08,Breadfruit,244.5
1/7/2020,Matale,27.6,251.9,52.2,1.08,Taro,407.75
1/7/2020,Matale,27.6,251.9,52.2,1.08,Manioc,53.4
1/8/2020,Matale,27.6,251.9,52.2,1.08,Winged Bean,414.82
1/8/2020,Matale,27.6,251.9,52.2,1.08,Bitter Melon,177.11
1/8/2020,Matale,27.6,251.9,52.2,1.08,Brinjal,212.58
1/9/2020,Matale,27.6,251.9,52.2,1.08,Long Purple Eggplant,131.55
1/9/2020,Matale,27.6,251.9,52.2,1.08,Asiatic Pennywort,387.47
1/9/2020,Matale,27.6,251.9,52.2,1.08,Red Spinach,202.13
1/10/2020,Matale,27.6,251.9,52.2,1.08,Pennywort,336.13
1/10/2020,Matale,27.6,251.9,52.2,1.08,Leeks,274.44
1/11/2020,Matale,27.6,251.9,52.2,1.08,Carrot,236.38
1/11/2020,Matale,27.6,251.9,52.2,1.08,Beetroot,122.31
1/11/2020,Matale,27.6,251.9,52.2,1.08,Cabbage,388.09
1/12/2020,Matale,27.6,251.9,52.2,1.08,Knol-Khol,465.43
1/12/2020,Matale,27.6,251.9,52.2,1.08,Pumpkin,255.14
1/12/2020,Matale,27.6,251.9,52.2,1.08,Onion,202.76
1/13/2020,Matale,24.9,85.1,86.9,1.66,Potato,375.87
1/13/2020,Matale,24.9,85.1,86.9,1.66,Drumsticks,345.96
1/13/2020,Matale,24.9,85.1,86.9,1.66,Jackfruit,106.62
1/14/2020,Matale,24.9,85.1,86.9,1.66,Breadfruit,113.93
1/14/2020,Matale,24.9,85.1,86.9,1.66,Taro,206.43
1/14/2020,Matale,24.9,85.1,86.9,1.66,Manioc,60.84
1/15/2020,Matale,24.9,85.1,86.9,1.66,Winged Bean,325.61
1/15/2020,Matale,24.9,85.1,86.9,1.66,Bitter Melon,184.99
1/15/2020,Matale,24.9,85.1,86.9,1.66,Brinjal,150.2
1/16/2020,Matale,24.9,85.1,86.9,1.66,Long Purple Eggplant,375.42
1/16/2020,Matale,24.9,85.1,86.9,1.66,Asiatic Pennywort,72.51
1/17/2020,Matale,24.9,85.1,86.9,1.66,Red Spinach,282.84
1/17/2020,Matale,24.9,85.1,86.9,1.66,Pennywort,497.67
1/17/2020,Matale,24.9,85.1,86.9,1.66,Leeks,188.9
