Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Matara,31.0,179.8,85.4,s,Winged Bean,232.32
1/1/2020,Matara,31.0,179.8,85.4,1.48,Bitter Melon,276.78
1/1/2020,Matara,31.0,179.8,85.4,1.48,Brinjal,377.51
1/2/2020,Matara,31.0,179.8,85.4,1.48,Long Purple Eggplant,449.82
1/2/2020,Matara,31.0,179.8,85.4,1.48,Asiatic Pennywort,171.78
1/2/2020,Matara,31.0,179.8,85.4,1.48,Red Spinach,270.37
1/3/2020,Matara,31.0,179.8,85.4,1.48,Pennywort,166.74
1/3/2020,Matara,31.0,179.8,85.4,1.48,Leeks,318.45
1/4/2020,Matara,31.0,179.8,85.4,1.48,Carrot,53.51
1/4/2020,Matara,31.0,179.8,85.4,1.48,Beetroot,385.03
1/4/2020,Matara,31.0,179.8,85.4,1.48,Cabbage,249.53
1/5/2020,Matara,31.0,179.8,85.4,1.48,Knol-Khol,252.24
1/5/2020,Matara,31.0,179.8,85.4,1.48,Pumpkin,75.88
1/5/2020,Matara,31.0,179.8,85.4,1.48,Onion,168.85
1/6/2020,Matara,31.0,179.8,85.4,1.48,Potato,190.98
1/6/2020,Matara,31.0,179.8,85.4,1.48,Drumsticks,365.32
1/6/2020,Matara,31.0,179.8,85.4,1.48,Jackfruit,155.8
1/7/2020,Matara,21.5,140.1,67.9,1.85,Breadfruit,92.99
1/7/2020,Matara,21.5,140.1,67.9,1.85,Taro,412.85
1/7/2020,Matara,21.5,140.1,67.9,1.85,Manioc,482.7
1/8/2020,Matara,21.5,140.1,67.9,1.85,Winged Bean,459.31
1/8/2020,Matara,21.5,140.1,67.9,1.85,Bitter Melon,343.46
1/8/2020,Matara,21.5,140.1,67.9,1.85,Brinjal,173.09
1/9/2020,Matara,21.5,140.1,67.9,1.85,Long Purple Eggplant,428.44
1/9/2020,Matara,21.5,140.1,67.9,1.85,Asiatic Pennywort,358.95
1/10/2020,Matara,21.5,140.1,67.9,1.85,Red Spinach,265.49
1/10/2020,Matara,21.5,140.1,67.9,1.85,Pennywort,71.19
1/10/2020,Matara,21.5,140.1,67.9,1.85,Leeks,157.57
1/11/2020,Matara,21.5,140.1,67.9,1.85,Carrot,102.63
1/11/2020,Matara,21.5,140.1,67.9,1.85,Beetroot,68.24
1/11/2020,Matara,21.5,140.1,67.9,1.85,Cabbage,359.82
1/12/2020,Matara,21.5,140.1,67.9,1.85,Knol-Khol,381.74
1/12/2020,Matara,21.5,140.1,67.9,1.85,Pumpkin,283.64
1/12/2020,Matara,21.5,140.1,67.9,1.85,Onion,424.02
1/13/2020,Matara,20.8,223.4,86.0,0.67,Potato,395.59
1/13/2020,Matara,20.8,223.4,86.0,0.67,Drumsticks,235.5
1/13/2020,Matara,20.8,223.4,86.0,0.67,Jackfruit,275.07
1/14/2020,Matara,20.8,223.4,86.0,0.67,Breadfruit,393.78
1/14/2020,Matara,20.8,223.4,86.0,0.67,Taro,176.82
1/14/2020,Matara,20.8,223.4,86.0,0.67,Manioc,264.37
1/15/2020,Matara,20.8,223.4,86.0,0.67,Winged Bean,232.55
1/15/2020,Matara,20.8,223.4,86.0,0.67,Bitter Melon,122.24
1/15/2020,Matara,20.8,223.4,86.0,0.67,Brinjal,50.37
1/16/2020,Matara,20.8,223.4,86.0,0.67,Long Purple Eggplant,294.32
1/16/2020,Matara,20.8,223.4,86.0,0.67,Asiatic Pennywort,240.72
1/17/2020,Matara,20.8,223.4,86.0,0.67,Red Spinach,93.37
1/17/2020,Matara,20.8,223.4,86.0,0.67,Pennywort,260.76
1/17/2020,Matara,20.8,223.4,86.0,0.67,Leeks,162.2
1/18/2020,Matara,20.8,223.4,86.0,0.67,Carrot,362
1/18/2020,Matara,20.8,223.4,86.0,0.67,Beetroot,114.38
1/18/2020,Matara,20.8,223.4,86.0,0.67,Cabbage,196.97
1/19/2020,Matara,33.8,359.8,95.0,0.91,Knol-Khol,456.85
1/19/2020,Matara,33.8,359.8,95.0,0.91,Pumpkin,370.26
1/19/2020,Matara,33.8,359.8,95.0,0.91,Onion,116.56
1/20/2020,Matara,33.8,359.8,95.0,0.91,Potato,354.98
1/20/2020,Matara,33.8,359.8,95.0,0.91,Drumsticks,128.99
1/20/2020,Matara,33.8,359.8,95.0,0.91,Jackfruit,71.04
1/21/2020,Matara,33.8,359.8,95.0,0.91,Breadfruit,349.29
1/21/2020,Matara,33.8,359.8,95.0,0.91,Taro,464.24
1/21/2020,Matara,33.8,359.8,95.0,0.91,Manioc,243.8
1/22/2020,Matara,33.8,359.8,95.0,0.91,Winged Bean,492.06
1/22/2020,Matara,33.8,359.8,95.0,0.91,Bitter Melon,459.45
1/23/2020,Matara,33.8,359.8,95.0,0.91,Brinjal,283.64
1/23/2020,Matara,33.8,359.8,95.0,0.91,Long Purple Eggplant,120.06
1/23/2020,Matara,33.8,359.8,95.0,0.91,Asiatic Pennywort,230.38
1/24/2020,Matara,33.8,359.8,95.0,0.91,Red Spinach,466
1/24/2020,Matara,33.8,359.8,95.0,0.91,Pennywort,363.67
1/24/2020,Matara,33.8,359.8,95.0,0.91,Leeks,72.58
1/25/2020,Matara,29.7,103.9,70.9,1.84,Carrot,417.14
1/25/2020,Matara,29.7,103.9,70.9,1.84,Beetroot,468.98
1/25/2020,Matara,29.7,103.9,70.9,1.84,Cabbage,153.6
1/26/2020,Matara,29.7,103.9,70.9,1.84,Knol-Khol,488
1/26/2020,Matara,29.7,103.9,70.9,1.84,Pumpkin,447.27
1/26/2020,Matara,29.7,103.9,70.9,1.84,Onion,418.14
1/27/2020,Matara,29.7,103.9,70.9,1.84,Potato,303.15
1/27/2020,Matara,29.7,103.9,70.9,1.84,Drumsticks,402.33
1/27/2020,Matara,29.7,103.9,70.9,1.84,Jackfruit,477.24
1/28/2020,Matara,29.7,103.9,70.9,1.84,Breadfruit,489.8
1/28/2020,Matara,29.7,103.9,70.9,1.84,Taro,300.1
1/28/2020,Matara,29.7,103.9,70.9,1.84,Manioc,360.56
1/29/2020,Matara,29.7,103.9,70.9,1.84,Winged Bean,272.49
1/29/2020,Matara,29.7,103.9,70.9,1.84,Bitter Melon,316.16
1/30/2020,Matara,29.7,103.9,70.9,1.84,Brinjal,293.63
1/30/2020,Matara,29.7,103.9,70.9,1.84,Long Purple Eggplant,71.17
1/30/2020,Matara,29.7,103.9,70.9,1.84,Asiatic Pennywort,306.69
1/31/2020,Matara,27.3,290.0,57.5,1.83,Red Spinach,58.82
1/31/2020,Matara,27.3,290.0,57.5,1.83,Pennywort,435.79
1/31/2020,Matara,27.3,290.0,57.5,1.83,Leeks,491.33
2/1/2020,Matara,27.3,290.0,57.5,1.83,Carrot,325.27
2/1/2020,Matara,27.3,290.0,57.5,1.83,Beetroot,136.57
2/1/2020,Matara,27.3,290.0,57.5,1.83,Cabbage,469.99
2/2/2020,Matara,27.3,290.0,57.5,1.83,Knol-Khol,54.43
2/2/2020,Matara,27.3,290.0,57.5,1.83,Pumpkin,186.62
2/2/2020,Matara,27.3,290.0,57.5,1.83,Onion,167.79
2/3/2020,Matara,27.3,290.0,57.5,1.83,Potato,354.06
2/3/2020,Matara,27.3,290.0,57.5,1.83,Drumsticks,381.91
2/3/2020,Matara,27.3,290.0,57.5,1.83,Jackfruit,196.87
2/4/2020,Matara,27.3,290.0,57.5,1.83,Breadfruit,194.94
2/4/2020,Matara,27.3,290.0,57.5,1.83,Taro,83.33
2/5/2020,Matara,27.3,290.0,57.5,1.83,Manioc,104.21
2/5/2020,Matara,27.3,290.0,57.5,1.83,Winged Bean,101.93
2/5/2020,Matara,27.3,290.0,57.5,1.83,Bitter Melon,243.56
2/6/2020,Matara,36.0,183.7,81.3,1.49,Brinjal,481.65
2/6/2020,Matara,36.0,183.7,81.3,1.49,Long Purple Eggplant,179.11
2/6/2020,Matara,36.0,183.7,81.3,1.49,Asiatic Pennywort,107.31
2/7/2020,Matara,36.0,183.7,81.3,1.49,Red Spinach,230.25
