Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Winged Bean,219.65
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Bitter Melon,164.74
1/1/2020,Monaragala,33.0,215.5,94.0,1.92,Brinjal,86.46
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Long Purple Eggplant,59.75
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Asiatic Pennywort,239.36
1/2/2020,Monaragala,33.0,215.5,94.0,1.92,Red Spinach,228.12
1/3/2020,Monaragala,33.0,215.5,94.0,1.92,Pennywort,391.55
1/3/2020,Monaragala,33.0,215.5,94.0,1.92,Leeks,372.55
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Carrot,303.88
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Beetroot,469.72
1/4/2020,Monaragala,33.0,215.5,94.0,1.92,Cabbage,164.09
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Knol-Khol,373.47
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Pumpkin,79.4
1/5/2020,Monaragala,33.0,215.5,94.0,1.92,Onion,361.45
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Potato,476.76
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Drumsticks,321.49
1/6/2020,Monaragala,33.0,215.5,94.0,1.92,Jackfruit,287.06
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Breadfruit,341.26
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Taro,320.76
1/7/2020,Monaragala,34.8,145.8,80.7,1.21,Manioc,144.71
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Winged Bean,382.96
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Bitter Melon,53.78
1/8/2020,Monaragala,34.8,145.8,80.7,1.21,Brinjal,454.93
1/9/2020,Monaragala,34.8,145.8,80.7,1.21,Long Purple Eggplant,159.82
1/9/2020,Monaragala,34.8,145.8,80.7,1.21,Asiatic Pennywort,58.6
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Red Spinach,156.25
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Pennywort,142.22
1/10/2020,Monaragala,34.8,145.8,80.7,1.21,Leeks,86.19
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Carrot,100.94
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Beetroot,188.96
1/11/2020,Monaragala,34.8,145.8,80.7,1.21,Cabbage,101.89
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Knol-Khol,359.97
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Pumpkin,147.78
1/12/2020,Monaragala,34.8,145.8,80.7,1.21,Onion,198.47
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Potato,52.8
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Drumsticks,133.87
1/13/2020,Monaragala,26.3,125.0,52.1,1.47,Jackfruit,325.98
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Breadfruit,203.65
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Taro,100.93
1/14/2020,Monaragala,26.3,125.0,52.1,1.47,Manioc,228.05
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Winged Bean,321.87
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Bitter Melon,106.87
1/15/2020,Monaragala,26.3,125.0,52.1,1.47,Brinjal,53.71
1/16/2020,Monaragala,26.3,125.0,52.1,1.47,Long Purple Eggplant,200.66
1/16/2020,Monaragala,26.3,125.0,52.1,1.47,Asiatic Pennywort,480.12
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Red Spinach,492.52
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Pennywort,309.19
1/17/2020,Monaragala,26.3,125.0,52.1,1.47,Leeks,240.7
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Carrot,67.16
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Beetroot,105.35
1/18/2020,Monaragala,26.3,125.0,52.1,1.47,Cabbage,280.79
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Knol-Khol,345.5
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Pumpkin,182.26
1/19/2020,Monaragala,22.2,243.0,54.2,1.12,Onion,66.75
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Potato,396.01
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Drumsticks,350.76
1/20/2020,Monaragala,22.2,243.0,54.2,1.12,Jackfruit,318.86
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Breadfruit,286.29
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Taro,86.34
1/21/2020,Monaragala,22.2,243.0,54.2,1.12,Manioc,325.39
1/22/2020,Monaragala,22.2,243.0,54.2,1.12,Winged Bean,136.84
1/22/2020,Monaragala,22.2,243.0,54.2,1.12,Bitter Melon,404.08
1/23/2020,Monaragala,22.2,243.0,54.2,1.12,Brinjal,373.51
1/23/2020,Monaragala,22.2,243.0,54.2,1.12,Long Purple Eggplant,240.16
1/23/2020,Monaragala,22.2,243.0,54.2,1.12,Asiatic Pennywort,91.95
1/24/2020,Monaragala,22.2,243.0,54.2,1.12,Red Spinach,199.85
1/24/2020,Monaragala,22.2,243.0,54.2,1.12,Pennywort,216.61
1/24/2020,Monaragala,22.2,243.0,54.2,1.12,Leeks,286
1/25/2020,Monaragala,27.5,264.0,58.8,0.63,Carrot,458.94
1/25/2020,Monaragala,27.5,264.0,58.8,0.63,Beetroot,336.23
1/25/2020,Monaragala,27.5,264.0,58.8,0.63,Cabbage,277.34
1/26/2020,Monaragala,27.5,264.0,58.8,0.63,Knol-Khol,460.72
1/26/2020,Monaragala,27.5,264.0,58.8,0.63,Pumpkin,230.51
1/26/2020,Monaragala,27.5,264.0,58.8,0.63,Onion,475.04
1/27/2020,Monaragala,27.5,264.0,58.8,0.63,Potato,454.52
1/27/2020,Monaragala,27.5,264.0,58.8,0.63,Drumsticks,478.45
1/27/2020,Monaragala,27.5,264.0,58.8,0.63,Jackfruit,137.73
1/28/2020,Monaragala,27.5,264.0,58.8,0.63,Breadfruit,353.34
1/28/2020,Monaragala,27.5,264.0,58.8,0.63,Taro,277.07
1/28/2020,Monaragala,27.5,264.0,58.8,0.63,Manioc,82.41
1/29/2020,Monaragala,27.5,264.0,58.8,0.63,Winged Bean,296.22
1/29/2020,Monaragala,27.5,264.0,58.8,0.63,Bitter Melon,233.82
1/30/2020,Monaragala,27.5,264.0,58.8,0.63,Brinjal,178.18
1/30/2020,Monaragala,27.5,264.0,58.8,0.63,Long Purple Eggplant,254.58
1/30/2020,Monaragala,27.5,264.0,58.8,0.63,Asiatic Pennywort,111.57
1/31/2020,Monaragala,37.6,196.8,59.3,1.1,Red Spinach,102.59
1/31/2020,Monaragala,37.6,196.8,59.3,1.1,Pennywort,266.22
1/31/2020,Monaragala,37.6,196.8,59.3,1.1,Leeks,204.78
2/1/2020,Monaragala,37.6,196.8,59.3,1.1,Carrot,373.03
2/1/2020,Monaragala,37.6,196.8,59.3,1.1,Beetroot,230.44
2/1/2020,Monaragala,37.6,196.8,59.3,1.1,Cabbage,53.37
2/2/2020,Monaragala,37.6,196.8,59.3,1.1,Knol-Khol,258.75
2/2/2020,Monaragala,37.6,196.8,59.3,1.1,Pumpkin,142.81
2/2/2020,Monaragala,37.6,196.8,59.3,1.1,Onion,81.66
2/3/2020,Monaragala,37.6,196.8,59.3,1.1,Potato,364.42
2/3/2020,Monaragala,37.6,196.8,59.3,1.1,Drumsticks,90.97
2/3/2020,Monaragala,37.6,196.8,59.3,1.1,Jackfruit,68.86
2/4/2020,Monaragala,37.6,196.8,59.3,1.1,Breadfruit,97.46
2/4/2020,Monaragala,37.6,196.8,59.3,1.1,Taro,182.19
2/5/2020,Monaragala,37.6,196.8,59.3,1.1,Manioc,344.31
2/5/2020,Monaragala,37.6,196.8,59.3,1.1,Winged Bean,129.23
2/5/2020,Monaragala,37.6,196.8,59.3,1.1,Bitter Melon,195.15
2/6/2020,Monaragala,30.6,13.4,56.4,1.06,Brinjal,335.22
2/6/2020,Monaragala,30.6,13.4,56.4,1.06,Long Purple Eggplant,172.69
2/6/2020,Monaragala,30.6,13.4,56.4,1.06,Asiatic Pennywort,372.62
2/7/2020,Monaragala,30.6,13.4,56.4,1.06,Red Spinach,431.74
2/7/2020,Monaragala,30.6,13.4,56.4,1.06,Pennywort,412.38
2/7/2020,Monaragala,30.6,13.4,56.4,1.06,Leeks,247.15
