Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Winged Bean,71.04
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Bitter Melon,231.11
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Brinjal,434.22
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Long Purple Eggplant,74.47
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Asiatic Pennywort,362.93
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Red Spinach,218.67
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Pennywort,345.73
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Leeks,298.85
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Carrot,481.25
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Beetroot,352.9
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Cabbage,379.85
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Knol-Khol,330.66
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Pumpkin,473.68
1/5/2020,Mullaitivu,28.2,86.3,59.4,1.53,Onion,362.01
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Potato,104.97
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Drumsticks,126.31
1/6/2020,Mullaitivu,28.2,86.3,59.4,1.53,Jackfruit,478.87
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Breadfruit,284.88
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Taro,168.07
1/7/2020,Mullaitivu,23.8,19.6,56.1,1.64,Manioc,91.19
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Winged Bean,406.78
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Bitter Melon,119.48
1/8/2020,Mullaitivu,23.8,19.6,56.1,1.64,Brinjal,307.57
1/9/2020,Mullaitivu,23.8,19.6,56.1,1.64,Long Purple Eggplant,306.48
1/9/2020,Mullaitivu,23.8,19.6,56.1,1.64,Asiatic Pennywort,90.94
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Red Spinach,459.92
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Pennywort,329.42
1/10/2020,Mullaitivu,23.8,19.6,56.1,1.64,Leeks,234.89
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Carrot,458.53
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Beetroot,389.9
1/11/2020,Mullaitivu,23.8,19.6,56.1,1.64,Cabbage,193.11
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Knol-Khol,462.89
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Pumpkin,153.88
1/12/2020,Mullaitivu,23.8,19.6,56.1,1.64,Onion,167.13
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Potato,466.91
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Drumsticks,116.36
1/13/2020,Mullaitivu,23.6,110.4,66.9,1.56,Jackfruit,304.38
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Breadfruit,141.48
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Taro,389.18
1/14/2020,Mullaitivu,23.6,110.4,66.9,1.56,Manioc,402
