Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Winged Bean,470.59
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Bitter Melon,318.55
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Brinjal,429.5
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Long Purple Eggplant,390.39
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Asiatic Pennywort,440.16
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Red Spinach,190.37
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Pennywort,492.95
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Leeks,364.4
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Carrot,457.27
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Beetroot,262.56
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Cabbage,323.62
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Knol-Khol,291.58
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Pumpkin,220.06
1/5/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Onion,489.08
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Potato,341.28
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Drumsticks,374.88
1/6/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Jackfruit,90.12
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Breadfruit,244.17
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Taro,174.42
1/7/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Manioc,445.52
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Winged Bean,143.7
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Bitter Melon,436.94
1/8/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Brinjal,78.67
1/9/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Long Purple Eggplant,224.03
1/9/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Asiatic Pennywort,479.23
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Red Spinach,233.39
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Pennywort,159.08
1/10/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Leeks,466.21
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Carrot,415.66
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Beetroot,409.04
1/11/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Cabbage,255.5
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Knol-Khol,137.48
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Pumpkin,268.09
1/12/2020,Nuwara Eliya,21.5,323.9,76.7,1.02,Onion,112.22
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Potato,74.62
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Drumsticks,236.05
1/13/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Jackfruit,224.92
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Breadfruit,367.99
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Taro,456.3
1/14/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Manioc,137.24
1/15/2020,Nuwara Eliya,29.6,58.6,93.1,1.61,Winged Bean,440.68
