Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Winged Bean,182.84
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Bitter Melon,173.26
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Brinjal,326.32
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Long Purple Eggplant,223.16
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Asiatic Pennywort,374.07
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Red Spinach,372.6
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Pennywort,146.75
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Leeks,290.09
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Carrot,131.44
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Beetroot,351.51
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Cabbage,123
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Knol-Khol,250.24
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Pumpkin,75.75
1/5/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Onion,281.89
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Potato,74.39
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Drumsticks,368.45
1/6/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Jackfruit,352.98
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Breadfruit,121.84
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Taro,70.07
1/7/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Manioc,115.72
1/8/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Winged Bean,454
1/8/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Bitter Melon,83.01
1/9/2020,Polonnaruwa,23.7,147.2,65.7,0.62,Brinjal,480.89
