Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Winged Bean,349.24
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Bitter Melon,418.06
1/1/2020,Puttalam,23.4,318.0,58.9,1.19,Brinjal,328.93
1/2/2020,Puttalam,23.4,318.0,58.9,1.19,Long Purple Eggplant,167.31
1/2/2020,Puttalam,23.4,318.0,58.9,1.19,Asiatic Pennywort,198.55
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Red Spinach,283.69
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Pennywort,260.49
1/3/2020,Puttalam,23.4,318.0,58.9,1.19,Leeks,169.23
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Carrot,100.91
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Beetroot,231.82
1/4/2020,Puttalam,23.4,318.0,58.9,1.19,Cabbage,362.07
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Knol-Khol,336.73
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Pumpkin,68.99
1/5/2020,Puttalam,23.4,318.0,58.9,1.19,Onion,155.52
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Potato,263.05
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Drumsticks,411.63
1/6/2020,Puttalam,23.4,318.0,58.9,1.19,Jackfruit,99.11
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Breadfruit,50.76
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Taro,234.18
1/7/2020,Puttalam,24.5,179.4,79.6,1.28,Manioc,57.59
1/8/2020,Puttalam,24.5,179.4,79.6,1.28,Winged Bean,463.7
1/8/2020,Puttalam,24.5,179.4,79.6,1.28,Bitter Melon,211.45
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Brinjal,421.06
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Long Purple Eggplant,261.62
1/9/2020,Puttalam,24.5,179.4,79.6,1.28,Asiatic Pennywort,188.8
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Red Spinach,315.05
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Pennywort,65.34
1/10/2020,Puttalam,24.5,179.4,79.6,1.28,Leeks,401.57
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Carrot,166.63
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Beetroot,92.9
1/11/2020,Puttalam,24.5,179.4,79.6,1.28,Cabbage,484.63
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Knol-Khol,378.43
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Pumpkin,64.64
1/12/2020,Puttalam,24.5,179.4,79.6,1.28,Onion,208.88
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Potato,54.93
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Drumsticks,452.82
1/13/2020,Puttalam,23.7,44.2,64.5,1.71,Jackfruit,491.67
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Breadfruit,107.07
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Taro,269.7
1/14/2020,Puttalam,23.7,44.2,64.5,1.71,Manioc,105.58
1/15/2020,Puttalam,23.7,44.2,64.5,1.71,Winged Bean,74.33
1/15/2020,Puttalam,23.7,44.2,64.5,1.71,Bitter Melon,252.39
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Brinjal,458.52
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Long Purple Eggplant,233.21
1/16/2020,Puttalam,23.7,44.2,64.5,1.71,Asiatic Pennywort,319.43
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Red Spinach,494.54
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Pennywort,417.97
1/17/2020,Puttalam,23.7,44.2,64.5,1.71,Leeks,368.24
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Carrot,141.33
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Beetroot,222.74
1/18/2020,Puttalam,23.7,44.2,64.5,1.71,Cabbage,435.53
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Knol-Khol,412.43
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Pumpkin,345.2
1/19/2020,Puttalam,24.3,293.8,74.1,1.19,Onion,424.2
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Potato,95.44
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Drumsticks,430.37
1/20/2020,Puttalam,24.3,293.8,74.1,1.19,Jackfruit,162.3
1/21/2020,Puttalam,24.3,293.8,74.1,1.19,Breadfruit,150.41
1/21/2020,Puttalam,24.3,293.8,74.1,1.19,Taro,443.71
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Manioc,84.71
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Winged Bean,127.94
1/22/2020,Puttalam,24.3,293.8,74.1,1.19,Bitter Melon,381.07
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Brinjal,306.01
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Long Purple Eggplant,60.67
1/23/2020,Puttalam,24.3,293.8,74.1,1.19,Asiatic Pennywort,224.54
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Red Spinach,235.23
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Pennywort,271.31
1/24/2020,Puttalam,24.3,293.8,74.1,1.19,Leeks,311.91
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Carrot,434.92
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Beetroot,279.19
1/25/2020,Puttalam,20.2,300.7,61.0,1.89,Cabbage,470.93
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Knol-Khol,109.21
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Pumpkin,134.23
1/26/2020,Puttalam,20.2,300.7,61.0,1.89,Onion,454.31
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Potato,313.05
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Drumsticks,178.71
1/27/2020,Puttalam,20.2,300.7,61.0,1.89,Jackfruit,239.8
1/28/2020,Puttalam,20.2,300.7,61.0,1.89,Breadfruit,265.83
1/28/2020,Puttalam,20.2,300.7,61.0,1.89,Taro,442.32
