Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Winged Bean,369.31
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Bitter Melon,308.45
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Brinjal,236.05
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Long Purple Eggplant,340.26
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Asiatic Pennywort,140.19
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Red Spinach,200.11
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Pennywort,409.54
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Leeks,209.65
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Carrot,417.28
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Beetroot,222.09
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Cabbage,171.02
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Knol-Khol,420.46
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Pumpkin,483.03
1/5/2020,Ratnapura,26.8,197.1,51.9,1.21,Onion,473.42
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Potato,207.27
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Drumsticks,496.67
1/6/2020,Ratnapura,26.8,197.1,51.9,1.21,Jackfruit,241.62
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Breadfruit,120.42
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Taro,346.94
1/7/2020,Ratnapura,26.8,335.5,60.1,1.85,Manioc,399.84
1/8/2020,Ratnapura,26.8,335.5,60.1,1.85,Winged Bean,465.27
1/8/2020,Ratnapura,26.8,335.5,60.1,1.85,Bitter Melon,158.99
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Brinjal,135.62
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Long Purple Eggplant,483.8
1/9/2020,Ratnapura,26.8,335.5,60.1,1.85,Asiatic Pennywort,157.2
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Red Spinach,269.71
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Pennywort,106.85
1/10/2020,Ratnapura,26.8,335.5,60.1,1.85,Leeks,126.05
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Carrot,122.64
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Beetroot,427.2
1/11/2020,Ratnapura,26.8,335.5,60.1,1.85,Cabbage,386.01
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Knol-Khol,117.27
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Pumpkin,397.45
1/12/2020,Ratnapura,26.8,335.5,60.1,1.85,Onion,385.46
1/13/2020,Ratnapura,32.7,54.7,50.2,0.76,Potato,170.02
1/13/2020,Ratnapura,32.7,54.7,50.2,0.76,Drumsticks,110.47
