Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Winged Bean,272.42
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Bitter Melon,417.69
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Brinjal,368.64
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Long Purple Eggplant,252.51
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Asiatic Pennywort,479.65
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Red Spinach,217.3
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Pennywort,54.41
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Leeks,200.28
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Carrot,344.08
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Beetroot,294.46
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Cabbage,147.71
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Knol-Khol,167.1
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Pumpkin,337.23
1/5/2020,Trincomalee,34.1,292.7,94.5,1.42,Onion,495.49
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Potato,200.63
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Drumsticks,313.77
1/6/2020,Trincomalee,34.1,292.7,94.5,1.42,Jackfruit,208.3
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Breadfruit,462.49
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Taro,458.23
1/7/2020,Trincomalee,30.5,21.6,75.1,0.84,Manioc,143.62
1/8/2020,Trincomalee,30.5,21.6,75.1,0.84,Winged Bean,454.09
1/8/2020,Trincomalee,30.5,21.6,75.1,0.84,Bitter Melon,354.66
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Brinjal,275.99
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Long Purple Eggplant,106.6
1/9/2020,Trincomalee,30.5,21.6,75.1,0.84,Asiatic Pennywort,341.03
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Red Spinach,61.51
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Pennywort,423.87
1/10/2020,Trincomalee,30.5,21.6,75.1,0.84,Leeks,74.96
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Carrot,311.13
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Beetroot,291.52
1/11/2020,Trincomalee,30.5,21.6,75.1,0.84,Cabbage,483.49
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Knol-Khol,498.31
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Pumpkin,261.53
1/12/2020,Trincomalee,30.5,21.6,75.1,0.84,Onion,113.86
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Potato,420.9
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Drumsticks,493.09
1/13/2020,Trincomalee,36.3,131.1,92.9,1.38,Jackfruit,134.49
1/14/2020,Trincomalee,36.3,131.1,92.9,1.38,Breadfruit,224.22
1/14/2020,Trincomalee,36.3,131.1,92.9,1.38,Taro,136.7
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Manioc,389.33
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Winged Bean,419.29
1/15/2020,Trincomalee,36.3,131.1,92.9,1.38,Bitter Melon,305.29
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Brinjal,109.73
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Long Purple Eggplant,216.91
1/16/2020,Trincomalee,36.3,131.1,92.9,1.38,Asiatic Pennywort,356.31
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Red Spinach,137.27
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Pennywort,187.56
1/17/2020,Trincomalee,36.3,131.1,92.9,1.38,Leeks,363.88
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Carrot,431.75
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Beetroot,173.93
1/18/2020,Trincomalee,36.3,131.1,92.9,1.38,Cabbage,495.89
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Knol-Khol,358.64
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Pumpkin,225.87
1/19/2020,Trincomalee,22.5,290.7,59.3,0.72,Onion,157.58
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Potato,405.4
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Drumsticks,326.03
1/20/2020,Trincomalee,22.5,290.7,59.3,0.72,Jackfruit,178.5
1/21/2020,Trincomalee,22.5,290.7,59.3,0.72,Breadfruit,111.44
1/21/2020,Trincomalee,22.5,290.7,59.3,0.72,Taro,182.25
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Manioc,432.04
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Winged Bean,302.67
1/22/2020,Trincomalee,22.5,290.7,59.3,0.72,Bitter Melon,485.59
1/23/2020,Trincomalee,22.5,290.7,59.3,0.72,Brinjal,282.99
1/23/2020,Trincomalee,22.5,290.7,59.3,0.72,Long Purple Eggplant,225.3
1/23/2020,Trincomalee,22.5,290.7,59.3,0.72,Asiatic Pennywort,491.06
1/24/2020,Trincomalee,22.5,290.7,59.3,0.72,Red Spinach,303.04
1/24/2020,Trincomalee,22.5,290.7,59.3,0.72,Pennywort,471.41
1/24/2020,Trincomalee,22.5,290.7,59.3,0.72,Leeks,462.78
1/25/2020,Trincomalee,21.7,262.4,82.9,0.87,Carrot,343.18
1/25/2020,Trincomalee,21.7,262.4,82.9,0.87,Beetroot,178.72
1/25/2020,Trincomalee,21.7,262.4,82.9,0.87,Cabbage,471.85
1/26/2020,Trincomalee,21.7,262.4,82.9,0.87,Knol-Khol,99.76
1/26/2020,Trincomalee,21.7,262.4,82.9,0.87,Pumpkin,199.48
1/26/2020,Trincomalee,21.7,262.4,82.9,0.87,Onion,348.66
1/27/2020,Trincomalee,21.7,262.4,82.9,0.87,Potato,131.94
1/27/2020,Trincomalee,21.7,262.4,82.9,0.87,Drumsticks,297.93
1/28/2020,Trincomalee,21.7,262.4,82.9,0.87,Jackfruit,385.67
1/28/2020,Trincomalee,21.7,262.4,82.9,0.87,Breadfruit,170.03
1/28/2020,Trincomalee,21.7,262.4,82.9,0.87,Taro,105.59
1/29/2020,Trincomalee,21.7,262.4,82.9,0.87,Manioc,397.47
1/29/2020,Trincomalee,21.7,262.4,82.9,0.87,Winged Bean,382.13
1/29/2020,Trincomalee,21.7,262.4,82.9,0.87,Bitter Melon,410.98
1/30/2020,Trincomalee,21.7,262.4,82.9,0.87,Brinjal,200.77
