Date,Region,Temperature,Rainfall (mm),Humidity (%),Crop Yield Impact Score,vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Winged Bean,176.62
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Bitter Melon,487.9
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Brinjal,211.49
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Long Purple Eggplant,316.04
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Asiatic Pennywort,57.11
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Red Spinach,220.37
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Pennywort,325.03
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Leeks,271.26
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Carrot,158.6
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Beetroot,189.2
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Cabbage,151.54
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Knol-Khol,302.47
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Pumpkin,131.98
1/5/2020,Vavuniya,28.1,208.9,90.4,0.81,Onion,354.35
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Potato,488.03
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Drumsticks,374.59
1/6/2020,Vavuniya,28.1,208.9,90.4,0.81,Jackfruit,422.42
1/7/2020,Vavuniya,22.5,48.0,53.1,1.82,Breadfruit,267.11
1/7/2020,Vavuniya,22.5,48.0,53.1,1.82,Taro,418.29
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Manioc,392.67
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Winged Bean,146.21
1/8/2020,Vavuniya,22.5,48.0,53.1,1.82,Bitter Melon,90.35
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Brinjal,156.61
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Long Purple Eggplant,412.6
1/9/2020,Vavuniya,22.5,48.0,53.1,1.82,Asiatic Pennywort,373.26
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Red Spinach,57.93
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Pennywort,475.29
1/10/2020,Vavuniya,22.5,48.0,53.1,1.82,Leeks,138.18
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Carrot,329.17
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Beetroot,359.81
1/11/2020,Vavuniya,22.5,48.0,53.1,1.82,Cabbage,150.17
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Knol-Khol,371.31
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Pumpkin,164.43
1/12/2020,Vavuniya,22.5,48.0,53.1,1.82,Onion,108.92
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Potato,267.57
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Drumsticks,242.74
1/13/2020,Vavuniya,32.2,152.9,64.9,0.54,Jackfruit,247.37
1/14/2020,Vavuniya,32.2,152.9,64.9,0.54,Breadfruit,190.59
1/14/2020,Vavuniya,32.2,152.9,64.9,0.54,Taro,214.49
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Manioc,411.36
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Winged Bean,308.27
1/15/2020,Vavuniya,32.2,152.9,64.9,0.54,Bitter Melon,276.24
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Brinjal,226.72
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Long Purple Eggplant,227.98
1/16/2020,Vavuniya,32.2,152.9,64.9,0.54,Asiatic Pennywort,403.98
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Red Spinach,338.74
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Pennywort,52.17
1/17/2020,Vavuniya,32.2,152.9,64.9,0.54,Leeks,457.11
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Carrot,289.18
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Beetroot,134.37
1/18/2020,Vavuniya,32.2,152.9,64.9,0.54,Cabbage,415.98
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Knol-Khol,359.83
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Pumpkin,471.22
1/19/2020,Vavuniya,25.0,314.0,67.7,1.96,Onion,180.14
1/20/2020,Vavuniya,25.0,314.0,67.7,1.96,Potato,388.01
1/20/2020,Vavuniya,25.0,314.0,67.7,1.96,Drumsticks,369.95
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Jackfruit,494.35
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Breadfruit,135.31
1/21/2020,Vavuniya,25.0,314.0,67.7,1.96,Taro,390.37
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Manioc,88.42
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Winged Bean,79.52
1/22/2020,Vavuniya,25.0,314.0,67.7,1.96,Bitter Melon,70.2
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Brinjal,430.68
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Long Purple Eggplant,54.56
1/23/2020,Vavuniya,25.0,314.0,67.7,1.96,Asiatic Pennywort,376.44
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Red Spinach,353.34
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Pennywort,494.48
1/24/2020,Vavuniya,25.0,314.0,67.7,1.96,Leeks,303.38
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Carrot,422.68
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Beetroot,223.22
1/25/2020,Vavuniya,26.3,234.8,73.3,1.11,Cabbage,423.64
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Knol-Khol,335.4
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Pumpkin,394.98
1/26/2020,Vavuniya,26.3,234.8,73.3,1.11,Onion,144.51
1/27/2020,Vavuniya,26.3,234.8,73.3,1.11,Potato,78.47
1/27/2020,Vavuniya,26.3,234.8,73.3,1.11,Drumsticks,494.39
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Jackfruit,286.47
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Breadfruit,143.65
1/28/2020,Vavuniya,26.3,234.8,73.3,1.11,Taro,401.67
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Manioc,329.64
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Winged Bean,423.16
1/29/2020,Vavuniya,26.3,234.8,73.3,1.11,Bitter Melon,242.18
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Brinjal,426.56
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Long Purple Eggplant,291.52
1/30/2020,Vavuniya,26.3,234.8,73.3,1.11,Asiatic Pennywort,358.2
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Red Spinach,236.89
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Pennywort,243.26
1/31/2020,Vavuniya,27.5,117.3,61.9,1.7,Leeks,326.33
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Carrot,344.41
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Beetroot,136.96
2/1/2020,Vavuniya,27.5,117.3,61.9,1.7,Cabbage,433.68
2/2/2020,Vavuniya,27.5,117.3,61.9,1.7,Knol-Khol,120.89
2/2/2020,Vavuniya,27.5,117.3,61.9,1.7,Pumpkin,150.74
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Onion,272.53
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Potato,403.34
2/3/2020,Vavuniya,27.5,117.3,61.9,1.7,Drumsticks,198.88
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Jackfruit,344.29
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Breadfruit,358.52
2/4/2020,Vavuniya,27.5,117.3,61.9,1.7,Taro,376.8
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Manioc,284.14
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Winged Bean,272.16
2/5/2020,Vavuniya,27.5,117.3,61.9,1.7,Bitter Melon,82.78
